Timestamp,"Layton, UT Sunrise/Sunset","Layton, UT Humidity","Layton, UT Cond","Layton, UT Temp",Museum of Natural History Temp,Museum of Natural History Humidity,"Salt Lake City, UT Temp","Salt Lake City, UT Cond","Salt Lake City, UT Sunrise/Sunset","Salt Lake City, UT Humidity"
2017-04-01T18:25:00-06:00 Denver,"","","","",55.27399826049805°F,48.02000045776367%,"","","",""
2017-04-01T18:30:00-06:00 Denver,"","","","",54.73400115966797°F,49.279998779296875%,"","","",""
2017-04-01T18:35:00-06:00 Denver,"","","","",54.571998596191406°F,49.459999084472656%,"","","",""
2017-04-01T18:40:00-06:00 Denver,"","","","",54.428001403808594°F,49.939998626708984%,"","","",""
2017-04-01T18:45:00-06:00 Denver,"","","","",54.73400115966797°F,49.63999938964844%,"","","",""
2017-04-01T18:50:00-06:00 Denver,"","","","",53.762001037597656°F,50.790000915527344%,"","","",""
2017-04-01T18:55:00-06:00 Denver,"","","","",53.492000579833984°F,50.84000015258789%,"","","",""
2017-04-01T19:00:00-06:00 Denver,"",45%,1,52°F,53.582000732421875°F,50.58000183105469%,54°F,1_unknown,"",48%
2017-04-01T19:05:00-06:00 Denver,"","","","",53.04199981689453°F,52.41999816894531%,"","","",""
2017-04-01T19:10:00-06:00 Denver,"","","","",53.09600067138672°F,52.209999084472656%,"","","",""
2017-04-01T19:15:00-06:00 Denver,"","","","",52.987998962402344°F,52.7599983215332%,"","","",""
2017-04-01T19:20:00-06:00 Denver,"","","","",53.3120002746582°F,52.11000061035156%,"","","",""
2017-04-01T19:25:00-06:00 Denver,"","","","",53.54600143432617°F,52.45000076293945%,"","","",""
2017-04-01T19:30:00-06:00 Denver,"","","","",53.45600128173828°F,52.189998626708984%,"","","",""
2017-04-01T19:35:00-06:00 Denver,"","","","",53.65399932861328°F,52.45000076293945%,"","","",""
2017-04-01T19:40:00-06:00 Denver,"","","","",53.2760009765625°F,52.36000061035156%,"","","",""
2017-04-01T19:45:00-06:00 Denver,"","","","",52.68199920654297°F,53.849998474121094%,"","","",""
2017-04-01T19:50:00-06:00 Denver,"","","","",51.81800079345703°F,55.36000061035156%,"","","",""
2017-04-01T19:53:00-06:00 Denver,false,"","","","","","","",false,""
2017-04-01T19:55:00-06:00 Denver,"","","","",51.0260009765625°F,56.56999969482422%,"","","",""
2017-04-01T20:00:00-06:00 Denver,"",51%,1,49°F,50.32400131225586°F,57.959999084472656%,52°F,1_unknown,"",54%
2017-04-01T20:05:00-06:00 Denver,"","","","",49.90999984741211°F,58.31999969482422%,"","","",""
2017-04-01T20:10:00-06:00 Denver,"","","","",49.67599868774414°F,58.810001373291016%,"","","",""
2017-04-01T20:15:00-06:00 Denver,"","","","",49.459999084472656°F,58.880001068115234%,"","","",""
2017-04-01T20:20:00-06:00 Denver,"","","","",49.316001892089844°F,59.15999984741211%,"","","",""
2017-04-01T20:25:00-06:00 Denver,"","","","",49.20800018310547°F,59.58000183105469%,"","","",""
2017-04-01T20:30:00-06:00 Denver,"","","","",48.45199966430664°F,61.619998931884766%,"","","",""
2017-04-01T20:35:00-06:00 Denver,"","","","",47.641998291015625°F,62.880001068115234%,"","","",""
2017-04-01T20:40:00-06:00 Denver,"","","","",47.69599914550781°F,62.45000076293945%,"","","",""
2017-04-01T20:45:00-06:00 Denver,"","","","",47.15599822998047°F,63.939998626708984%,"","","",""
2017-04-01T20:55:00-06:00 Denver,"","","","",45.986000061035156°F,66.91000366210938%,"","","",""
2017-04-01T21:00:00-06:00 Denver,"",56%,1,47°F,46.14799880981445°F,66.72000122070312%,50°F,1_unknown,"",61%
2017-04-01T21:05:00-06:00 Denver,"","","","",46.14799880981445°F,67.45999908447266%,"","","",""
2017-04-01T21:10:00-06:00 Denver,"","","","",45.93199920654297°F,67.4800033569336%,"","","",""
2017-04-01T21:15:00-06:00 Denver,"","","","",45.625999450683594°F,66.29000091552734%,"","","",""
2017-04-01T21:20:00-06:00 Denver,"","","","",45.986000061035156°F,66.47000122070312%,"","","",""
