Timestamp,"['1e689184-f3e1c64d 0004-KINGSBURY HALL Power Meter 1 (301210) Watts, 3-Ph total']"
2017-09-25T00:00:00-06:00,203.6749725341797 kW
2017-09-26T00:00:00-06:00,217.14508056640625 kW
2017-09-27T00:00:00-06:00,387.3063049316406 kW
2017-09-28T00:00:00-06:00,346.943603515625 kW
2017-09-29T00:00:00-06:00,377.0494384765625 kW
2017-09-30T00:00:00-06:00,330.0009765625 kW
2017-10-01T00:00:00-06:00,254.82803344726562 kW
2017-10-02T00:00:00-06:00,191.42193603515625 kW
2017-10-03T00:00:00-06:00,193.29685974121094 kW
2017-10-04T00:00:00-06:00,194.2766876220703 kW
2017-10-05T00:00:00-06:00,201.0310821533203 kW
2017-10-06T00:00:00-06:00,203.31065368652344 kW
2017-10-07T00:00:00-06:00,349.0696105957031 kW
2017-10-08T00:00:00-06:00,144.7041473388672 kW
2017-10-09T00:00:00-06:00,219.30612182617188 kW
2017-10-10T00:00:00-06:00,202.78671264648438 kW
2017-10-11T00:00:00-06:00,337.4943542480469 kW
2017-10-12T00:00:00-06:00,194.1277313232422 kW
2017-10-13T00:00:00-06:00,194.5613555908203 kW
2017-10-14T00:00:00-06:00,187.34735107421875 kW
2017-10-15T00:00:00-06:00,161.6981201171875 kW
2017-10-16T00:00:00-06:00,192.03179931640625 kW
2017-10-17T00:00:00-06:00,310.21868896484375 kW
2017-10-18T00:00:00-06:00,289.69464111328125 kW
2017-10-19T00:00:00-06:00,336.09283447265625 kW
2017-10-20T00:00:00-06:00,289.93914794921875 kW
2017-10-21T00:00:00-06:00,183.8444061279297 kW
2017-10-22T00:00:00-06:00,177.267578125 kW
2017-10-23T00:00:00-06:00,187.64833068847656 kW
2017-10-24T00:00:00-06:00,210.34329223632812 kW
2017-10-25T00:00:00-06:00,302.692138671875 kW
2017-10-26T00:00:00-06:00,219.25909423828125 kW
2017-10-27T00:00:00-06:00,192.8945770263672 kW
2017-10-28T00:00:00-06:00,194.31312561035156 kW
2017-10-29T00:00:00-06:00,293.1146545410156 kW
2017-10-30T00:00:00-06:00,197.22299194335938 kW
2017-10-31T00:00:00-06:00,193.28558349609375 kW
2017-11-01T00:00:00-06:00,360.87103271484375 kW
2017-11-02T00:00:00-06:00,330.05072021484375 kW
2017-11-03T00:00:00-06:00,194.21119689941406 kW
2017-11-04T00:00:00-06:00,189.36123657226562 kW
2017-11-05T00:00:00-06:00,141.2288818359375 kW
2017-11-06T00:00:00-07:00,186.761962890625 kW
2017-11-07T00:00:00-07:00,188.0291748046875 kW
2017-11-08T00:00:00-07:00,190.84970092773438 kW
2017-11-09T00:00:00-07:00,211.74903869628906 kW
2017-11-10T00:00:00-07:00,188.7845458984375 kW
2017-11-11T00:00:00-07:00,183.0821075439453 kW
2017-11-12T00:00:00-07:00,142.58399963378906 kW
2017-11-13T00:00:00-07:00,188.41790771484375 kW
2017-11-14T00:00:00-07:00,209.76206970214844 kW
2017-11-15T00:00:00-07:00,189.4154510498047 kW
2017-11-16T00:00:00-07:00,194.71315002441406 kW
2017-11-17T00:00:00-07:00,187.31036376953125 kW
2017-11-18T00:00:00-07:00,190.51190185546875 kW
2017-11-19T00:00:00-07:00,142.59983825683594 kW
2017-11-20T00:00:00-07:00,188.31983947753906 kW
2017-11-21T00:00:00-07:00,195.91925048828125 kW
2017-11-22T00:00:00-07:00,202.6230010986328 kW
2017-11-23T00:00:00-07:00,188.27621459960938 kW
2017-11-24T00:00:00-07:00,180.05494689941406 kW
2017-11-25T00:00:00-07:00,184.61798095703125 kW
2017-11-26T00:00:00-07:00,303.1893310546875 kW
2017-11-27T00:00:00-07:00,367.4498291015625 kW
2017-11-28T00:00:00-07:00,189.02276611328125 kW
2017-11-29T00:00:00-07:00,190.20904541015625 kW
2017-11-30T00:00:00-07:00,209.2147674560547 kW
2017-12-01T00:00:00-07:00,209.59841918945312 kW
2017-12-02T00:00:00-07:00,186.0272216796875 kW
2017-12-03T00:00:00-07:00,165.5552978515625 kW
2017-12-04T00:00:00-07:00,190.5006561279297 kW
2017-12-05T00:00:00-07:00,184.69552612304688 kW
2017-12-06T00:00:00-07:00,183.80316162109375 kW
2017-12-07T00:00:00-07:00,182.09596252441406 kW
2017-12-08T00:00:00-07:00,190.04965209960938 kW
2017-12-09T00:00:00-07:00,180.6754150390625 kW
2017-12-10T00:00:00-07:00,142.23263549804688 kW
2017-12-11T00:00:00-07:00,181.13079833984375 kW
2017-12-12T00:00:00-07:00,178.91586303710938 kW
2017-12-13T00:00:00-07:00,191.64796447753906 kW
2017-12-14T00:00:00-07:00,192.03936767578125 kW
2017-12-15T00:00:00-07:00,188.72744750976562 kW
2017-12-16T00:00:00-07:00,192.83242797851562 kW
2017-12-17T00:00:00-07:00,148.73670959472656 kW
2017-12-18T00:00:00-07:00,190.208740234375 kW
2017-12-19T00:00:00-07:00,202.78457641601562 kW
2017-12-20T00:00:00-07:00,188.31655883789062 kW
2017-12-21T00:00:00-07:00,185.95703125 kW
2017-12-22T00:00:00-07:00,180.73281860351562 kW
2017-12-23T00:00:00-07:00,185.40054321289062 kW
2017-12-24T00:00:00-07:00,134.21119689941406 kW
2017-12-25T00:00:00-07:00,176.13792419433594 kW
2017-12-26T00:00:00-07:00,167.21469116210938 kW
2017-12-27T00:00:00-07:00,178.2781982421875 kW
2017-12-28T00:00:00-07:00,177.5109100341797 kW
2017-12-29T00:00:00-07:00,174.9857177734375 kW
2017-12-30T00:00:00-07:00,171.90882873535156 kW
2017-12-31T00:00:00-07:00,142.34793090820312 kW
