Timestamp,"['1eb2a10a-281d787f 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) W-hours, Received']"
2017-09-20T00:00:00-06:00,91.2109375 kWh
2017-09-21T00:00:00-06:00,93.4296875 kWh
2017-09-22T00:00:00-06:00,85.625 kWh
2017-09-23T00:00:00-06:00,73.640625 kWh
2017-09-24T00:00:00-06:00,73.984375 kWh
2017-09-25T00:00:00-06:00,86.46875 kWh
2017-09-26T00:00:00-06:00,84.2265625 kWh
2017-09-27T00:00:00-06:00,89.5859375 kWh
2017-09-28T00:00:00-06:00,89.796875 kWh
2017-09-29T00:00:00-06:00,88.2421875 kWh
2017-09-30T00:00:00-06:00,78.2890625 kWh
2017-10-01T00:00:00-06:00,78.5625 kWh
2017-10-02T00:00:00-06:00,90.0234375 kWh
2017-10-03T00:00:00-06:00,91.6640625 kWh
2017-10-04T00:00:00-06:00,91.9296875 kWh
2017-10-05T00:00:00-06:00,94.640625 kWh
2017-10-06T00:00:00-06:00,86.5 kWh
2017-10-07T00:00:00-06:00,76.0859375 kWh
2017-10-08T00:00:00-06:00,77.03125 kWh
2017-10-09T00:00:00-06:00,87.453125 kWh
2017-10-10T00:00:00-06:00,91.6796875 kWh
2017-10-11T00:00:00-06:00,92.5078125 kWh
2017-10-12T00:00:00-06:00,91.7421875 kWh
2017-10-13T00:00:00-06:00,82.265625 kWh
2017-10-14T00:00:00-06:00,73.84375 kWh
2017-10-15T00:00:00-06:00,73.6171875 kWh
2017-10-16T00:00:00-06:00,89.03125 kWh
2017-10-17T00:00:00-06:00,89.1484375 kWh
2017-10-18T00:00:00-06:00,95.140625 kWh
2017-10-19T00:00:00-06:00,93.3125 kWh
2017-10-20T00:00:00-06:00,85.71875 kWh
2017-10-21T00:00:00-06:00,74.546875 kWh
2017-10-22T00:00:00-06:00,74.5 kWh
2017-10-23T00:00:00-06:00,87.890625 kWh
2017-10-24T00:00:00-06:00,95.5234375 kWh
2017-10-25T00:00:00-06:00,97.328125 kWh
2017-10-26T00:00:00-06:00,98.4296875 kWh
2017-10-27T00:00:00-06:00,89.421875 kWh
2017-10-28T00:00:00-06:00,76.8828125 kWh
2017-10-29T00:00:00-06:00,77.2109375 kWh
2017-10-30T00:00:00-06:00,91.3828125 kWh
2017-10-31T00:00:00-06:00,91.4765625 kWh
2017-11-01T00:00:00-06:00,101.0390625 kWh
2017-11-02T00:00:00-06:00,98.390625 kWh
2017-11-03T00:00:00-06:00,88.7109375 kWh
2017-11-04T00:00:00-06:00,74.515625 kWh
2017-11-05T00:00:00-06:00,77.953125 kWh
2017-11-06T00:00:00-07:00,93.6953125 kWh
2017-11-07T00:00:00-07:00,96.8359375 kWh
2017-11-08T00:00:00-07:00,102.4375 kWh
2017-11-09T00:00:00-07:00,97.125 kWh
2017-11-10T00:00:00-07:00,91.0546875 kWh
2017-11-11T00:00:00-07:00,82.90625 kWh
2017-11-12T00:00:00-07:00,80.3359375 kWh
2017-11-13T00:00:00-07:00,92.8671875 kWh
2017-11-14T00:00:00-07:00,93.8359375 kWh
2017-11-15T00:00:00-07:00,97.7109375 kWh
2017-11-16T00:00:00-07:00,97.9609375 kWh
2017-11-17T00:00:00-07:00,94.9296875 kWh
2017-11-18T00:00:00-07:00,79.0234375 kWh
2017-11-19T00:00:00-07:00,78.4765625 kWh
2017-11-20T00:00:00-07:00,96.8046875 kWh
2017-11-21T00:00:00-07:00,94.515625 kWh
2017-11-22T00:00:00-07:00,90.234375 kWh
2017-11-23T00:00:00-07:00,74.8046875 kWh
2017-11-24T00:00:00-07:00,75.453125 kWh
2017-11-25T00:00:00-07:00,74.828125 kWh
2017-11-26T00:00:00-07:00,74.8984375 kWh
2017-11-27T00:00:00-07:00,88.265625 kWh
2017-11-28T00:00:00-07:00,95.484375 kWh
2017-11-29T00:00:00-07:00,100.6328125 kWh
2017-11-30T00:00:00-07:00,99.0625 kWh
2017-12-01T00:00:00-07:00,86.734375 kWh
2017-12-02T00:00:00-07:00,73.5859375 kWh
2017-12-03T00:00:00-07:00,72.6875 kWh
2017-12-04T00:00:00-07:00,94.8671875 kWh
2017-12-05T00:00:00-07:00,98.78125 kWh
2017-12-06T00:00:00-07:00,96.6640625 kWh
2017-12-07T00:00:00-07:00,89.6171875 kWh
2017-12-08T00:00:00-07:00,87.84375 kWh
2017-12-09T00:00:00-07:00,71.8828125 kWh
2017-12-10T00:00:00-07:00,70.546875 kWh
2017-12-11T00:00:00-07:00,88.21875 kWh
2017-12-12T00:00:00-07:00,90.7890625 kWh
2017-12-13T00:00:00-07:00,94.390625 kWh
2017-12-14T00:00:00-07:00,88.9609375 kWh
2017-12-15T00:00:00-07:00,84.890625 kWh
2017-12-16T00:00:00-07:00,75.359375 kWh
2017-12-17T00:00:00-07:00,70.6640625 kWh
2017-12-18T00:00:00-07:00,87.5703125 kWh
2017-12-19T00:00:00-07:00,88.9296875 kWh
2017-12-20T00:00:00-07:00,87.75 kWh
2017-12-21T00:00:00-07:00,92.546875 kWh
2017-12-22T00:00:00-07:00,76.484375 kWh
2017-12-23T00:00:00-07:00,69.8828125 kWh
2017-12-24T00:00:00-07:00,71.1328125 kWh
2017-12-25T00:00:00-07:00,69.453125 kWh
2017-12-26T00:00:00-07:00,69.4140625 kWh
2017-12-27T00:00:00-07:00,77.578125 kWh
2017-12-28T00:00:00-07:00,76.75 kWh
2017-12-29T00:00:00-07:00,69.328125 kWh
2017-12-30T00:00:00-07:00,69.84375 kWh
2017-12-31T00:00:00-07:00,70.921875 kWh
