Timestamp,['1e8432ce-6ad141f3 0110-ECCLES STUDENT LIFE CNTR Power Meter (HLM2) Real power']
2017-06-21T00:00:00-06:00,24.337974548339844 kW
2017-06-22T00:00:00-06:00,22.612083435058594 kW
2017-06-23T00:00:00-06:00,20.04955291748047 kW
2017-06-24T00:00:00-06:00,21.428739547729492 kW
2017-06-25T00:00:00-06:00,20.470170974731445 kW
2017-06-26T00:00:00-06:00,20.54665756225586 kW
2017-06-27T00:00:00-06:00,21.805896759033203 kW
2017-06-28T00:00:00-06:00,20.41202163696289 kW
2017-06-29T00:00:00-06:00,20.183700561523438 kW
2017-06-30T00:00:00-06:00,22.90349578857422 kW
2017-07-01T00:00:00-06:00,21.00338363647461 kW
2017-07-02T00:00:00-06:00,20.15028190612793 kW
2017-07-03T00:00:00-06:00,20.589082717895508 kW
2017-07-04T00:00:00-06:00,20.491233825683594 kW
2017-07-05T00:00:00-06:00,25.16973114013672 kW
2017-07-06T00:00:00-06:00,22.996089935302734 kW
2017-07-07T00:00:00-06:00,21.265233993530273 kW
2017-07-08T00:00:00-06:00,20.78429412841797 kW
2017-07-09T00:00:00-06:00,17.951032638549805 kW
2017-07-10T00:00:00-06:00,18.21108055114746 kW
2017-07-11T00:00:00-06:00,17.83292007446289 kW
2017-07-12T00:00:00-06:00,18.090436935424805 kW
2017-07-13T00:00:00-06:00,19.80088996887207 kW
2017-07-14T00:00:00-06:00,19.99364471435547 kW
2017-07-15T00:00:00-06:00,17.59746742248535 kW
2017-07-16T00:00:00-06:00,17.90142250061035 kW
2017-07-17T00:00:00-06:00,17.656787872314453 kW
2017-07-18T00:00:00-06:00,22.65546226501465 kW
2017-07-19T00:00:00-06:00,17.640033721923828 kW
2017-07-20T00:00:00-06:00,17.805727005004883 kW
2017-07-21T00:00:00-06:00,17.96625328063965 kW
2017-07-22T00:00:00-06:00,17.387645721435547 kW
2017-07-23T00:00:00-06:00,17.678558349609375 kW
2017-07-24T00:00:00-06:00,16.990306854248047 kW
2017-07-25T00:00:00-06:00,17.447402954101562 kW
2017-07-26T00:00:00-06:00,18.039716720581055 kW
2017-07-27T00:00:00-06:00,17.83617401123047 kW
2017-07-28T00:00:00-06:00,17.8815975189209 kW
2017-07-29T00:00:00-06:00,17.32663345336914 kW
2017-07-30T00:00:00-06:00,17.829357147216797 kW
2017-07-31T00:00:00-06:00,21.740650177001953 kW
2017-08-01T00:00:00-06:00,20.688308715820312 kW
2017-08-02T00:00:00-06:00,20.068775177001953 kW
2017-08-03T00:00:00-06:00,19.926795959472656 kW
2017-08-04T00:00:00-06:00,17.784996032714844 kW
2017-08-05T00:00:00-06:00,17.431610107421875 kW
2017-08-06T00:00:00-06:00,16.940671920776367 kW
2017-08-07T00:00:00-06:00,17.954513549804688 kW
2017-08-08T00:00:00-06:00,17.852466583251953 kW
2017-08-09T00:00:00-06:00,17.567089080810547 kW
2017-08-10T00:00:00-06:00,17.833942413330078 kW
2017-08-11T00:00:00-06:00,17.729887008666992 kW
2017-08-12T00:00:00-06:00,19.492111206054688 kW
2017-08-13T00:00:00-06:00,17.599456787109375 kW
2017-08-14T00:00:00-06:00,17.170564651489258 kW
2017-08-15T00:00:00-06:00,17.921356201171875 kW
2017-08-16T00:00:00-06:00,17.766586303710938 kW
2017-08-17T00:00:00-06:00,20.013647079467773 kW
2017-08-18T00:00:00-06:00,20.285213470458984 kW
2017-08-19T00:00:00-06:00,20.30754280090332 kW
2017-08-20T00:00:00-06:00,20.131731033325195 kW
2017-08-21T00:00:00-06:00,18.755416870117188 kW
2017-08-22T00:00:00-06:00,19.239498138427734 kW
2017-08-23T00:00:00-06:00,18.355010986328125 kW
2017-08-24T00:00:00-06:00,18.407142639160156 kW
2017-08-25T00:00:00-06:00,17.817720413208008 kW
2017-08-26T00:00:00-06:00,19.78921890258789 kW
2017-08-27T00:00:00-06:00,20.035770416259766 kW
2017-08-28T00:00:00-06:00,20.534833908081055 kW
2017-08-29T00:00:00-06:00,23.090301513671875 kW
2017-08-30T00:00:00-06:00,19.1074161529541 kW
2017-08-31T00:00:00-06:00,17.893688201904297 kW
2017-09-01T00:00:00-06:00,18.26806640625 kW
2017-09-02T00:00:00-06:00,17.118671417236328 kW
