Timestamp,['1cdb9cb6-acafe61e 0086-MARRIOTT LIBRARY Power Meter 3 KW Total']
2017-10-18T00:00:00-06:00,74.9000015258789 kW
2017-10-19T00:00:00-06:00,79.4000015258789 kW
2017-10-20T00:00:00-06:00,70.69999694824219 kW
2017-10-21T00:00:00-06:00,52 kW
2017-10-22T00:00:00-06:00,52.70000076293945 kW
2017-10-23T00:00:00-06:00,68.5999984741211 kW
2017-10-24T00:00:00-06:00,74.19999694824219 kW
2017-10-25T00:00:00-06:00,74.5 kW
2017-10-26T00:00:00-06:00,64.0999984741211 kW
2017-10-27T00:00:00-06:00,64.80000305175781 kW
2017-10-28T00:00:00-06:00,54.5 kW
2017-10-29T00:00:00-06:00,52.099998474121094 kW
2017-10-30T00:00:00-06:00,69.9000015258789 kW
2017-10-31T00:00:00-06:00,55.29999923706055 kW
2017-11-01T00:00:00-06:00,73.5 kW
2017-11-02T00:00:00-06:00,69.0999984741211 kW
2017-11-03T00:00:00-06:00,60.599998474121094 kW
2017-11-04T00:00:00-06:00,47.79999923706055 kW
2017-11-05T00:00:00-06:00,48.099998474121094 kW
2017-11-06T00:00:00-07:00,68.5999984741211 kW
2017-11-07T00:00:00-07:00,66.4000015258789 kW
2017-11-08T00:00:00-07:00,72.4000015258789 kW
2017-11-09T00:00:00-07:00,70.19999694824219 kW
2017-11-10T00:00:00-07:00,66 kW
2017-11-11T00:00:00-07:00,47.79999923706055 kW
2017-11-12T00:00:00-07:00,48.20000076293945 kW
2017-11-13T00:00:00-07:00,61.900001525878906 kW
2017-11-14T00:00:00-07:00,60.599998474121094 kW
2017-11-15T00:00:00-07:00,67.0999984741211 kW
2017-11-16T00:00:00-07:00,65.9000015258789 kW
2017-11-17T00:00:00-07:00,63.400001525878906 kW
2017-11-18T00:00:00-07:00,48.900001525878906 kW
2017-11-19T00:00:00-07:00,50 kW
2017-11-20T00:00:00-07:00,62 kW
2017-11-21T00:00:00-07:00,64.0999984741211 kW
2017-11-22T00:00:00-07:00,56.70000076293945 kW
2017-11-23T00:00:00-07:00,45 kW
2017-11-24T00:00:00-07:00,44.70000076293945 kW
2017-11-25T00:00:00-07:00,48.70000076293945 kW
2017-11-26T00:00:00-07:00,48.29999923706055 kW
2017-11-27T00:00:00-07:00,64.9000015258789 kW
2017-11-28T00:00:00-07:00,66.5 kW
2017-11-29T00:00:00-07:00,66.5999984741211 kW
2017-11-30T00:00:00-07:00,64.5 kW
2017-12-01T00:00:00-07:00,62.20000076293945 kW
2017-12-02T00:00:00-07:00,50.70000076293945 kW
2017-12-03T00:00:00-07:00,50.099998474121094 kW
2017-12-04T00:00:00-07:00,64.30000305175781 kW
2017-12-05T00:00:00-07:00,66.4000015258789 kW
2017-12-06T00:00:00-07:00,71 kW
2017-12-07T00:00:00-07:00,69.30000305175781 kW
2017-12-08T00:00:00-07:00,56.70000076293945 kW
2017-12-09T00:00:00-07:00,53.79999923706055 kW
2017-12-10T00:00:00-07:00,57.20000076293945 kW
2017-12-11T00:00:00-07:00,60.5 kW
2017-12-12T00:00:00-07:00,60.099998474121094 kW
2017-12-13T00:00:00-07:00,59.79999923706055 kW
2017-12-14T00:00:00-07:00,61.400001525878906 kW
2017-12-15T00:00:00-07:00,54.599998474121094 kW
2017-12-16T00:00:00-07:00,48.099998474121094 kW
2017-12-17T00:00:00-07:00,45.20000076293945 kW
2017-12-18T00:00:00-07:00,62.099998474121094 kW
2017-12-19T00:00:00-07:00,54.29999923706055 kW
2017-12-20T00:00:00-07:00,52.099998474121094 kW
2017-12-21T00:00:00-07:00,51.900001525878906 kW
2017-12-22T00:00:00-07:00,49.099998474121094 kW
2017-12-23T00:00:00-07:00,46.29999923706055 kW
2017-12-24T00:00:00-07:00,45.599998474121094 kW
2017-12-25T00:00:00-07:00,48 kW
2017-12-26T00:00:00-07:00,44.70000076293945 kW
2017-12-27T00:00:00-07:00,46 kW
2017-12-28T00:00:00-07:00,43.900001525878906 kW
2017-12-29T00:00:00-07:00,47.20000076293945 kW
2017-12-30T00:00:00-07:00,44.400001525878906 kW
2017-12-31T00:00:00-07:00,45.400001525878906 kW
