Timestamp,"['1ef4683e-786dc825 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 W-hours, Received']"
2017-12-13T00:00:00-07:00,693.6875 kWh
2017-12-14T00:00:00-07:00,743.9375 kWh
2017-12-15T00:00:00-07:00,704.5625 kWh
2017-12-16T00:00:00-07:00,523.8125 kWh
2017-12-17T00:00:00-07:00,478.8125 kWh
2017-12-18T00:00:00-07:00,584.875 kWh
2017-12-19T00:00:00-07:00,587.1875 kWh
2017-12-20T00:00:00-07:00,580.875 kWh
2017-12-21T00:00:00-07:00,598 kWh
2017-12-22T00:00:00-07:00,521.0625 kWh
2017-12-23T00:00:00-07:00,466.375 kWh
2017-12-24T00:00:00-07:00,460.3125 kWh
2017-12-25T00:00:00-07:00,449.5 kWh
2017-12-26T00:00:00-07:00,475.625 kWh
2017-12-27T00:00:00-07:00,510.875 kWh
2017-12-28T00:00:00-07:00,478.625 kWh
2017-12-29T00:00:00-07:00,463.1875 kWh
2017-12-30T00:00:00-07:00,446.8125 kWh
2017-12-31T00:00:00-07:00,462.375 kWh
