Timestamp,['1cca7546-e1f685ca 0062-WARNOCK ENGR BLDG Power Meter 316607 Current A']
2017-09-03T00:00:00-06:00,453.53125 A
2017-09-04T00:00:00-06:00,452.3541666666667 A
2017-09-05T00:00:00-06:00,480.1354166666667 A
2017-09-06T00:00:00-06:00,476.7684210526316 A
2017-09-07T00:00:00-06:00,482.1875 A
2017-09-08T00:00:00-06:00,477.4835164835165 A
2017-09-09T00:00:00-06:00,448.6145833333333 A
2017-09-10T00:00:00-06:00,445.0416666666667 A
2017-09-11T00:00:00-06:00,482.8541666666667 A
2017-09-12T00:00:00-06:00,491.2916666666667 A
2017-09-13T00:00:00-06:00,492.2083333333333 A
2017-09-14T00:00:00-06:00,479.96875 A
2017-09-15T00:00:00-06:00,462.3645833333333 A
2017-09-16T00:00:00-06:00,424.3333333333333 A
2017-09-17T00:00:00-06:00,428.8125 A
2017-09-18T00:00:00-06:00,464.40625 A
2017-09-19T00:00:00-06:00,463.5416666666667 A
2017-09-20T00:00:00-06:00,462.15625 A
2017-09-21T00:00:00-06:00,444.5 A
2017-09-22T00:00:00-06:00,408.8229166666667 A
2017-09-23T00:00:00-06:00,373.7083333333333 A
2017-09-24T00:00:00-06:00,372.2083333333333 A
2017-09-25T00:00:00-06:00,431.4895833333333 A
2017-09-26T00:00:00-06:00,443.84375 A
2017-09-27T00:00:00-06:00,464.4583333333333 A
2017-09-28T00:00:00-06:00,468.6354166666667 A
2017-09-29T00:00:00-06:00,461.1041666666667 A
2017-09-30T00:00:00-06:00,435.4895833333333 A
2017-10-01T00:00:00-06:00,408.0416666666667 A
2017-10-02T00:00:00-06:00,398.2395833333333 A
2017-10-03T00:00:00-06:00,435.7395833333333 A
2017-10-04T00:00:00-06:00,452.7291666666667 A
2017-10-05T00:00:00-06:00,436.3645833333333 A
2017-10-06T00:00:00-06:00,431.875 A
2017-10-07T00:00:00-06:00,424.8020833333333 A
2017-10-08T00:00:00-06:00,382.4791666666667 A
2017-10-09T00:00:00-06:00,390.1979166666667 A
2017-10-10T00:00:00-06:00,414.5625 A
2017-10-11T00:00:00-06:00,435.34375 A
2017-10-12T00:00:00-06:00,412.9375 A
2017-10-13T00:00:00-06:00,408.1979166666667 A
2017-10-14T00:00:00-06:00,377.40625 A
2017-10-15T00:00:00-06:00,389.2291666666667 A
2017-10-16T00:00:00-06:00,427.1458333333333 A
2017-10-17T00:00:00-06:00,444.9479166666667 A
2017-10-18T00:00:00-06:00,452.3020833333333 A
2017-10-19T00:00:00-06:00,453.3125 A
2017-10-20T00:00:00-06:00,431.6145833333333 A
2017-10-21T00:00:00-06:00,376.8854166666667 A
2017-10-22T00:00:00-06:00,397.9583333333333 A
2017-10-23T00:00:00-06:00,435.28125 A
2017-10-24T00:00:00-06:00,428.1458333333333 A
2017-10-25T00:00:00-06:00,428.9375 A
2017-10-26T00:00:00-06:00,427.3854166666667 A
2017-10-27T00:00:00-06:00,416.8333333333333 A
2017-10-28T00:00:00-06:00,408.21875 A
2017-10-29T00:00:00-06:00,408.3020833333333 A
2017-10-30T00:00:00-06:00,421.53125 A
2017-10-31T00:00:00-06:00,400.46875 A
2017-11-01T00:00:00-06:00,427.6458333333333 A
2017-11-02T00:00:00-06:00,457.4583333333333 A
2017-11-03T00:00:00-06:00,448.1354166666667 A
2017-11-04T00:00:00-06:00,396.5520833333333 A
2017-11-05T00:00:00-06:00,363.69 A
2017-11-06T00:00:00-07:00,400.96875 A
2017-11-07T00:00:00-07:00,415.125 A
2017-11-08T00:00:00-07:00,413.1875 A
2017-11-09T00:00:00-07:00,443.4375 A
2017-11-10T00:00:00-07:00,414.2708333333333 A
2017-11-11T00:00:00-07:00,407.375 A
2017-11-12T00:00:00-07:00,397.7604166666667 A
2017-11-13T00:00:00-07:00,431.9479166666667 A
2017-11-14T00:00:00-07:00,429.8 A
2017-11-15T00:00:00-07:00,421.03125 A
2017-11-16T00:00:00-07:00,458.9479166666667 A
2017-11-17T00:00:00-07:00,412.7604166666667 A
2017-11-18T00:00:00-07:00,395.9895833333333 A
2017-11-19T00:00:00-07:00,390.4375 A
2017-11-20T00:00:00-07:00,414.625 A
2017-11-21T00:00:00-07:00,450.1458333333333 A
2017-11-22T00:00:00-07:00,446.6145833333333 A
2017-11-23T00:00:00-07:00,417.125 A
2017-11-24T00:00:00-07:00,406.2604166666667 A
2017-11-25T00:00:00-07:00,391.3020833333333 A
2017-11-26T00:00:00-07:00,408.625 A
