Timestamp,['1e8432a4-34a8c1af 0110-ECCLES STUDENT LIFE CNTR Power Meter (HL12) 316566 Real power']
2017-11-02T00:00:00-06:00,0.012771845795214176 kW
2017-11-03T00:00:00-06:00,0.012797035276889801 kW
2017-11-04T00:00:00-06:00,0.012644276022911072 kW
2017-11-05T00:00:00-06:00,0.012658292427659035 kW
2017-11-06T00:00:00-07:00,0.012821411713957787 kW
2017-11-07T00:00:00-07:00,0.012821005657315254 kW
2017-11-08T00:00:00-07:00,0.012678606435656548 kW
2017-11-09T00:00:00-07:00,0.012664590030908585 kW
2017-11-10T00:00:00-07:00,0.01297315489500761 kW
2017-11-11T00:00:00-07:00,0.012722889892756939 kW
2017-11-12T00:00:00-07:00,0.012718217447400093 kW
2017-11-13T00:00:00-07:00,0.012746048159897327 kW
2017-11-14T00:00:00-07:00,0.012860413640737534 kW
2017-11-15T00:00:00-07:00,0.012825880199670792 kW
2017-11-16T00:00:00-07:00,0.01267982553690672 kW
2017-11-17T00:00:00-07:00,0.01275803241878748 kW
2017-11-18T00:00:00-07:00,0.01274564117193222 kW
2017-11-19T00:00:00-07:00,0.012643666937947273 kW
2017-11-20T00:00:00-07:00,0.012760267592966557 kW
2017-11-21T00:00:00-07:00,0.012780377641320229 kW
2017-11-22T00:00:00-07:00,0.012975999154150486 kW
2017-11-23T00:00:00-07:00,0.012419809587299824 kW
2017-11-24T00:00:00-07:00,0.012493954040110111 kW
2017-11-25T00:00:00-07:00,0.01268266886472702 kW
2017-11-26T00:00:00-07:00,0.012660120613873005 kW
2017-11-27T00:00:00-07:00,0.012722889892756939 kW
2017-11-28T00:00:00-07:00,0.012803129851818085 kW
2017-11-29T00:00:00-07:00,0.012860819697380066 kW
2017-11-30T00:00:00-07:00,0.012838475406169891 kW
2017-12-01T00:00:00-07:00,0.012640010565519333 kW
2017-12-02T00:00:00-07:00,0.012556317262351513 kW
2017-12-03T00:00:00-07:00,0.01269445102661848 kW
2017-12-04T00:00:00-07:00,0.012791143730282784 kW
2017-12-05T00:00:00-07:00,0.01282730232924223 kW
2017-12-06T00:00:00-07:00,0.012795410118997097 kW
2017-12-07T00:00:00-07:00,0.012778752483427525 kW
2017-12-08T00:00:00-07:00,0.012873210944235325 kW
2017-12-09T00:00:00-07:00,0.012611367739737034 kW
2017-12-10T00:00:00-07:00,0.012737312354147434 kW
2017-12-11T00:00:00-07:00,0.012748485431075096 kW
2017-12-12T00:00:00-07:00,0.01273203082382679 kW
2017-12-13T00:00:00-07:00,0.012816130183637142 kW
2017-12-14T00:00:00-07:00,0.012909776531159878 kW
2017-12-15T00:00:00-07:00,0.012762704864144325 kW
2017-12-16T00:00:00-07:00,0.012550223618745804 kW
2017-12-17T00:00:00-07:00,0.012772048823535442 kW
2017-12-18T00:00:00-07:00,0.012619087472558022 kW
2017-12-19T00:00:00-07:00,0.012646307237446308 kW
2017-12-20T00:00:00-07:00,0.01286508608609438 kW
2017-12-21T00:00:00-07:00,0.012658902443945408 kW
2017-12-22T00:00:00-07:00,0.012784440070390701 kW
2017-12-23T00:00:00-07:00,0.012379588559269905 kW
2017-12-24T00:00:00-07:00,0.012594913132488728 kW
2017-12-25T00:00:00-07:00,0.01245515514165163 kW
2017-12-26T00:00:00-07:00,0.012533159926533699 kW
2017-12-27T00:00:00-07:00,0.0127340629696846 kW
2017-12-28T00:00:00-07:00,0.012684700079262257 kW
2017-12-29T00:00:00-07:00,0.012573583982884884 kW
2017-12-30T00:00:00-07:00,0.012533159926533699 kW
2017-12-31T00:00:00-07:00,0.01232209987938404 kW
