Timestamp,['1d0db2b5-6417c279 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 Current C']
2017-10-24T00:00:00-06:00,140.36328261526006 A
2017-10-25T00:00:00-06:00,154.56331999929327 A
2017-10-26T00:00:00-06:00,112.32823775442023 A
2017-10-27T00:00:00-06:00,129.8138013680776 A
2017-10-28T00:00:00-06:00,91.06882067521413 A
2017-10-29T00:00:00-06:00,95.1964187224706 A
2017-10-30T00:00:00-06:00,111.17042168065122 A
2017-10-31T00:00:00-06:00,103.80207258525648 A
2017-11-01T00:00:00-06:00,105.71953841050465 A
2017-11-02T00:00:00-06:00,106.51954007148743 A
2017-11-03T00:00:00-06:00,109.46912542978923 A
2017-11-04T00:00:00-06:00,89.81236282984416 A
2017-11-05T00:00:00-06:00,85.88739810943603 A
2017-11-06T00:00:00-07:00,104.6889017422994 A
2017-11-07T00:00:00-07:00,105.77897691726685 A
2017-11-08T00:00:00-07:00,103.91973837216695 A
2017-11-09T00:00:00-07:00,106.05138440926869 A
2017-11-10T00:00:00-07:00,102.93419404824574 A
2017-11-11T00:00:00-07:00,86.42182199160258 A
2017-11-12T00:00:00-07:00,87.21833789348602 A
2017-11-13T00:00:00-07:00,107.00490538279216 A
2017-11-14T00:00:00-07:00,108.27102732658386 A
2017-11-15T00:00:00-07:00,107.96523761749268 A
2017-11-16T00:00:00-07:00,113.33639681339264 A
2017-11-17T00:00:00-07:00,108.2069475274337 A
2017-11-18T00:00:00-07:00,103.60872912406921 A
2017-11-19T00:00:00-07:00,111.83273887634277 A
2017-11-20T00:00:00-07:00,117.8771783510844 A
2017-11-21T00:00:00-07:00,121.14650996526082 A
2017-11-22T00:00:00-07:00,122.77095174789429 A
2017-11-23T00:00:00-07:00,121.33660364151001 A
2017-11-24T00:00:00-07:00,122.00627024968465 A
2017-11-25T00:00:00-07:00,116.60466368993123 A
2017-11-26T00:00:00-07:00,117.12165991465251 A
2017-11-27T00:00:00-07:00,132.74116452534994 A
2017-11-28T00:00:00-07:00,126.52697761853535 A
2017-11-29T00:00:00-07:00,126.36970774332683 A
2017-11-30T00:00:00-07:00,126.47175582249959 A
2017-12-01T00:00:00-07:00,127.20437288284302 A
2017-12-02T00:00:00-07:00,120.8816750049591 A
2017-12-03T00:00:00-07:00,127.0347870985667 A
2017-12-04T00:00:00-07:00,129.0927663644155 A
2017-12-05T00:00:00-07:00,128.78986756006876 A
2017-12-06T00:00:00-07:00,120.66013503074646 A
2017-12-07T00:00:00-07:00,102.17764993508656 A
2017-12-08T00:00:00-07:00,101.7836830218633 A
2017-12-09T00:00:00-07:00,108.68332314491272 A
2017-12-10T00:00:00-07:00,109.08127490679423 A
2017-12-11T00:00:00-07:00,99.49106693267822 A
2017-12-12T00:00:00-07:00,92.8972049554189 A
2017-12-13T00:00:00-07:00,92.12130840619405 A
2017-12-14T00:00:00-07:00,92.39077123006184 A
2017-12-15T00:00:00-07:00,92.37539736429851 A
2017-12-16T00:00:00-07:00,90.38292821248372 A
2017-12-17T00:00:00-07:00,89.90575544039409 A
2017-12-18T00:00:00-07:00,91.89638943142361 A
2017-12-19T00:00:00-07:00,90.2444076538086 A
2017-12-20T00:00:00-07:00,90.81199653943379 A
2017-12-21T00:00:00-07:00,91.92521246274312 A
2017-12-22T00:00:00-07:00,91.10397942860921 A
2017-12-23T00:00:00-07:00,89.98243363698323 A
2017-12-24T00:00:00-07:00,90.26349647839864 A
2017-12-25T00:00:00-07:00,89.18288707733154 A
2017-12-26T00:00:00-07:00,90.33397046724956 A
2017-12-27T00:00:00-07:00,90.31338715553284 A
2017-12-28T00:00:00-07:00,90.16703919569652 A
2017-12-29T00:00:00-07:00,89.84201157093048 A
2017-12-30T00:00:00-07:00,89.22954042752583 A
2017-12-31T00:00:00-07:00,89.50518210728963 A
