Timestamp,['1cac2825-0e96303f 0077-CHRISTENSEN CNTR Power Meter (300172) Current A']
2017-06-19T00:00:00-06:00,95.06900936336133 A
2017-06-20T00:00:00-06:00,97.33778841760423 A
2017-06-21T00:00:00-06:00,99.02068639066485 A
2017-06-22T00:00:00-06:00,97.64182685216268 A
2017-06-23T00:00:00-06:00,91.7189309913471 A
2017-06-24T00:00:00-06:00,70.81562037335502 A
2017-06-25T00:00:00-06:00,66.52208943764369 A
2017-06-26T00:00:00-06:00,95.03798790772755 A
2017-06-27T00:00:00-06:00,97.43133802857972 A
2017-06-28T00:00:00-06:00,95.96591621504889 A
2017-06-29T00:00:00-06:00,100.82304748959011 A
2017-06-30T00:00:00-06:00,90.63508298397065 A
2017-07-01T00:00:00-06:00,89.80293089283838 A
2017-07-02T00:00:00-06:00,91.0441322830338 A
2017-07-03T00:00:00-06:00,93.00085668298934 A
2017-07-04T00:00:00-06:00,82.00093779034084 A
2017-07-05T00:00:00-06:00,94.31504684193753 A
2017-07-06T00:00:00-06:00,96.35947842333051 A
2017-07-07T00:00:00-06:00,88.56890168190003 A
2017-07-08T00:00:00-06:00,89.5293445163303 A
2017-07-09T00:00:00-06:00,82.70741432242923 A
2017-07-10T00:00:00-06:00,87.10821031464471 A
2017-07-11T00:00:00-06:00,97.92087522082859 A
2017-07-12T00:00:00-06:00,93.42472290992737 A
2017-07-13T00:00:00-06:00,97.62493930127886 A
2017-07-14T00:00:00-06:00,89.46068802674611 A
2017-07-15T00:00:00-06:00,89.74490210215251 A
2017-07-16T00:00:00-06:00,89.55207584169176 A
2017-07-17T00:00:00-06:00,94.49342676268684 A
2017-07-18T00:00:00-06:00,101.88619906902314 A
2017-07-19T00:00:00-06:00,100.55761422581143 A
2017-07-20T00:00:00-06:00,101.0619558175405 A
2017-07-21T00:00:00-06:00,89.26166819731394 A
2017-07-22T00:00:00-06:00,83.9892477856742 A
2017-07-23T00:00:00-06:00,84.59305624696944 A
2017-07-24T00:00:00-06:00,85.93966714011299 A
2017-07-25T00:00:00-06:00,96.12650716304779 A
2017-07-26T00:00:00-06:00,100.4617684284846 A
2017-07-27T00:00:00-06:00,98.19594972663455 A
2017-07-28T00:00:00-06:00,81.87107136117088 A
2017-07-29T00:00:00-06:00,62.32778926160601 A
2017-07-30T00:00:00-06:00,62.48786201874415 A
2017-07-31T00:00:00-06:00,87.27811098628574 A
2017-08-01T00:00:00-06:00,102.23218959702386 A
2017-08-02T00:00:00-06:00,97.33406972090403 A
2017-08-03T00:00:00-06:00,93.68772999975417 A
2017-08-04T00:00:00-06:00,95.01097060889333 A
2017-08-05T00:00:00-06:00,85.7221254269282 A
2017-08-06T00:00:00-06:00,81.3196150276396 A
2017-08-07T00:00:00-06:00,95.89412342707315 A
2017-08-08T00:00:00-06:00,98.51009296311273 A
2017-08-09T00:00:00-06:00,93.48797497749328 A
2017-08-10T00:00:00-06:00,88.98764032404473 A
2017-08-11T00:00:00-06:00,94.75688501993815 A
2017-08-12T00:00:00-06:00,91.91849963665008 A
2017-08-13T00:00:00-06:00,90.8833015176985 A
2017-08-14T00:00:00-06:00,95.4158022456699 A
2017-08-15T00:00:00-06:00,89.7486103216807 A
2017-08-16T00:00:00-06:00,103.25458507802752 A
2017-08-17T00:00:00-06:00,95.13200662400988 A
2017-08-18T00:00:00-06:00,105.17833066516452 A
2017-08-19T00:00:00-06:00,105.05235939555698 A
2017-08-20T00:00:00-06:00,103.45447160932753 A
2017-08-21T00:00:00-06:00,109.83523276911842 A
2017-08-22T00:00:00-06:00,127.15216461552514 A
2017-08-23T00:00:00-06:00,125.65466466479832 A
2017-08-24T00:00:00-06:00,108.45677876737383 A
2017-08-25T00:00:00-06:00,101.94213875929515 A
2017-08-26T00:00:00-06:00,97.7223213089837 A
2017-08-27T00:00:00-06:00,94.52393986913893 A
2017-08-28T00:00:00-06:00,104.26066333842728 A
2017-08-29T00:00:00-06:00,111.76767322785958 A
2017-08-30T00:00:00-06:00,113.0084039370219 A
2017-08-31T00:00:00-06:00,111.01631333033244 A
2017-09-01T00:00:00-06:00,106.8794068230523 A
2017-09-02T00:00:00-06:00,105.11039967801835 A
2017-09-03T00:00:00-06:00,98.7103144592709 A
2017-09-04T00:00:00-06:00,96.49082132445442 A
2017-09-05T00:00:00-06:00,115.83725623024834 A
2017-09-06T00:00:00-06:00,109.28718089527554 A
2017-09-07T00:00:00-06:00,115.40298804706997 A
2017-09-08T00:00:00-06:00,104.64923893563986 A
2017-09-09T00:00:00-06:00,95.44430310461256 A
2017-09-10T00:00:00-06:00,91.63440249496036 A
2017-09-11T00:00:00-06:00,115.87501967483097 A
2017-09-12T00:00:00-06:00,113.31894920301404 A
2017-09-13T00:00:00-06:00,111.14573119481405 A
2017-09-14T00:00:00-06:00,108.17966048717498 A
2017-09-15T00:00:00-06:00,103.52565183639527 A
2017-09-16T00:00:00-06:00,92.38473304775026 A
2017-09-17T00:00:00-06:00,71.6800005753835 A
2017-09-18T00:00:00-06:00,109.87775696118673 A
2017-09-19T00:00:00-06:00,115.25032235251533 A
2017-09-20T00:00:00-06:00,123.3508919292026 A
2017-09-21T00:00:00-06:00,102.58951461315155 A
2017-09-22T00:00:00-06:00,90.0040574338701 A
2017-09-23T00:00:00-06:00,74.20342122448815 A
2017-09-24T00:00:00-06:00,74.50496974521214 A
2017-09-25T00:00:00-06:00,106.32604945500692 A
2017-09-26T00:00:00-06:00,121.85624826219347 A
2017-09-27T00:00:00-06:00,106.52217387623257 A
2017-09-28T00:00:00-06:00,102.8619766579734 A
2017-09-29T00:00:00-06:00,102.13568112850189 A
2017-09-30T00:00:00-06:00,98.21849320464663 A
2017-10-01T00:00:00-06:00,89.51724002361297 A
2017-10-02T00:00:00-06:00,103.46594037744734 A
2017-10-03T00:00:00-06:00,101.41214436425103 A
2017-10-04T00:00:00-06:00,102.71762993335724 A
2017-10-05T00:00:00-06:00,106.295464764701 A
2017-10-06T00:00:00-06:00,99.77690731419457 A
2017-10-07T00:00:00-06:00,99.80820931328668 A
2017-10-08T00:00:00-06:00,101.50159610907237 A
2017-10-09T00:00:00-06:00,100.7458033906089 A
2017-10-10T00:00:00-06:00,103.87254538006253 A
2017-10-11T00:00:00-06:00,104.38402454588149 A
2017-10-12T00:00:00-06:00,97.08044933742947 A
2017-10-13T00:00:00-06:00,100.32220670382182 A
2017-10-14T00:00:00-06:00,95.00161962244246 A
2017-10-15T00:00:00-06:00,85.52463505533007 A
2017-10-16T00:00:00-06:00,106.97364239427779 A
2017-10-17T00:00:00-06:00,114.30766535070208 A
2017-10-18T00:00:00-06:00,103.44240430461036 A
2017-10-19T00:00:00-06:00,111.11414097150167 A
2017-10-20T00:00:00-06:00,96.66514742904239 A
2017-10-21T00:00:00-06:00,100.97818524042765 A
2017-10-22T00:00:00-06:00,100.88180740939247 A
2017-10-23T00:00:00-06:00,107.8217860096606 A
2017-10-24T00:00:00-06:00,114.55568976137373 A
2017-10-25T00:00:00-06:00,103.41275656223297 A
2017-10-26T00:00:00-06:00,113.64574700991312 A
2017-10-27T00:00:00-06:00,95.28286494414012 A
2017-10-28T00:00:00-06:00,89.77787191867829 A
2017-10-29T00:00:00-06:00,88.28374392456479 A
2017-10-30T00:00:00-06:00,98.5482572555542 A
2017-10-31T00:00:00-06:00,91.39233657783932 A
2017-11-01T00:00:00-06:00,100.87708150454078 A
2017-11-02T00:00:00-06:00,105.87139780521393 A
2017-11-03T00:00:00-06:00,96.66867575115627 A
2017-11-04T00:00:00-06:00,93.40061102708181 A
2017-11-05T00:00:00-06:00,89.29553994750977 A
2017-11-06T00:00:00-07:00,98.50765950944688 A
2017-11-07T00:00:00-07:00,99.07854807641772 A
2017-11-08T00:00:00-07:00,100.02643800576529 A
2017-11-09T00:00:00-07:00,102.29053909778595 A
2017-11-10T00:00:00-07:00,98.42677102353838 A
2017-11-11T00:00:00-07:00,99.74666442871094 A
2017-11-12T00:00:00-07:00,90.0758874575297 A
2017-11-13T00:00:00-07:00,105.44889773792691 A
2017-11-14T00:00:00-07:00,106.73599311775631 A
2017-11-15T00:00:00-07:00,102.65726527902815 A
2017-11-16T00:00:00-07:00,102.96222147941589 A
2017-11-17T00:00:00-07:00,99.14664436976115 A
2017-11-18T00:00:00-07:00,96.54065283404456 A
2017-11-19T00:00:00-07:00,95.03826434612274 A
2017-11-20T00:00:00-07:00,102.56429752243889 A
2017-11-21T00:00:00-07:00,100.3559662633472 A
2017-11-22T00:00:00-07:00,96.0867184056176 A
2017-11-23T00:00:00-07:00,76.82492602798673 A
2017-11-24T00:00:00-07:00,66.44974861145019 A
2017-11-25T00:00:00-07:00,62.18751982185576 A
2017-11-26T00:00:00-07:00,61.64623838795556 A
2017-11-27T00:00:00-07:00,93.14411504268647 A
