Timestamp,['1f7d6d12-0d501b34 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Current A']
2017-08-23T00:00:00-06:00,293.7083333333333 A
2017-08-24T00:00:00-06:00,231.74609375 A
2017-08-25T00:00:00-06:00,306.7291666666667 A
2017-08-26T00:00:00-06:00,307.5013020833333 A
2017-08-27T00:00:00-06:00,300.1536458333333 A
2017-08-28T00:00:00-06:00,335.3111413043478 A
2017-08-29T00:00:00-06:00,342.23252688172045 A
2017-08-30T00:00:00-06:00,335.4596354166667 A
2017-08-31T00:00:00-06:00,293.9479166666667 A
2017-09-01T00:00:00-06:00,304.0768229166667 A
2017-09-02T00:00:00-06:00,260.3893229166667 A
2017-09-03T00:00:00-06:00,270.8880208333333 A
2017-09-04T00:00:00-06:00,268.58984375 A
2017-09-05T00:00:00-06:00,302.63671875 A
2017-09-06T00:00:00-06:00,329.5950520833333 A
2017-09-07T00:00:00-06:00,320.4869791666667 A
2017-09-08T00:00:00-06:00,309.325 A
2017-09-09T00:00:00-06:00,274.74609375 A
2017-09-10T00:00:00-06:00,265.6927083333333 A
2017-09-11T00:00:00-06:00,287.8203125 A
2017-09-12T00:00:00-06:00,241.7734375 A
2017-09-13T00:00:00-06:00,253.43489583333334 A
2017-09-14T00:00:00-06:00,252.5546875 A
2017-09-15T00:00:00-06:00,241.51302083333334 A
2017-09-16T00:00:00-06:00,197.40625 A
2017-09-17T00:00:00-06:00,218.48567708333334 A
2017-09-18T00:00:00-06:00,284.17578125 A
2017-09-19T00:00:00-06:00,219.61197916666666 A
2017-09-20T00:00:00-06:00,253.56510416666666 A
2017-09-21T00:00:00-06:00,208.78385416666666 A
2017-09-22T00:00:00-06:00,221.09765625 A
2017-09-23T00:00:00-06:00,179.34895833333334 A
2017-09-24T00:00:00-06:00,177.63932291666666 A
2017-09-25T00:00:00-06:00,226.82421875 A
2017-09-26T00:00:00-06:00,242.49609375 A
2017-09-27T00:00:00-06:00,237.1015625 A
2017-09-28T00:00:00-06:00,238.83463541666666 A
2017-09-29T00:00:00-06:00,243.55989583333334 A
2017-09-30T00:00:00-06:00,180.80729166666666 A
2017-10-01T00:00:00-06:00,177.17057291666666 A
2017-10-02T00:00:00-06:00,213.17708333333334 A
2017-10-03T00:00:00-06:00,209.72395833333334 A
2017-10-04T00:00:00-06:00,212.11848958333334 A
2017-10-05T00:00:00-06:00,208.5546875 A
2017-10-06T00:00:00-06:00,209.4453125 A
2017-10-07T00:00:00-06:00,197.06119791666666 A
2017-10-08T00:00:00-06:00,174.96744791666666 A
2017-10-09T00:00:00-06:00,205.15364583333334 A
2017-10-10T00:00:00-06:00,203.70572916666666 A
2017-10-11T00:00:00-06:00,232.796875 A
2017-10-12T00:00:00-06:00,204.90104166666666 A
2017-10-13T00:00:00-06:00,197.453125 A
2017-10-14T00:00:00-06:00,179.30208333333334 A
2017-10-15T00:00:00-06:00,177.80598958333334 A
