Timestamp,['1e71be51-f4c46ef6 0040-STUDENT SERVICES BLDG Power Meter (300089) Current A']
2017-08-03T00:00:00-06:00,649.6516812642416 A
2017-08-04T00:00:00-06:00,643.4065820044214 A
2017-08-05T00:00:00-06:00,596.5902455647787 A
2017-08-06T00:00:00-06:00,585.2575403849283 A
2017-08-07T00:00:00-06:00,633.7842480341593 A
2017-08-08T00:00:00-06:00,624.1794274648031 A
2017-08-09T00:00:00-06:00,623.9685821533203 A
2017-08-10T00:00:00-06:00,621.9222379643867 A
2017-08-11T00:00:00-06:00,636.205104192098 A
2017-08-12T00:00:00-06:00,590.3412532806396 A
2017-08-13T00:00:00-06:00,590.9351965586344 A
2017-08-14T00:00:00-06:00,631.3482672373453 A
2017-08-15T00:00:00-06:00,614.4617080688477 A
2017-08-16T00:00:00-06:00,608.4914458592733 A
2017-08-17T00:00:00-06:00,606.9569597244263 A
2017-08-18T00:00:00-06:00,617.4712413152059 A
2017-08-19T00:00:00-06:00,582.9210007985433 A
2017-08-20T00:00:00-06:00,586.62264696757 A
2017-08-21T00:00:00-06:00,636.4743258158366 A
2017-08-22T00:00:00-06:00,635.6963246663412 A
2017-08-23T00:00:00-06:00,608.1442330678304 A
2017-08-24T00:00:00-06:00,562.0970443089803 A
2017-08-25T00:00:00-06:00,622.0279986063639 A
2017-08-26T00:00:00-06:00,580.9023113250732 A
2017-08-27T00:00:00-06:00,576.559700012207 A
2017-08-28T00:00:00-06:00,633.8089792002802 A
2017-08-29T00:00:00-06:00,627.0653656990297 A
2017-08-30T00:00:00-06:00,620.762687365214 A
2017-08-31T00:00:00-06:00,608.4746230443319 A
2017-09-01T00:00:00-06:00,604.8559214274088 A
2017-09-02T00:00:00-06:00,560.3349447250366 A
2017-09-03T00:00:00-06:00,558.4049183527628 A
2017-09-04T00:00:00-06:00,576.4766982396444 A
2017-09-05T00:00:00-06:00,607.912397702535 A
2017-09-06T00:00:00-06:00,608.0354495399877 A
2017-09-07T00:00:00-06:00,602.7741734186808 A
2017-09-08T00:00:00-06:00,592.8675248166348 A
2017-09-09T00:00:00-06:00,546.5586875279745 A
2017-09-10T00:00:00-06:00,541.8658428192139 A
2017-09-11T00:00:00-06:00,595.7712548573812 A
2017-09-12T00:00:00-06:00,595.2694683074951 A
2017-09-13T00:00:00-06:00,592.7461566925049 A
2017-09-14T00:00:00-06:00,576.7258014678955 A
2017-09-15T00:00:00-06:00,566.1225128173828 A
2017-09-16T00:00:00-06:00,476.5149863560994 A
2017-09-17T00:00:00-06:00,497.69850063323975 A
2017-09-18T00:00:00-06:00,600.4626115163168 A
2017-09-19T00:00:00-06:00,517.7286227544149 A
2017-09-20T00:00:00-06:00,513.9995759328207 A
2017-09-21T00:00:00-06:00,471.3840522766113 A
2017-09-22T00:00:00-06:00,378.2123549779256 A
2017-09-23T00:00:00-06:00,343.76974360148114 A
2017-09-24T00:00:00-06:00,342.7099202473958 A
2017-09-25T00:00:00-06:00,434.8436934153239 A
2017-09-26T00:00:00-06:00,459.24681910464636 A
2017-09-27T00:00:00-06:00,519.8069747289022 A
2017-09-28T00:00:00-06:00,537.5340350468954 A
2017-09-29T00:00:00-06:00,551.4415276845297 A
2017-09-30T00:00:00-06:00,504.86745802561444 A
2017-10-01T00:00:00-06:00,394.6330935829564 A
2017-10-02T00:00:00-06:00,380.30023733774823 A
2017-10-03T00:00:00-06:00,438.9258232116699 A
2017-10-04T00:00:00-06:00,513.2611614863077 A
2017-10-05T00:00:00-06:00,444.7355221396998 A
2017-10-06T00:00:00-06:00,446.8779233296712 A
2017-10-07T00:00:00-06:00,453.5282847086589 A
2017-10-08T00:00:00-06:00,369.7938124338786 A
2017-10-09T00:00:00-06:00,397.04028193155926 A
2017-10-10T00:00:00-06:00,421.01972611745197 A
2017-10-11T00:00:00-06:00,477.8753951390584 A
2017-10-12T00:00:00-06:00,425.3703514734904 A
2017-10-13T00:00:00-06:00,431.93775367736816 A
2017-10-14T00:00:00-06:00,338.29170354207355 A
2017-10-15T00:00:00-06:00,362.6468833287557 A
