Timestamp,['1ee9af9c-a39337f4 0053-OLPIN UNION Power Meter (53-1) Current C']
2017-08-26T00:00:00-06:00,105.3409343957901 A
2017-08-27T00:00:00-06:00,103.38422723611195 A
2017-08-28T00:00:00-06:00,114.93078806067025 A
2017-08-29T00:00:00-06:00,116.3143927051175 A
2017-08-30T00:00:00-06:00,93.43305053710938 A
2017-08-31T00:00:00-06:00,99.24387403329213 A
2017-09-01T00:00:00-06:00,75.84841175874074 A
2017-09-02T00:00:00-06:00,57.54856924215952 A
2017-09-03T00:00:00-06:00,59.644877910614014 A
2017-09-04T00:00:00-06:00,62.502546072006226 A
2017-09-05T00:00:00-06:00,83.61210227012634 A
2017-09-06T00:00:00-06:00,82.95946236451466 A
2017-09-07T00:00:00-06:00,75.9571891228358 A
2017-09-08T00:00:00-06:00,74.3091109196345 A
2017-09-09T00:00:00-06:00,62.26488208770752 A
2017-09-10T00:00:00-06:00,56.40220316251119 A
2017-09-11T00:00:00-06:00,80.37401668230693 A
2017-09-12T00:00:00-06:00,84.19044705231984 A
2017-09-13T00:00:00-06:00,101.4033104578654 A
2017-09-14T00:00:00-06:00,69.54224367936452 A
2017-09-15T00:00:00-06:00,63.02804283301035 A
2017-09-16T00:00:00-06:00,55.009889324506126 A
2017-09-17T00:00:00-06:00,52.3381929397583 A
2017-09-18T00:00:00-06:00,61.677823066711426 A
2017-09-19T00:00:00-06:00,58.42123155593872 A
2017-09-20T00:00:00-06:00,61.325711488723755 A
2017-09-21T00:00:00-06:00,61.17381199200948 A
2017-09-22T00:00:00-06:00,59.15887049833933 A
2017-09-23T00:00:00-06:00,53.43046319484711 A
2017-09-24T00:00:00-06:00,52.46401433149973 A
2017-09-25T00:00:00-06:00,59.65593719482422 A
2017-09-26T00:00:00-06:00,62.11431006590525 A
2017-09-27T00:00:00-06:00,60.748404343922935 A
2017-09-28T00:00:00-06:00,60.09099225203196 A
2017-09-29T00:00:00-06:00,61.1330718199412 A
2017-09-30T00:00:00-06:00,54.43719585736593 A
2017-10-01T00:00:00-06:00,51.62416128317515 A
2017-10-02T00:00:00-06:00,60.90546456972758 A
2017-10-03T00:00:00-06:00,63.41086141268412 A
2017-10-04T00:00:00-06:00,64.4779261747996 A
2017-10-05T00:00:00-06:00,63.54978879292806 A
2017-10-06T00:00:00-06:00,61.80026606718699 A
2017-10-07T00:00:00-06:00,58.653234322865806 A
2017-10-08T00:00:00-06:00,52.26017868518829 A
2017-10-09T00:00:00-06:00,57.93225340048472 A
2017-10-10T00:00:00-06:00,58.036807219187416 A
2017-10-11T00:00:00-06:00,58.010602156321205 A
2017-10-12T00:00:00-06:00,57.77188837528229 A
2017-10-13T00:00:00-06:00,58.716047604878746 A
2017-10-14T00:00:00-06:00,55.13542950153351 A
2017-10-15T00:00:00-06:00,52.019110918045044 A
2017-10-16T00:00:00-06:00,62.14168814818064 A
2017-10-17T00:00:00-06:00,61.701332211494446 A
2017-10-18T00:00:00-06:00,62.89876822630564 A
2017-10-19T00:00:00-06:00,62.35606590906779 A
2017-10-20T00:00:00-06:00,62.24410311381022 A
2017-10-21T00:00:00-06:00,57.514920592308044 A
2017-10-22T00:00:00-06:00,55.414944330851235 A
2017-10-23T00:00:00-06:00,62.014100790023804 A
2017-10-24T00:00:00-06:00,61.06906648476919 A
2017-10-25T00:00:00-06:00,62.10726551214854 A
2017-10-26T00:00:00-06:00,62.46629293759664 A
2017-10-27T00:00:00-06:00,63.92196913560232 A
2017-10-28T00:00:00-06:00,56.12717958291372 A
2017-10-29T00:00:00-06:00,51.85169498125712 A
2017-10-30T00:00:00-06:00,59.875052293141685 A
2017-10-31T00:00:00-06:00,59.40539435545603 A
2017-11-01T00:00:00-06:00,60.87025344371796 A
2017-11-02T00:00:00-06:00,58.680197636286415 A
2017-11-03T00:00:00-06:00,59.40905396143595 A
2017-11-04T00:00:00-06:00,54.36449062824249 A
2017-11-05T00:00:00-06:00,52.675619735717774 A
2017-11-06T00:00:00-07:00,60.180371602376304 A
2017-11-07T00:00:00-07:00,60.1399397055308 A
2017-11-08T00:00:00-07:00,60.161767641703285 A
2017-11-09T00:00:00-07:00,60.042928298314415 A
2017-11-10T00:00:00-07:00,61.21887608369192 A
2017-11-11T00:00:00-07:00,56.73312453428904 A
2017-11-12T00:00:00-07:00,52.05842041969299 A
2017-11-13T00:00:00-07:00,60.286789615949 A
2017-11-14T00:00:00-07:00,60.964425484339394 A
2017-11-15T00:00:00-07:00,61.58653128147125 A
2017-11-16T00:00:00-07:00,59.42270318667094 A
2017-11-17T00:00:00-07:00,60.78748003641764 A
2017-11-18T00:00:00-07:00,54.848388155301414 A
2017-11-19T00:00:00-07:00,52.336118976275124 A
2017-11-20T00:00:00-07:00,60.38167607784271 A
