Timestamp,['1ed629da-5de5bb71 0012-SUTTON BLDG POWER METER 480V (316601) Current C']
2017-08-25T00:00:00-06:00,351.4895833333333 A
2017-08-26T00:00:00-06:00,342.71875 A
2017-08-27T00:00:00-06:00,333.15625 A
2017-08-28T00:00:00-06:00,354.55434782608694 A
2017-08-29T00:00:00-06:00,360.752688172043 A
2017-08-30T00:00:00-06:00,364.59375 A
2017-08-31T00:00:00-06:00,362.6770833333333 A
2017-09-01T00:00:00-06:00,346.0729166666667 A
2017-09-02T00:00:00-06:00,329.5729166666667 A
2017-09-03T00:00:00-06:00,338.8229166666667 A
2017-09-04T00:00:00-06:00,334.7916666666667 A
2017-09-05T00:00:00-06:00,356.9895833333333 A
2017-09-06T00:00:00-06:00,351.2421052631579 A
2017-09-07T00:00:00-06:00,340.2291666666667 A
2017-09-08T00:00:00-06:00,351.67021276595744 A
2017-09-09T00:00:00-06:00,332.1666666666667 A
2017-09-10T00:00:00-06:00,329 A
2017-09-11T00:00:00-06:00,360.5520833333333 A
2017-09-12T00:00:00-06:00,346.4270833333333 A
2017-09-13T00:00:00-06:00,346.9791666666667 A
2017-09-14T00:00:00-06:00,335.3333333333333 A
2017-09-15T00:00:00-06:00,302.59375 A
2017-09-16T00:00:00-06:00,266.8854166666667 A
2017-09-17T00:00:00-06:00,284.84375 A
2017-09-18T00:00:00-06:00,321.6458333333333 A
2017-09-19T00:00:00-06:00,294.03125 A
2017-09-20T00:00:00-06:00,303.5729166666667 A
2017-09-21T00:00:00-06:00,261.7708333333333 A
2017-09-22T00:00:00-06:00,246.92708333333334 A
2017-09-23T00:00:00-06:00,227.88541666666666 A
2017-09-24T00:00:00-06:00,199.3125 A
2017-09-25T00:00:00-06:00,261.0520833333333 A
2017-09-26T00:00:00-06:00,291.6666666666667 A
2017-09-27T00:00:00-06:00,297.1770833333333 A
2017-09-28T00:00:00-06:00,302.0625 A
2017-09-29T00:00:00-06:00,302.3333333333333 A
2017-09-30T00:00:00-06:00,287.3229166666667 A
2017-10-01T00:00:00-06:00,272.2916666666667 A
2017-10-02T00:00:00-06:00,236.95833333333334 A
2017-10-03T00:00:00-06:00,260.03125 A
2017-10-04T00:00:00-06:00,298.6666666666667 A
2017-10-05T00:00:00-06:00,278.5416666666667 A
2017-10-06T00:00:00-06:00,285.3229166666667 A
2017-10-07T00:00:00-06:00,281.6041666666667 A
2017-10-08T00:00:00-06:00,246.64583333333334 A
2017-10-09T00:00:00-06:00,219.79166666666666 A
2017-10-10T00:00:00-06:00,249.61458333333334 A
2017-10-11T00:00:00-06:00,288.5729166666667 A
2017-10-12T00:00:00-06:00,267.7291666666667 A
2017-10-13T00:00:00-06:00,247.51041666666666 A
2017-10-14T00:00:00-06:00,210.36458333333334 A
2017-10-15T00:00:00-06:00,220.53125 A
2017-10-16T00:00:00-06:00,252.89583333333334 A
2017-10-17T00:00:00-06:00,281.7916666666667 A
2017-10-18T00:00:00-06:00,292.4270833333333 A
2017-10-19T00:00:00-06:00,291.1458333333333 A
2017-10-20T00:00:00-06:00,266.03125 A
2017-10-21T00:00:00-06:00,229.73958333333334 A
2017-10-22T00:00:00-06:00,266.3020833333333 A
2017-10-23T00:00:00-06:00,290.1458333333333 A
2017-10-24T00:00:00-06:00,267.4479166666667 A
2017-10-25T00:00:00-06:00,280.2291666666667 A
2017-10-26T00:00:00-06:00,286.5625 A
2017-10-27T00:00:00-06:00,268.53125 A
2017-10-28T00:00:00-06:00,259.7083333333333 A
2017-10-29T00:00:00-06:00,274.03125 A
2017-10-30T00:00:00-06:00,278.125 A
2017-10-31T00:00:00-06:00,251.1875 A
2017-11-01T00:00:00-06:00,282.5416666666667 A
2017-11-02T00:00:00-06:00,303.8333333333333 A
2017-11-03T00:00:00-06:00,290.1666666666667 A
2017-11-04T00:00:00-06:00,256.6666666666667 A
2017-11-05T00:00:00-06:00,237.75 A
2017-11-06T00:00:00-07:00,228.79166666666666 A
2017-11-07T00:00:00-07:00,221.5 A
2017-11-08T00:00:00-07:00,223.71875 A
2017-11-09T00:00:00-07:00,247.67708333333334 A
2017-11-10T00:00:00-07:00,244.98958333333334 A
2017-11-11T00:00:00-07:00,227.77083333333334 A
2017-11-12T00:00:00-07:00,221.75 A
2017-11-13T00:00:00-07:00,259.3229166666667 A
2017-11-14T00:00:00-07:00,267.40625 A
2017-11-15T00:00:00-07:00,254.47916666666666 A
2017-11-16T00:00:00-07:00,309.2083333333333 A
2017-11-17T00:00:00-07:00,227.81052631578947 A
2017-11-18T00:00:00-07:00,202.28125 A
2017-11-19T00:00:00-07:00,202.40625 A
2017-11-20T00:00:00-07:00,217.28125 A
2017-11-21T00:00:00-07:00,274.3541666666667 A
2017-11-22T00:00:00-07:00,293.2083333333333 A
2017-11-23T00:00:00-07:00,271.3125 A
2017-11-24T00:00:00-07:00,273.21875 A
2017-11-25T00:00:00-07:00,256.4583333333333 A
2017-11-26T00:00:00-07:00,286.0520833333333 A
2017-11-27T00:00:00-07:00,271.09375 A
2017-11-28T00:00:00-07:00,222.59375 A
2017-11-29T00:00:00-07:00,224.84375 A
2017-11-30T00:00:00-07:00,223.875 A
2017-12-01T00:00:00-07:00,214.94791666666666 A
2017-12-02T00:00:00-07:00,228.5625 A
2017-12-03T00:00:00-07:00,247.89583333333334 A
2017-12-04T00:00:00-07:00,221.92708333333334 A
2017-12-05T00:00:00-07:00,223.14583333333334 A
2017-12-06T00:00:00-07:00,218.47916666666666 A
2017-12-07T00:00:00-07:00,221.71875 A
2017-12-08T00:00:00-07:00,215.96875 A
2017-12-09T00:00:00-07:00,204.04166666666666 A
2017-12-10T00:00:00-07:00,203.54166666666666 A
2017-12-11T00:00:00-07:00,214.64583333333334 A
2017-12-12T00:00:00-07:00,218.22916666666666 A
2017-12-13T00:00:00-07:00,214.96875 A
2017-12-14T00:00:00-07:00,210.75 A
2017-12-15T00:00:00-07:00,211 A
2017-12-16T00:00:00-07:00,199.61458333333334 A
2017-12-17T00:00:00-07:00,195.21875 A
2017-12-18T00:00:00-07:00,207.43010752688173 A
2017-12-19T00:00:00-07:00,215.20833333333334 A
2017-12-20T00:00:00-07:00,233.98958333333334 A
2017-12-21T00:00:00-07:00,218.70833333333334 A
2017-12-22T00:00:00-07:00,223.26041666666666 A
2017-12-23T00:00:00-07:00,203.39583333333334 A
2017-12-24T00:00:00-07:00,206.32291666666666 A
2017-12-25T00:00:00-07:00,207.75 A
2017-12-26T00:00:00-07:00,200.13541666666666 A
2017-12-27T00:00:00-07:00,211.48958333333334 A
2017-12-28T00:00:00-07:00,220.51041666666666 A
2017-12-29T00:00:00-07:00,224.08333333333334 A
2017-12-30T00:00:00-07:00,240.89583333333334 A
2017-12-31T00:00:00-07:00,205.61458333333334 A
