Timestamp,['1cac6209-e8c0af9e 0009-WIDTSOE BLDG Power Meter 1(300028) VOLT C-N']
2017-06-26T00:00:00-06:00,281.76299886942763 V
2017-06-27T00:00:00-06:00,281.48122897137773 V
2017-06-28T00:00:00-06:00,281.35112654091654 V
2017-06-29T00:00:00-06:00,281.40080857449436 V
2017-06-30T00:00:00-06:00,281.25091339769983 V
2017-07-01T00:00:00-06:00,281.3785115443887 V
2017-07-02T00:00:00-06:00,281.43834861186656 V
2017-07-03T00:00:00-06:00,281.2532393204258 V
2017-07-04T00:00:00-06:00,281.5713623089349 V
2017-07-05T00:00:00-06:00,281.260063733776 V
2017-07-06T00:00:00-06:00,281.3145897842035 V
2017-07-07T00:00:00-06:00,281.01480391966584 V
2017-07-08T00:00:00-06:00,280.3112227251014 V
2017-07-09T00:00:00-06:00,280.27808671665395 V
2017-07-10T00:00:00-06:00,280.3597125980329 V
2017-07-11T00:00:00-06:00,281.44438986758195 V
2017-07-12T00:00:00-06:00,281.34414032068145 V
2017-07-13T00:00:00-06:00,281.6326788059859 V
2017-07-14T00:00:00-06:00,281.1367221958804 V
2017-07-15T00:00:00-06:00,281.60903875021916 V
2017-07-16T00:00:00-06:00,281.51922234045566 V
2017-07-17T00:00:00-06:00,281.2795380313936 V
2017-07-18T00:00:00-06:00,281.35657424385664 V
2017-07-19T00:00:00-06:00,281.3857318864789 V
2017-07-20T00:00:00-06:00,281.3779619976889 V
2017-07-21T00:00:00-06:00,281.33962748455104 V
2017-07-22T00:00:00-06:00,281.59383571913173 V
2017-07-23T00:00:00-06:00,281.81586617205716 V
2017-07-24T00:00:00-06:00,281.7142282542938 V
2017-07-25T00:00:00-06:00,281.62582034832593 V
2017-07-26T00:00:00-06:00,281.39197926595284 V
2017-07-27T00:00:00-06:00,281.6196459052626 V
2017-07-28T00:00:00-06:00,281.44092095900606 V
2017-07-29T00:00:00-06:00,281.66117309910106 V
2017-07-30T00:00:00-06:00,281.73765231142477 V
2017-07-31T00:00:00-06:00,281.5241122275905 V
2017-08-01T00:00:00-06:00,281.62375068263566 V
2017-08-02T00:00:00-06:00,281.4138281625076 V
2017-08-03T00:00:00-06:00,281.3945218747608 V
2017-08-04T00:00:00-06:00,281.4678102024174 V
2017-08-05T00:00:00-06:00,281.69974180759255 V
2017-08-06T00:00:00-06:00,281.683613172228 V
2017-08-07T00:00:00-06:00,281.3105316699769 V
2017-08-08T00:00:00-06:00,281.4966864609667 V
2017-08-09T00:00:00-06:00,280.7740323550303 V
2017-08-10T00:00:00-06:00,280.1685297748279 V
2017-08-11T00:00:00-06:00,280.27190592122633 V
2017-08-12T00:00:00-06:00,280.31978050970264 V
2017-08-13T00:00:00-06:00,280.5745399567542 V
2017-08-14T00:00:00-06:00,280.318027818516 V
2017-08-15T00:00:00-06:00,280.69365236116374 V
2017-08-16T00:00:00-06:00,280.39175406356964 V
2017-08-17T00:00:00-06:00,280.47703456945584 V
2017-08-18T00:00:00-06:00,281.6688797082077 V
2017-08-19T00:00:00-06:00,281.85351617601185 V
2017-08-20T00:00:00-06:00,281.99409559141117 V
2017-08-21T00:00:00-06:00,281.40519514030586 V
2017-08-22T00:00:00-06:00,281.5916090679436 V
2017-08-23T00:00:00-06:00,281.3230750775988 V
2017-08-24T00:00:00-06:00,281.6008631621991 V
2017-08-25T00:00:00-06:00,281.1442963747968 V
2017-08-26T00:00:00-06:00,281.51304536328536 V
2017-08-27T00:00:00-06:00,281.59134234966564 V
2017-08-28T00:00:00-06:00,281.3215184033311 V
2017-08-29T00:00:00-06:00,281.6938627726383 V
2017-08-30T00:00:00-06:00,281.31008393885725 V
2017-08-31T00:00:00-06:00,281.50469012820423 V
2017-09-01T00:00:00-06:00,281.7850117943627 V
2017-09-02T00:00:00-06:00,281.87780757352857 V
2017-09-03T00:00:00-06:00,282.0680569915332 V
2017-09-04T00:00:00-06:00,281.68711245317996 V
2017-09-05T00:00:00-06:00,281.56559746802884 V
2017-09-06T00:00:00-06:00,281.52539706008616 V
2017-09-07T00:00:00-06:00,281.1743773547086 V
2017-09-08T00:00:00-06:00,281.32139632377925 V
2017-09-09T00:00:00-06:00,281.4613907275629 V
2017-09-10T00:00:00-06:00,280.8306573639341 V
2017-09-11T00:00:00-06:00,280.253682277698 V
2017-09-12T00:00:00-06:00,280.78010584584183 V
2017-09-13T00:00:00-06:00,280.46062599844623 V
2017-09-14T00:00:00-06:00,280.99719790625954 V
2017-09-15T00:00:00-06:00,283.1762466216355 V
2017-09-16T00:00:00-06:00,283.20871272167017 V
2017-09-17T00:00:00-06:00,282.1449475724318 V
2017-09-18T00:00:00-06:00,281.6257595985814 V
2017-09-19T00:00:00-06:00,282.93117127535635 V
2017-09-20T00:00:00-06:00,282.1589362980109 V
2017-09-21T00:00:00-06:00,283.72442299060606 V
2017-09-22T00:00:00-06:00,283.6168082007982 V
2017-09-23T00:00:00-06:00,283.86172548252046 V
2017-09-24T00:00:00-06:00,283.53094720533255 V
2017-09-25T00:00:00-06:00,283.8901102218463 V
2017-09-26T00:00:00-06:00,283.60468124279873 V
2017-09-27T00:00:00-06:00,282.9389258612817 V
2017-09-28T00:00:00-06:00,282.81532304219434 V
2017-09-29T00:00:00-06:00,282.1620187109167 V
2017-09-30T00:00:00-06:00,283.0101227236466 V
2017-10-01T00:00:00-06:00,283.4577162048127 V
2017-10-02T00:00:00-06:00,283.7684861717118 V
2017-10-03T00:00:00-06:00,283.88204705980087 V
2017-10-04T00:00:00-06:00,283.54616368770934 V
2017-10-05T00:00:00-06:00,283.8031593471516 V
2017-10-06T00:00:00-06:00,283.7117177504696 V
2017-10-07T00:00:00-06:00,282.7786801673921 V
2017-10-08T00:00:00-06:00,284.0286312370407 V
2017-10-09T00:00:00-06:00,283.6890705277767 V
2017-10-10T00:00:00-06:00,283.82380133997293 V
2017-10-11T00:00:00-06:00,282.46230680952624 V
2017-10-12T00:00:00-06:00,283.8793166418243 V
2017-10-13T00:00:00-06:00,283.8351382118555 V
2017-10-14T00:00:00-06:00,283.96335847553456 V
2017-10-15T00:00:00-06:00,283.7900616077895 V
2017-10-16T00:00:00-06:00,283.8063268843988 V
2017-10-17T00:00:00-06:00,283.25774042703495 V
