Timestamp,['1f4f32b1-68ea807b Power Meter (4160V) 316611 Current C']
2017-07-05T00:00:00-06:00,80.51086956521739 A
2017-07-06T00:00:00-06:00,72.17142857142858 A
2017-07-07T00:00:00-06:00,96.66666666666667 A
2017-07-08T00:00:00-06:00,80.14285714285714 A
2017-07-09T00:00:00-06:00,80.5 A
2017-07-10T00:00:00-06:00,94.66666666666667 A
2017-07-11T00:00:00-06:00,71.18181818181819 A
2017-07-12T00:00:00-06:00,64 A
2017-07-14T00:00:00-06:00,88.6 A
2017-07-15T00:00:00-06:00,68.23529411764706 A
2017-07-16T00:00:00-06:00,99.22222222222223 A
2017-07-17T00:00:00-06:00,81.33333333333333 A
2017-07-18T00:00:00-06:00,81 A
2017-07-19T00:00:00-06:00,86.16666666666667 A
2017-07-20T00:00:00-06:00,93.36363636363636 A
2017-07-21T00:00:00-06:00,77.23529411764706 A
2017-07-22T00:00:00-06:00,75.55263157894737 A
2017-07-23T00:00:00-06:00,73.66666666666667 A
2017-07-24T00:00:00-06:00,77 A
2017-07-25T00:00:00-06:00,82.8 A
2017-07-26T00:00:00-06:00,78.1 A
2017-07-27T00:00:00-06:00,62.42857142857143 A
2017-07-28T00:00:00-06:00,47.714285714285715 A
2017-07-29T00:00:00-06:00,52.111111111111114 A
2017-07-30T00:00:00-06:00,70.5 A
2017-07-31T00:00:00-06:00,81 A
2017-08-01T00:00:00-06:00,87.76666666666667 A
2017-08-02T00:00:00-06:00,76.28571428571429 A
2017-08-03T00:00:00-06:00,66.25 A
2017-08-04T00:00:00-06:00,67.28571428571429 A
2017-08-05T00:00:00-06:00,70.77777777777777 A
2017-08-06T00:00:00-06:00,62.22222222222222 A
2017-08-07T00:00:00-06:00,72.25 A
2017-08-08T00:00:00-06:00,76.75 A
2017-08-09T00:00:00-06:00,52.714285714285715 A
2017-08-10T00:00:00-06:00,77.42857142857143 A
2017-08-11T00:00:00-06:00,57.5 A
2017-08-12T00:00:00-06:00,67.05882352941177 A
2017-08-13T00:00:00-06:00,58.714285714285715 A
2017-08-14T00:00:00-06:00,58 A
2017-08-15T00:00:00-06:00,36 A
2017-08-16T00:00:00-06:00,63.5 A
2017-08-17T00:00:00-06:00,77.66666666666667 A
2017-08-18T00:00:00-06:00,29.833333333333332 A
2017-08-19T00:00:00-06:00,74.83333333333333 A
2017-08-20T00:00:00-06:00,54.625 A
2017-08-21T00:00:00-06:00,64.66666666666667 A
2017-08-22T00:00:00-06:00,83.33333333333333 A
2017-08-23T00:00:00-06:00,66.625 A
2017-08-24T00:00:00-06:00,69.2 A
2017-08-25T00:00:00-06:00,64 A
2017-08-26T00:00:00-06:00,51 A
2017-08-27T00:00:00-06:00,69.8 A
2017-08-28T00:00:00-06:00,66.3 A
2017-08-29T00:00:00-06:00,75.54545454545455 A
2017-08-30T00:00:00-06:00,73.57142857142857 A
2017-08-31T00:00:00-06:00,67 A
2017-09-01T00:00:00-06:00,51.833333333333336 A
2017-09-02T00:00:00-06:00,52.5 A
2017-09-03T00:00:00-06:00,57.86363636363637 A
