Timestamp,['1fe6f971-7895b934 Power Meter 085220 (300186) Current A']
2017-07-20T00:00:00-06:00,161.85454628684303 A
2017-07-21T00:00:00-06:00,153.70526283665708 A
2017-07-22T00:00:00-06:00,145.91538571088742 A
2017-07-23T00:00:00-06:00,148.0666707356771 A
2017-07-24T00:00:00-06:00,153.51428440638952 A
2017-07-25T00:00:00-06:00,161.5399963378906 A
2017-07-26T00:00:00-06:00,151.97777642144098 A
2017-07-27T00:00:00-06:00,153.24285888671875 A
2017-07-28T00:00:00-06:00,146.04999923706055 A
2017-07-29T00:00:00-06:00,143.88749885559082 A
2017-07-30T00:00:00-06:00,146.0333340962728 A
2017-07-31T00:00:00-06:00,151.52999877929688 A
2017-08-01T00:00:00-06:00,158.35172561119342 A
2017-08-02T00:00:00-06:00,150.21428571428572 A
2017-08-03T00:00:00-06:00,148.8499984741211 A
2017-08-04T00:00:00-06:00,156.9499994913737 A
2017-08-05T00:00:00-06:00,152.1333325703939 A
2017-08-06T00:00:00-06:00,143.27500025431314 A
2017-08-07T00:00:00-06:00,157.20000076293945 A
2017-08-08T00:00:00-06:00,151.99999809265137 A
2017-08-09T00:00:00-06:00,147.13846177321213 A
2017-08-10T00:00:00-06:00,158.125 A
2017-08-11T00:00:00-06:00,176.9000015258789 A
2017-08-12T00:00:00-06:00,146.34117754767922 A
2017-08-13T00:00:00-06:00,145.51428440638952 A
2017-08-14T00:00:00-06:00,154.31666819254556 A
2017-08-15T00:00:00-06:00,152.6199981689453 A
2017-08-16T00:00:00-06:00,144.30000114440918 A
2017-08-17T00:00:00-06:00,167.56666564941406 A
2017-08-18T00:00:00-06:00,145.7499974568685 A
2017-08-19T00:00:00-06:00,135.35714285714286 A
2017-08-20T00:00:00-06:00,137.14000040690104 A
2017-08-21T00:00:00-06:00,146.8300018310547 A
2017-08-22T00:00:00-06:00,152.31999816894532 A
2017-08-23T00:00:00-06:00,153.97500038146973 A
2017-08-24T00:00:00-06:00,160.33333502875433 A
2017-08-25T00:00:00-06:00,153.9 A
2017-08-26T00:00:00-06:00,140.83333333333334 A
2017-08-27T00:00:00-06:00,137.03999938964844 A
2017-08-28T00:00:00-06:00,99.16363525390625 A
2017-08-29T00:00:00-06:00,123.72499656677246 A
2017-08-30T00:00:00-06:00,103.12857164655414 A
2017-08-31T00:00:00-06:00,110.0500005086263 A
2017-09-01T00:00:00-06:00,124.3999998304579 A
2017-09-02T00:00:00-06:00,86.33749961853027 A
2017-09-03T00:00:00-06:00,107.1150001525879 A
2017-09-04T00:00:00-06:00,106.13846118633563 A
2017-09-05T00:00:00-06:00,117.63809494745163 A
2017-09-06T00:00:00-06:00,108.92499923706055 A
2017-09-07T00:00:00-06:00,124.02307598407452 A
2017-09-08T00:00:00-06:00,149.33845872145432 A
2017-09-09T00:00:00-06:00,139.24444410536023 A
2017-09-10T00:00:00-06:00,139.71428571428572 A
2017-09-11T00:00:00-06:00,149.98333231608072 A
2017-09-12T00:00:00-06:00,141.44000091552735 A
2017-09-13T00:00:00-06:00,155.26470677992876 A
2017-09-14T00:00:00-06:00,145.1699996948242 A
2017-09-15T00:00:00-06:00,142.51666768391928 A
2017-09-16T00:00:00-06:00,134.71999969482422 A
2017-09-17T00:00:00-06:00,138.74545426802203 A
2017-09-18T00:00:00-06:00,147.57500076293945 A
2017-09-19T00:00:00-06:00,133.3499984741211 A
2017-09-20T00:00:00-06:00,142.25714111328125 A
2017-09-21T00:00:00-06:00,143.0250015258789 A
2017-09-22T00:00:00-06:00,150.61999969482423 A
2017-09-23T00:00:00-06:00,146.58750343322754 A
2017-09-24T00:00:00-06:00,142.77500025431314 A
2017-09-25T00:00:00-06:00,154.4909099232067 A
2017-09-26T00:00:00-06:00,158.6 A
2017-09-27T00:00:00-06:00,166.6999969482422 A
2017-09-28T00:00:00-06:00,144.5800018310547 A
2017-09-29T00:00:00-06:00,153.26666768391928 A
2017-09-30T00:00:00-06:00,137.01667022705078 A
2017-10-01T00:00:00-06:00,102.1999994913737 A
2017-10-02T00:00:00-06:00,87.22222222222223 A
2017-10-03T00:00:00-06:00,89.64444393581815 A
2017-10-04T00:00:00-06:00,78.72857230050224 A
2017-10-05T00:00:00-06:00,85.64999961853027 A
2017-10-06T00:00:00-06:00,85.79411809584674 A
2017-10-07T00:00:00-06:00,75.08571406773159 A
2017-10-08T00:00:00-06:00,75.8499984741211 A
2017-10-09T00:00:00-06:00,90.5 A
2017-10-10T00:00:00-06:00,86.7891889005094 A
2017-10-11T00:00:00-06:00,92.90909067789714 A
2017-10-12T00:00:00-06:00,82.55249977111816 A
2017-10-13T00:00:00-06:00,88.24000043367084 A
2017-10-14T00:00:00-06:00,78.39479207992554 A
2017-10-15T00:00:00-06:00,80.92500027020772 A
2017-10-16T00:00:00-06:00,91.69166668256123 A
2017-10-17T00:00:00-06:00,95.2260418732961 A
2017-10-18T00:00:00-06:00,89.61979190508525 A
2017-10-19T00:00:00-06:00,87.90416638056438 A
2017-10-20T00:00:00-06:00,87.7372335068723 A
2017-10-21T00:00:00-06:00,80.14687498410542 A
2017-10-22T00:00:00-06:00,85.11875001589458 A
2017-10-23T00:00:00-06:00,92.83854166666667 A
2017-10-24T00:00:00-06:00,92.28020819028218 A
2017-10-25T00:00:00-06:00,80.93229150772095 A
2017-10-26T00:00:00-06:00,85.89368398565995 A
2017-10-27T00:00:00-06:00,85.06874990463257 A
2017-10-28T00:00:00-06:00,79.49473668148643 A
2017-10-29T00:00:00-06:00,83.4747369063528 A
2017-10-30T00:00:00-06:00,91.14895820617676 A
