Timestamp,['1cc97212-037a490a 0051-STERLING SILL CNTR Power Meter Current C']
2017-12-20T00:00:00-07:00,45.87916655341784 A
2017-12-21T00:00:00-07:00,38.137499898672104 A
2017-12-22T00:00:00-07:00,36.70625006159147 A
2017-12-23T00:00:00-07:00,26.847916682561237 A
2017-12-24T00:00:00-07:00,35.73541663090388 A
2017-12-25T00:00:00-07:00,38.01249980926514 A
2017-12-26T00:00:00-07:00,30.152083327372868 A
2017-12-27T00:00:00-07:00,36.096874952316284 A
2017-12-28T00:00:00-07:00,35.409375001986824 A
2017-12-29T00:00:00-07:00,30.4197918176651 A
2017-12-30T00:00:00-07:00,25.958333273728687 A
2017-12-31T00:00:00-07:00,21.086458305517834 A
