Timestamp,['20767dc4-e1fa156d 0011-BROWNING BLDG Power Meter 300033 Current A']
2017-11-06T00:00:00-07:00,231.5494179725647 A
2017-11-07T00:00:00-07:00,230.4856661160787 A
2017-11-08T00:00:00-07:00,236.74240398406982 A
2017-11-09T00:00:00-07:00,227.3612184524536 A
2017-11-10T00:00:00-07:00,222.92370303471884 A
2017-11-11T00:00:00-07:00,205.82992060979208 A
2017-11-12T00:00:00-07:00,207.10924673080444 A
2017-11-13T00:00:00-07:00,226.46225595474243 A
2017-11-14T00:00:00-07:00,224.67515913645425 A
2017-11-15T00:00:00-07:00,221.8735810915629 A
2017-11-16T00:00:00-07:00,220.6615710258484 A
2017-11-17T00:00:00-07:00,231.54599618911743 A
2017-11-18T00:00:00-07:00,213.63650290171304 A
2017-11-19T00:00:00-07:00,205.67319663365683 A
2017-11-20T00:00:00-07:00,225.2450450261434 A
2017-11-21T00:00:00-07:00,226.87287108103433 A
2017-11-22T00:00:00-07:00,219.47531604766846 A
2017-11-23T00:00:00-07:00,190.02416880925497 A
2017-11-24T00:00:00-07:00,191.32875235875449 A
2017-11-25T00:00:00-07:00,191.02861340840658 A
2017-11-26T00:00:00-07:00,194.95303932825723 A
2017-11-27T00:00:00-07:00,235.9116260210673 A
2017-11-28T00:00:00-07:00,231.56806723276773 A
2017-11-29T00:00:00-07:00,231.7984873453776 A
2017-11-30T00:00:00-07:00,228.53812519709268 A
2017-12-01T00:00:00-07:00,226.6133599281311 A
2017-12-02T00:00:00-07:00,205.26585388183594 A
2017-12-03T00:00:00-07:00,205.00467761357626 A
2017-12-04T00:00:00-07:00,246.28970829645792 A
2017-12-05T00:00:00-07:00,251.4116973876953 A
2017-12-06T00:00:00-07:00,248.01407400767008 A
2017-12-07T00:00:00-07:00,247.2969773610433 A
2017-12-08T00:00:00-07:00,253.88710753122965 A
2017-12-09T00:00:00-07:00,222.33072519302368 A
2017-12-10T00:00:00-07:00,220.09126949310303 A
2017-12-11T00:00:00-07:00,245.66811323165894 A
2017-12-12T00:00:00-07:00,243.8670506477356 A
2017-12-13T00:00:00-07:00,252.40071439743042 A
2017-12-14T00:00:00-07:00,257.0105134646098 A
2017-12-15T00:00:00-07:00,256.2601086298625 A
2017-12-16T00:00:00-07:00,235.85103146235147 A
2017-12-17T00:00:00-07:00,238.86036332448325 A
2017-12-18T00:00:00-07:00,256.3521050894132 A
2017-12-19T00:00:00-07:00,248.51509793599448 A
2017-12-20T00:00:00-07:00,243.27598333358765 A
2017-12-21T00:00:00-07:00,246.60388644536337 A
2017-12-22T00:00:00-07:00,238.356410185496 A
2017-12-23T00:00:00-07:00,222.648521900177 A
2017-12-24T00:00:00-07:00,226.00596714019775 A
2017-12-25T00:00:00-07:00,219.1409331957499 A
2017-12-26T00:00:00-07:00,218.7166256904602 A
2017-12-27T00:00:00-07:00,227.67310285568237 A
2017-12-28T00:00:00-07:00,227.29025634129843 A
2017-12-29T00:00:00-07:00,215.4648208618164 A
2017-12-30T00:00:00-07:00,208.51944653193155 A
2017-12-31T00:00:00-07:00,217.9359711011251 A
