Timestamp,['206e9e5b-70b3d10e 0046-LASSONDE STUDIOS Power Meter 316258 Current B']
2017-09-22T00:00:00-06:00,200.41753991444907 A
2017-09-23T00:00:00-06:00,192.83589935302734 A
2017-09-24T00:00:00-06:00,196.24274317423502 A
2017-09-25T00:00:00-06:00,201.28408225377402 A
2017-09-26T00:00:00-06:00,198.81800238291422 A
2017-09-27T00:00:00-06:00,203.55139621098837 A
2017-09-28T00:00:00-06:00,198.69355042775473 A
2017-09-29T00:00:00-06:00,200.65131330490112 A
2017-09-30T00:00:00-06:00,200.78000768025717 A
2017-10-01T00:00:00-06:00,195.67277892430624 A
2017-10-02T00:00:00-06:00,200.65958754221597 A
2017-10-03T00:00:00-06:00,213.8680067062378 A
2017-10-04T00:00:00-06:00,203.93670241038004 A
2017-10-05T00:00:00-06:00,202.14586528142294 A
2017-10-06T00:00:00-06:00,195.47069549560547 A
2017-10-07T00:00:00-06:00,184.01815938949585 A
2017-10-08T00:00:00-06:00,183.8997605641683 A
2017-10-09T00:00:00-06:00,181.14755614598593 A
2017-10-10T00:00:00-06:00,177.5161188443502 A
2017-10-11T00:00:00-06:00,172.85169871648154 A
2017-10-12T00:00:00-06:00,178.29208771387735 A
2017-10-13T00:00:00-06:00,183.36501200993857 A
2017-10-14T00:00:00-06:00,176.0832028388977 A
2017-10-15T00:00:00-06:00,179.88063351313272 A
2017-10-16T00:00:00-06:00,207.251473903656 A
2017-10-17T00:00:00-06:00,207.11898659153988 A
2017-10-18T00:00:00-06:00,201.15869188308716 A
2017-10-19T00:00:00-06:00,210.23751560846964 A
2017-10-20T00:00:00-06:00,206.19937229156494 A
2017-10-21T00:00:00-06:00,192.59100500742593 A
2017-10-22T00:00:00-06:00,200.4922571182251 A
2017-10-23T00:00:00-06:00,201.91229899724325 A
2017-10-24T00:00:00-06:00,203.6857965787252 A
2017-10-25T00:00:00-06:00,199.42539660135904 A
2017-10-26T00:00:00-06:00,195.10008970896402 A
2017-10-27T00:00:00-06:00,191.93822383880615 A
2017-10-28T00:00:00-06:00,187.61858050028482 A
2017-10-29T00:00:00-06:00,192.65599091847739 A
2017-10-30T00:00:00-06:00,200.531552473704 A
2017-10-31T00:00:00-06:00,201.92233864466348 A
2017-11-01T00:00:00-06:00,206.80234146118164 A
2017-11-02T00:00:00-06:00,208.9691899617513 A
2017-11-03T00:00:00-06:00,201.32800817489624 A
2017-11-04T00:00:00-06:00,198.57449324925742 A
2017-11-05T00:00:00-06:00,206.66990478515626 A
2017-11-06T00:00:00-07:00,207.51111030578613 A
2017-11-07T00:00:00-07:00,209.58721192677817 A
2017-11-08T00:00:00-07:00,212.96805159250894 A
2017-11-09T00:00:00-07:00,197.83263063430786 A
2017-11-10T00:00:00-07:00,202.22390095392862 A
2017-11-11T00:00:00-07:00,203.01229651769003 A
2017-11-12T00:00:00-07:00,200.87434101104736 A
2017-11-13T00:00:00-07:00,206.9514215787252 A
2017-11-14T00:00:00-07:00,210.2027800877889 A
2017-11-15T00:00:00-07:00,212.7443609237671 A
2017-11-16T00:00:00-07:00,203.43054580688477 A
2017-11-17T00:00:00-07:00,203.2235771814982 A
2017-11-18T00:00:00-07:00,199.73750432332358 A
2017-11-19T00:00:00-07:00,207.45213429133096 A
2017-11-20T00:00:00-07:00,223.16179847717285 A
2017-11-21T00:00:00-07:00,212.22731606165567 A
2017-11-22T00:00:00-07:00,197.95189809799194 A
2017-11-23T00:00:00-07:00,158.97858238220215 A
2017-11-24T00:00:00-07:00,155.02342812220255 A
2017-11-25T00:00:00-07:00,161.4261153539022 A
2017-11-26T00:00:00-07:00,180.8768089612325 A
2017-11-27T00:00:00-07:00,202.96693197886148 A
2017-11-28T00:00:00-07:00,207.71499315897623 A
2017-11-29T00:00:00-07:00,209.5966674486796 A
2017-11-30T00:00:00-07:00,209.62707122166952 A
2017-12-01T00:00:00-07:00,206.85343011220297 A
2017-12-02T00:00:00-07:00,207.4262874921163 A
2017-12-03T00:00:00-07:00,205.6698678334554 A
2017-12-04T00:00:00-07:00,216.74417432149252 A
2017-12-05T00:00:00-07:00,217.1944204966227 A
2017-12-06T00:00:00-07:00,222.95505491892496 A
2017-12-07T00:00:00-07:00,222.25032917658487 A
2017-12-08T00:00:00-07:00,215.9189652292352 A
2017-12-09T00:00:00-07:00,202.7761902809143 A
2017-12-10T00:00:00-07:00,206.06009594599405 A
2017-12-11T00:00:00-07:00,206.3817089398702 A
2017-12-12T00:00:00-07:00,209.21550766626993 A
2017-12-13T00:00:00-07:00,212.18772157033285 A
2017-12-14T00:00:00-07:00,202.22449080149332 A
2017-12-15T00:00:00-07:00,195.0764765739441 A
2017-12-16T00:00:00-07:00,167.04178873697916 A
2017-12-17T00:00:00-07:00,154.22710529963175 A
2017-12-18T00:00:00-07:00,155.47636889385922 A
2017-12-19T00:00:00-07:00,143.96850728988647 A
2017-12-20T00:00:00-07:00,148.08182724316916 A
2017-12-21T00:00:00-07:00,152.53777043024698 A
2017-12-22T00:00:00-07:00,146.18167479832968 A
2017-12-23T00:00:00-07:00,146.34102646509805 A
2017-12-24T00:00:00-07:00,140.8167945543925 A
2017-12-25T00:00:00-07:00,139.99365417162576 A
2017-12-26T00:00:00-07:00,139.40295457839966 A
2017-12-27T00:00:00-07:00,140.76807721455893 A
2017-12-28T00:00:00-07:00,140.49730396270752 A
2017-12-29T00:00:00-07:00,140.08204770088196 A
2017-12-30T00:00:00-07:00,141.04803808530173 A
2017-12-31T00:00:00-07:00,139.3586680094401 A
