Timestamp,['1cda76a6-a88b0f80 0014-TALMAGE BLDG Power Meter Current A']
2017-07-08T00:00:00-06:00,129.90819712744818 A
2017-07-09T00:00:00-06:00,129.68139094246757 A
2017-07-10T00:00:00-06:00,140.14666958914862 A
2017-07-11T00:00:00-06:00,143.82305846744114 A
2017-07-12T00:00:00-06:00,145.29201703601413 A
2017-07-13T00:00:00-06:00,145.551739692688 A
2017-07-14T00:00:00-06:00,139.5090308189392 A
2017-07-15T00:00:00-06:00,130.38437753253513 A
2017-07-16T00:00:00-06:00,130.2326414320204 A
2017-07-17T00:00:00-06:00,140.0035447438558 A
2017-07-18T00:00:00-06:00,144.84847456614176 A
2017-07-19T00:00:00-06:00,148.10930852890016 A
2017-07-20T00:00:00-06:00,147.244863986969 A
2017-07-21T00:00:00-06:00,141.74750251770018 A
2017-07-22T00:00:00-06:00,127.4608357641432 A
2017-07-23T00:00:00-06:00,126.33326632181803 A
2017-07-24T00:00:00-06:00,129.6117386394077 A
2017-07-25T00:00:00-06:00,151.17160025702583 A
2017-07-26T00:00:00-06:00,148.30805870691935 A
2017-07-27T00:00:00-06:00,141.97882219950358 A
2017-07-28T00:00:00-06:00,138.92153056462607 A
2017-07-29T00:00:00-06:00,129.45319725672405 A
2017-07-30T00:00:00-06:00,131.1676416185167 A
2017-07-31T00:00:00-06:00,139.9536141395569 A
2017-08-01T00:00:00-06:00,139.16430838902792 A
2017-08-02T00:00:00-06:00,142.05389148924087 A
2017-08-03T00:00:00-06:00,136.63666931788126 A
2017-08-04T00:00:00-06:00,136.9321907846851 A
2017-08-05T00:00:00-06:00,129.69625209172565 A
2017-08-06T00:00:00-06:00,130.11278043323094 A
2017-08-07T00:00:00-06:00,140.81979455947877 A
2017-08-08T00:00:00-06:00,136.97430867089165 A
2017-08-09T00:00:00-06:00,139.00215600331623 A
2017-08-10T00:00:00-06:00,134.32938471607778 A
2017-08-11T00:00:00-06:00,134.0952806154887 A
2017-08-12T00:00:00-06:00,122.7116685019599 A
2017-08-13T00:00:00-06:00,127.15944683286878 A
2017-08-14T00:00:00-06:00,134.24896054267884 A
2017-08-15T00:00:00-06:00,137.5313919067383 A
2017-08-16T00:00:00-06:00,132.30048875278897 A
2017-08-17T00:00:00-06:00,133.55430834028456 A
2017-08-18T00:00:00-06:00,136.45375240114 A
2017-08-19T00:00:00-06:00,125.56923830774096 A
2017-08-20T00:00:00-06:00,124.38402949439154 A
2017-08-21T00:00:00-06:00,144.25972498787775 A
2017-08-22T00:00:00-06:00,144.46875301996866 A
2017-08-23T00:00:00-06:00,142.30625274446277 A
2017-08-24T00:00:00-06:00,144.68687714470758 A
2017-08-25T00:00:00-06:00,144.02361370192634 A
2017-08-26T00:00:00-06:00,130.86632192929585 A
2017-08-27T00:00:00-06:00,132.09396067725288 A
2017-08-28T00:00:00-06:00,162.76363258276348 A
2017-08-29T00:00:00-06:00,177.83776998975364 A
2017-08-30T00:00:00-06:00,177.79111415015328 A
2017-08-31T00:00:00-06:00,182.566322072347 A
2017-09-01T00:00:00-06:00,171.4988922013177 A
2017-09-02T00:00:00-06:00,154.1010444853041 A
2017-09-03T00:00:00-06:00,154.82694732877943 A
2017-09-04T00:00:00-06:00,155.32951685587565 A
2017-09-05T00:00:00-06:00,172.8337529288398 A
2017-09-06T00:00:00-06:00,181.10166918436687 A
2017-09-07T00:00:00-06:00,177.16917021009658 A
2017-09-08T00:00:00-06:00,173.1161252134679 A
2017-09-09T00:00:00-06:00,156.02224049601523 A
2017-09-10T00:00:00-06:00,154.4224340756734 A
2017-09-11T00:00:00-06:00,174.69548954433864 A
2017-09-12T00:00:00-06:00,177.11423941718206 A
2017-09-13T00:00:00-06:00,178.35708711412218 A
2017-09-14T00:00:00-06:00,174.51055891248916 A
2017-09-15T00:00:00-06:00,149.5881975279914 A
2017-09-16T00:00:00-06:00,133.7575023757087 A
2017-09-17T00:00:00-06:00,137.01305811140273 A
2017-09-18T00:00:00-06:00,175.8868080245124 A
2017-09-19T00:00:00-06:00,152.06215527322559 A
2017-09-20T00:00:00-06:00,152.50208565923901 A
2017-09-21T00:00:00-06:00,137.70208560095892 A
2017-09-22T00:00:00-06:00,129.75458582772148 A
2017-09-23T00:00:00-06:00,117.24055734210545 A
2017-09-24T00:00:00-06:00,122.19764056735569 A
2017-09-25T00:00:00-06:00,138.3094463136461 A
2017-09-26T00:00:00-06:00,141.43375228246052 A
2017-09-27T00:00:00-06:00,154.3038211769528 A
2017-09-28T00:00:00-06:00,163.7131973054674 A
2017-09-29T00:00:00-06:00,161.60430870056152 A
2017-09-30T00:00:00-06:00,143.98062806129457 A
2017-10-01T00:00:00-06:00,115.79833449787564 A
2017-10-02T00:00:00-06:00,127.0108353720771 A
2017-10-03T00:00:00-06:00,132.0476406733195 A
2017-10-04T00:00:00-06:00,155.28194726308186 A
2017-10-05T00:00:00-06:00,144.19305784437393 A
2017-10-06T00:00:00-06:00,141.2309053738912 A
2017-10-07T00:00:00-06:00,135.13604482014975 A
2017-10-08T00:00:00-06:00,117.14514094458686 A
