Timestamp,['1f4f36d7-3eef5bf2 Power Meter (LV) 316609 Real Power Total']
2017-11-07T00:00:00-07:00,247 kW
2017-11-08T00:00:00-07:00,252 kW
2017-11-09T00:00:00-07:00,247 kW
2017-11-10T00:00:00-07:00,239 kW
2017-11-11T00:00:00-07:00,183 kW
2017-11-12T00:00:00-07:00,171 kW
2017-11-13T00:00:00-07:00,236 kW
2017-11-14T00:00:00-07:00,236 kW
2017-11-15T00:00:00-07:00,251 kW
2017-11-16T00:00:00-07:00,240 kW
2017-11-17T00:00:00-07:00,263 kW
2017-11-18T00:00:00-07:00,183 kW
2017-11-19T00:00:00-07:00,175 kW
2017-11-20T00:00:00-07:00,236 kW
2017-11-21T00:00:00-07:00,235 kW
2017-11-22T00:00:00-07:00,218 kW
2017-11-23T00:00:00-07:00,165 kW
2017-11-24T00:00:00-07:00,164 kW
2017-11-25T00:00:00-07:00,164 kW
2017-11-26T00:00:00-07:00,166 kW
2017-11-27T00:00:00-07:00,227 kW
2017-11-28T00:00:00-07:00,228 kW
2017-11-29T00:00:00-07:00,239 kW
2017-11-30T00:00:00-07:00,242 kW
2017-12-01T00:00:00-07:00,241 kW
2017-12-02T00:00:00-07:00,177 kW
2017-12-03T00:00:00-07:00,167 kW
2017-12-04T00:00:00-07:00,225 kW
2017-12-05T00:00:00-07:00,240 kW
2017-12-06T00:00:00-07:00,241 kW
2017-12-07T00:00:00-07:00,227 kW
2017-12-08T00:00:00-07:00,215 kW
2017-12-09T00:00:00-07:00,182 kW
2017-12-10T00:00:00-07:00,166 kW
2017-12-11T00:00:00-07:00,214 kW
2017-12-12T00:00:00-07:00,216 kW
2017-12-13T00:00:00-07:00,226 kW
2017-12-14T00:00:00-07:00,216 kW
2017-12-15T00:00:00-07:00,210 kW
2017-12-16T00:00:00-07:00,204 kW
2017-12-17T00:00:00-07:00,168 kW
2017-12-18T00:00:00-07:00,216 kW
2017-12-19T00:00:00-07:00,222 kW
2017-12-20T00:00:00-07:00,208 kW
