Timestamp,['1ef4686a-44c65569 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current A']
2017-10-17T00:00:00-06:00,159.99975760777792 A
2017-10-18T00:00:00-06:00,153.43280792236328 A
2017-10-19T00:00:00-06:00,156.82786122957864 A
2017-10-20T00:00:00-06:00,151.60687692960104 A
2017-10-21T00:00:00-06:00,110.01445140441258 A
2017-10-22T00:00:00-06:00,96.70442901055019 A
2017-10-23T00:00:00-06:00,145.66539812088013 A
2017-10-24T00:00:00-06:00,141.5907220840454 A
2017-10-25T00:00:00-06:00,142.8462026913961 A
2017-10-26T00:00:00-06:00,144.40854406356812 A
2017-10-27T00:00:00-06:00,134.71271125475565 A
2017-10-28T00:00:00-06:00,97.32194503148396 A
2017-10-29T00:00:00-06:00,88.05384071667989 A
2017-10-30T00:00:00-06:00,153.41554792722067 A
2017-10-31T00:00:00-06:00,132.98174277941385 A
2017-11-01T00:00:00-06:00,162.63225873311362 A
2017-11-02T00:00:00-06:00,161.71348921457925 A
2017-11-03T00:00:00-06:00,163.11276125907898 A
2017-11-04T00:00:00-06:00,134.95140981674194 A
2017-11-05T00:00:00-06:00,126.57748775482177 A
2017-11-06T00:00:00-07:00,163.30165449778238 A
2017-11-07T00:00:00-07:00,157.2406303882599 A
2017-11-08T00:00:00-07:00,158.10391799608865 A
2017-11-09T00:00:00-07:00,162.10389709472656 A
2017-11-10T00:00:00-07:00,165.71287139256796 A
2017-11-11T00:00:00-07:00,140.87989870707193 A
2017-11-12T00:00:00-07:00,135.60876548290253 A
2017-11-13T00:00:00-07:00,152.75559385617575 A
2017-11-14T00:00:00-07:00,173.64732917149863 A
2017-11-15T00:00:00-07:00,189.98126697540283 A
2017-11-16T00:00:00-07:00,183.82167855898538 A
2017-11-17T00:00:00-07:00,192.6382745107015 A
2017-11-18T00:00:00-07:00,156.14599005381265 A
2017-11-19T00:00:00-07:00,97.71062974135081 A
2017-11-20T00:00:00-07:00,199.8525505065918 A
2017-11-21T00:00:00-07:00,173.23650805155435 A
2017-11-22T00:00:00-07:00,149.06416654586792 A
2017-11-23T00:00:00-07:00,129.84360885620117 A
2017-11-24T00:00:00-07:00,135.11089992523193 A
2017-11-25T00:00:00-07:00,109.35009447733562 A
2017-11-26T00:00:00-07:00,82.82818774382274 A
2017-11-27T00:00:00-07:00,186.20275044441223 A
2017-11-28T00:00:00-07:00,194.29207611083984 A
2017-11-29T00:00:00-07:00,200.60373767217 A
2017-11-30T00:00:00-07:00,188.23407173156738 A
2017-12-01T00:00:00-07:00,201.4557263056437 A
2017-12-02T00:00:00-07:00,182.65702732404074 A
2017-12-03T00:00:00-07:00,137.2138379017512 A
2017-12-04T00:00:00-07:00,219.40824810663858 A
2017-12-05T00:00:00-07:00,212.12601232528687 A
2017-12-06T00:00:00-07:00,214.52891047795615 A
2017-12-07T00:00:00-07:00,212.4494516054789 A
2017-12-08T00:00:00-07:00,208.09683577219644 A
2017-12-09T00:00:00-07:00,193.9295179049174 A
2017-12-10T00:00:00-07:00,191.86330572764078 A
2017-12-11T00:00:00-07:00,207.20379718144736 A
2017-12-12T00:00:00-07:00,210.35364135106406 A
2017-12-13T00:00:00-07:00,218.58607896169028 A
2017-12-14T00:00:00-07:00,202.26007302602133 A
2017-12-15T00:00:00-07:00,197.97210454940796 A
2017-12-16T00:00:00-07:00,188.29736200968424 A
2017-12-17T00:00:00-07:00,186.4104698499044 A
2017-12-18T00:00:00-07:00,191.42269585722235 A
2017-12-19T00:00:00-07:00,183.49530545870462 A
