Timestamp,['1fa24747-c514fa25 0002-VOICE & OPERA CNTR Power Meter (301411) Current A']
2017-06-22T00:00:00-06:00,7.217857132355372 A
2017-06-23T00:00:00-06:00,6.631145678460598 A
2017-06-24T00:00:00-06:00,4.357606835663319 A
2017-06-25T00:00:00-06:00,2.9070282578468323 A
2017-06-26T00:00:00-06:00,9.245697007824978 A
2017-06-27T00:00:00-06:00,9.066105153411627 A
2017-06-28T00:00:00-06:00,7.489812443653743 A
2017-06-29T00:00:00-06:00,6.82810955742995 A
2017-06-30T00:00:00-06:00,6.908019584914048 A
2017-07-01T00:00:00-06:00,1.7905317296584446 A
2017-07-02T00:00:00-06:00,2.801048376907905 A
2017-07-03T00:00:00-06:00,9.72487078110377 A
2017-07-04T00:00:00-06:00,10.255006392796835 A
2017-07-05T00:00:00-06:00,10.448719084262848 A
2017-07-06T00:00:00-06:00,10.403145968914032 A
2017-07-07T00:00:00-06:00,10.463191325465838 A
2017-07-08T00:00:00-06:00,7.8985906938711805 A
2017-07-09T00:00:00-06:00,8.089819540580114 A
2017-07-10T00:00:00-06:00,10.542993649840355 A
2017-07-11T00:00:00-06:00,10.11307362218698 A
2017-07-12T00:00:00-06:00,11.246911138296127 A
2017-07-13T00:00:00-06:00,10.249586169918379 A
2017-07-14T00:00:00-06:00,10.097189416488012 A
2017-07-15T00:00:00-06:00,6.674852803349495 A
2017-07-16T00:00:00-06:00,7.9539864013592405 A
2017-07-17T00:00:00-06:00,10.601638595263163 A
2017-07-18T00:00:00-06:00,10.322412312030792 A
2017-07-19T00:00:00-06:00,11.73657956222693 A
2017-07-20T00:00:00-06:00,9.881081625819206 A
2017-07-21T00:00:00-06:00,11.972348257899284 A
2017-07-22T00:00:00-06:00,8.473928411801657 A
2017-07-23T00:00:00-06:00,7.396278480688731 A
2017-07-24T00:00:00-06:00,10.9800044298172 A
2017-07-25T00:00:00-06:00,9.190944294134775 A
2017-07-26T00:00:00-06:00,9.434701899687449 A
2017-07-27T00:00:00-06:00,9.376611590385437 A
2017-07-28T00:00:00-06:00,9.238240455587706 A
2017-07-29T00:00:00-06:00,6.261150012413661 A
2017-07-30T00:00:00-06:00,7.32773054142793 A
2017-07-31T00:00:00-06:00,10.266484528779984 A
2017-08-01T00:00:00-06:00,10.252816041310629 A
2017-08-02T00:00:00-06:00,9.908802712957064 A
2017-08-03T00:00:00-06:00,15.233641458054384 A
2017-08-04T00:00:00-06:00,17.013314497339856 A
2017-08-05T00:00:00-06:00,9.476578518748283 A
2017-08-06T00:00:00-06:00,6.1603228114545345 A
2017-08-07T00:00:00-06:00,14.075185476491848 A
2017-08-08T00:00:00-06:00,10.506913252174854 A
2017-08-09T00:00:00-06:00,12.625660244375467 A
2017-08-10T00:00:00-06:00,10.817562066494151 A
2017-08-11T00:00:00-06:00,13.820139749596516 A
