Timestamp,['1da9834c-d2a8ee4d 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Volts C-N']
2017-08-25T00:00:00-06:00,282.9313767751058 V
2017-08-26T00:00:00-06:00,282.7166401545207 V
2017-08-27T00:00:00-06:00,282.85610898335773 V
2017-08-28T00:00:00-06:00,283.08611783114344 V
2017-08-29T00:00:00-06:00,283.1183556450738 V
2017-08-30T00:00:00-06:00,282.8446766535441 V
2017-08-31T00:00:00-06:00,282.15325355529785 V
2017-09-01T00:00:00-06:00,282.6908884048462 V
2017-09-02T00:00:00-06:00,282.77664947509766 V
2017-09-03T00:00:00-06:00,283.00881004333496 V
2017-09-04T00:00:00-06:00,282.6891171137492 V
2017-09-05T00:00:00-06:00,282.74713643391925 V
2017-09-06T00:00:00-06:00,282.853315671285 V
2017-09-07T00:00:00-06:00,282.81896686553955 V
2017-09-08T00:00:00-06:00,283.1163543373026 V
2017-09-09T00:00:00-06:00,282.9074932734172 V
2017-09-10T00:00:00-06:00,282.9568697611491 V
2017-09-11T00:00:00-06:00,282.7214272816976 V
2017-09-12T00:00:00-06:00,283.09779421488446 V
2017-09-13T00:00:00-06:00,282.8965479532878 V
2017-09-14T00:00:00-06:00,283.0368531545003 V
2017-09-15T00:00:00-06:00,283.13360118865967 V
2017-09-16T00:00:00-06:00,282.8500038782756 V
2017-09-17T00:00:00-06:00,282.5465151468913 V
2017-09-18T00:00:00-06:00,283.23647181193036 V
2017-09-19T00:00:00-06:00,283.02799129486084 V
2017-09-20T00:00:00-06:00,283.1568552652995 V
2017-09-21T00:00:00-06:00,283.47223949432373 V
2017-09-22T00:00:00-06:00,283.27477900187176 V
2017-09-23T00:00:00-06:00,283.2972122828166 V
2017-09-24T00:00:00-06:00,282.97392590840656 V
2017-09-25T00:00:00-06:00,283.50964483963816 V
2017-09-26T00:00:00-06:00,283.3197310765584 V
2017-09-27T00:00:00-06:00,283.406291325887 V
2017-09-28T00:00:00-06:00,282.98198827107746 V
2017-09-29T00:00:00-06:00,283.06675179799396 V
2017-09-30T00:00:00-06:00,283.25661500295 V
2017-10-01T00:00:00-06:00,283.01313432057697 V
2017-10-02T00:00:00-06:00,283.3414471944173 V
2017-10-03T00:00:00-06:00,283.574418703715 V
2017-10-04T00:00:00-06:00,283.3297036488851 V
2017-10-05T00:00:00-06:00,283.5339711507161 V
2017-10-06T00:00:00-06:00,283.41945393880206 V
2017-10-07T00:00:00-06:00,282.6683168411255 V
