Timestamp,['206e9e63-c40410ad 0046-LASSONDE STUDIOS Power Meter 316258 Current C']
2017-09-27T00:00:00-06:00,191.7462077140808 A
2017-09-28T00:00:00-06:00,186.03736321131387 A
2017-09-29T00:00:00-06:00,188.22071345647177 A
2017-09-30T00:00:00-06:00,189.27183373769125 A
2017-10-01T00:00:00-06:00,186.82677602767944 A
2017-10-02T00:00:00-06:00,198.8817434310913 A
2017-10-03T00:00:00-06:00,198.14831272761026 A
2017-10-04T00:00:00-06:00,191.88274097442627 A
2017-10-05T00:00:00-06:00,187.69241937001547 A
2017-10-06T00:00:00-06:00,188.03362115224203 A
2017-10-07T00:00:00-06:00,172.43273989359537 A
2017-10-08T00:00:00-06:00,167.4102692604065 A
2017-10-09T00:00:00-06:00,166.86549504597983 A
2017-10-10T00:00:00-06:00,165.52299165725708 A
2017-10-11T00:00:00-06:00,161.59322754542032 A
2017-10-12T00:00:00-06:00,165.37807250022888 A
2017-10-13T00:00:00-06:00,171.107475121816 A
2017-10-14T00:00:00-06:00,175.4409560362498 A
2017-10-15T00:00:00-06:00,180.0823761622111 A
2017-10-16T00:00:00-06:00,186.55349842707315 A
2017-10-17T00:00:00-06:00,182.02204276637028 A
2017-10-18T00:00:00-06:00,187.81363423665366 A
2017-10-19T00:00:00-06:00,188.3873209953308 A
2017-10-20T00:00:00-06:00,184.66460529963175 A
2017-10-21T00:00:00-06:00,177.79066769282022 A
2017-10-22T00:00:00-06:00,186.29270458221436 A
2017-10-23T00:00:00-06:00,187.6740837097168 A
2017-10-24T00:00:00-06:00,185.1824892361959 A
2017-10-25T00:00:00-06:00,190.2905362447103 A
2017-10-26T00:00:00-06:00,188.90349769592285 A
2017-10-27T00:00:00-06:00,188.28151671091715 A
2017-10-28T00:00:00-06:00,178.4120685259501 A
2017-10-29T00:00:00-06:00,183.79839022954306 A
2017-10-30T00:00:00-06:00,184.0068355401357 A
2017-10-31T00:00:00-06:00,189.07388289769492 A
2017-11-01T00:00:00-06:00,192.91793974240622 A
2017-11-02T00:00:00-06:00,191.79314835866293 A
2017-11-03T00:00:00-06:00,194.5720713933309 A
2017-11-04T00:00:00-06:00,189.6286104520162 A
2017-11-05T00:00:00-06:00,191.0361083984375 A
