Timestamp,['1ce63dce-8321eb6f 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts AN']
2017-06-18T00:00:00-06:00,122.71682707468669 V
2017-06-19T00:00:00-06:00,122.61123045285542 V
2017-06-20T00:00:00-06:00,122.42372115453084 V
2017-06-21T00:00:00-06:00,122.42218486467998 V
2017-06-22T00:00:00-06:00,122.56823094685872 V
2017-06-23T00:00:00-06:00,122.54840103785197 V
2017-06-24T00:00:00-06:00,122.62058695157369 V
2017-06-25T00:00:00-06:00,122.73718984921773 V
2017-06-26T00:00:00-06:00,122.44838468233745 V
2017-06-27T00:00:00-06:00,122.50808207194011 V
2017-06-28T00:00:00-06:00,122.59564471244812 V
2017-06-29T00:00:00-06:00,122.64343523979187 V
2017-06-30T00:00:00-06:00,122.53003191947937 V
2017-07-01T00:00:00-06:00,122.5285545984904 V
2017-07-02T00:00:00-06:00,122.65205152829488 V
2017-07-03T00:00:00-06:00,122.50960906346639 V
2017-07-04T00:00:00-06:00,122.65044498443604 V
2017-07-05T00:00:00-06:00,122.531361023585 V
2017-07-06T00:00:00-06:00,122.54755965868632 V
2017-07-07T00:00:00-06:00,122.47439138094585 V
2017-07-08T00:00:00-06:00,122.49260942141215 V
2017-07-09T00:00:00-06:00,122.5427640279134 V
2017-07-10T00:00:00-06:00,122.48253393173218 V
2017-07-11T00:00:00-06:00,122.58768224716187 V
2017-07-12T00:00:00-06:00,122.59532276789348 V
2017-07-13T00:00:00-06:00,122.66457835833232 V
2017-07-14T00:00:00-06:00,122.55086811383565 V
2017-07-15T00:00:00-06:00,122.57626438140869 V
2017-07-16T00:00:00-06:00,122.56440726915996 V
2017-07-17T00:00:00-06:00,122.56634426116943 V
2017-07-18T00:00:00-06:00,122.60675382614136 V
2017-07-19T00:00:00-06:00,122.57187167803447 V
2017-07-20T00:00:00-06:00,122.60166692733765 V
2017-07-21T00:00:00-06:00,122.53963947296143 V
2017-07-22T00:00:00-06:00,122.59340476989746 V
2017-07-23T00:00:00-06:00,122.74375518163045 V
2017-07-24T00:00:00-06:00,122.7203225294749 V
2017-07-25T00:00:00-06:00,122.64051667849223 V
2017-07-26T00:00:00-06:00,122.521457751592 V
2017-07-27T00:00:00-06:00,122.61202144622803 V
2017-07-28T00:00:00-06:00,122.50196139017741 V
2017-07-29T00:00:00-06:00,122.53783782323201 V
2017-07-30T00:00:00-06:00,122.60965553919475 V
2017-07-31T00:00:00-06:00,122.6722662448883 V
2017-08-01T00:00:00-06:00,122.66326673825581 V
2017-08-02T00:00:00-06:00,122.5246552626292 V
2017-08-03T00:00:00-06:00,122.54590145746867 V
2017-08-04T00:00:00-06:00,122.53975287543403 V
2017-08-05T00:00:00-06:00,122.55812088648479 V
2017-08-06T00:00:00-06:00,122.51419687271118 V
2017-08-07T00:00:00-06:00,122.46419445673625 V
2017-08-08T00:00:00-06:00,122.51268688837688 V
2017-08-09T00:00:00-06:00,122.3984755674998 V
2017-08-10T00:00:00-06:00,122.43948142759261 V
2017-08-11T00:00:00-06:00,122.59327228864034 V
2017-08-12T00:00:00-06:00,122.58556199073792 V
2017-08-13T00:00:00-06:00,122.74026457468669 V
2017-08-14T00:00:00-06:00,122.70428093274434 V
2017-08-15T00:00:00-06:00,122.63160721460979 V
2017-08-16T00:00:00-06:00,122.47415526707967 V
2017-08-17T00:00:00-06:00,122.57291142145793 V
2017-08-18T00:00:00-06:00,122.52989546457927 V
2017-08-19T00:00:00-06:00,122.69032828013103 V
2017-08-20T00:00:00-06:00,122.70768896738689 V
2017-08-21T00:00:00-06:00,122.58304826418559 V
2017-08-22T00:00:00-06:00,122.4550576210022 V
2017-08-23T00:00:00-06:00,122.51773564020793 V
2017-08-24T00:00:00-06:00,122.48484786351521 V
2017-08-25T00:00:00-06:00,122.44424072901408 V
2017-08-26T00:00:00-06:00,122.42570185661316 V
2017-08-27T00:00:00-06:00,122.4767693678538 V
2017-08-28T00:00:00-06:00,122.43733403923807 V
2017-08-29T00:00:00-06:00,122.43434067610856 V
2017-08-30T00:00:00-06:00,122.38879267374675 V
2017-08-31T00:00:00-06:00,122.47703242301941 V
2017-09-01T00:00:00-06:00,122.43027726809184 V
2017-09-02T00:00:00-06:00,122.5013660589854 V
2017-09-03T00:00:00-06:00,122.61356210708618 V
2017-09-04T00:00:00-06:00,122.4465381304423 V
2017-09-05T00:00:00-06:00,122.32011270523071 V
2017-09-06T00:00:00-06:00,122.33978684743245 V
2017-09-07T00:00:00-06:00,122.40071098009746 V
2017-09-08T00:00:00-06:00,122.49013444651727 V
2017-09-09T00:00:00-06:00,122.44460328420003 V
2017-09-10T00:00:00-06:00,122.60689655939738 V
2017-09-11T00:00:00-06:00,122.32610615094502 V
2017-09-12T00:00:00-06:00,122.51078764597575 V
2017-09-13T00:00:00-06:00,122.352041721344 V
2017-09-14T00:00:00-06:00,122.5226792494456 V
2017-09-15T00:00:00-06:00,122.60827000935872 V
2017-09-16T00:00:00-06:00,122.73942653338115 V
2017-09-17T00:00:00-06:00,122.44521911938985 V
2017-09-18T00:00:00-06:00,122.60424860318501 V
2017-09-19T00:00:00-06:00,122.46985006332397 V
2017-09-20T00:00:00-06:00,122.51166582107544 V
2017-09-21T00:00:00-06:00,122.63086287180583 V
2017-09-22T00:00:00-06:00,122.54841430981953 V
2017-09-23T00:00:00-06:00,122.57225894927979 V
2017-09-24T00:00:00-06:00,122.46184333165486 V
2017-09-25T00:00:00-06:00,122.68078676859538 V
2017-09-26T00:00:00-06:00,122.56189449628194 V
2017-09-27T00:00:00-06:00,122.6430565516154 V
2017-09-28T00:00:00-06:00,122.53439831733704 V
2017-09-29T00:00:00-06:00,122.48406028747559 V
2017-09-30T00:00:00-06:00,122.59498842557271 V
2017-10-01T00:00:00-06:00,122.58734822273254 V
2017-10-02T00:00:00-06:00,122.62568593025208 V
2017-10-03T00:00:00-06:00,122.66828274726868 V
2017-10-04T00:00:00-06:00,122.53562092781067 V
2017-10-05T00:00:00-06:00,122.61848791440327 V
2017-10-06T00:00:00-06:00,122.61074026425679 V
2017-10-07T00:00:00-06:00,122.59844597180684 V
2017-10-08T00:00:00-06:00,122.86213254928589 V
2017-10-09T00:00:00-06:00,122.71249643961589 V
2017-10-10T00:00:00-06:00,122.73005294799805 V
2017-10-11T00:00:00-06:00,122.54673862457275 V
2017-10-12T00:00:00-06:00,122.72479708989461 V
2017-10-13T00:00:00-06:00,122.75539644559224 V
2017-10-14T00:00:00-06:00,122.79226048787434 V
2017-10-15T00:00:00-06:00,122.76574905713399 V
2017-10-16T00:00:00-06:00,122.72037545839946 V
2017-10-17T00:00:00-06:00,122.5549590587616 V
2017-10-18T00:00:00-06:00,122.46435356140137 V
2017-10-19T00:00:00-06:00,122.55794111887614 V
2017-10-20T00:00:00-06:00,122.58930349349976 V
2017-10-21T00:00:00-06:00,122.57581353187561 V
2017-10-22T00:00:00-06:00,122.76922059059143 V
2017-10-23T00:00:00-06:00,122.58324416478474 V
2017-10-24T00:00:00-06:00,122.50445159276326 V
2017-10-25T00:00:00-06:00,122.52747440338135 V
2017-10-26T00:00:00-06:00,122.59576193491618 V
2017-10-27T00:00:00-06:00,122.66072614987691 V
