Timestamp,['203a263d-a6e28dc0 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Current B']
2017-10-30T00:00:00-06:00,339.03945843378705 A
2017-10-31T00:00:00-06:00,291.08391094207764 A
2017-11-01T00:00:00-06:00,352.7759273846944 A
2017-11-02T00:00:00-06:00,349.1563307444255 A
2017-11-03T00:00:00-06:00,360.2040638923645 A
2017-11-04T00:00:00-06:00,343.81544828414917 A
2017-11-05T00:00:00-06:00,213.27003265380858 A
2017-11-06T00:00:00-07:00,302.8281609217326 A
2017-11-07T00:00:00-07:00,323.4766837755839 A
2017-11-08T00:00:00-07:00,309.3621214230855 A
2017-11-09T00:00:00-07:00,295.38349453608197 A
2017-11-10T00:00:00-07:00,262.89445940653485 A
2017-11-11T00:00:00-07:00,211.0403230190277 A
2017-11-12T00:00:00-07:00,246.46328671773276 A
2017-11-13T00:00:00-07:00,263.8619403044383 A
2017-11-14T00:00:00-07:00,279.7477989991506 A
2017-11-15T00:00:00-07:00,286.3656595547994 A
2017-11-16T00:00:00-07:00,343.67567650477093 A
2017-11-17T00:00:00-07:00,270.8755912780762 A
2017-11-18T00:00:00-07:00,264.2246150970459 A
2017-11-19T00:00:00-07:00,269.36696791648865 A
2017-11-20T00:00:00-07:00,282.7896137237549 A
2017-11-21T00:00:00-07:00,314.4397617181142 A
2017-11-22T00:00:00-07:00,314.95767641067505 A
2017-11-23T00:00:00-07:00,211.7672539552053 A
2017-11-24T00:00:00-07:00,311.2864058812459 A
2017-11-25T00:00:00-07:00,293.14596915245056 A
2017-11-26T00:00:00-07:00,270.4369870026906 A
2017-11-27T00:00:00-07:00,341.24451128641766 A
2017-11-28T00:00:00-07:00,344.81458552678424 A
2017-11-29T00:00:00-07:00,331.37671581904095 A
2017-11-30T00:00:00-07:00,342.83191951115924 A
2017-12-01T00:00:00-07:00,309.5571762720744 A
2017-12-02T00:00:00-07:00,317.3597888946533 A
2017-12-03T00:00:00-07:00,205.8607529004415 A
2017-12-04T00:00:00-07:00,293.9177315235138 A
2017-12-05T00:00:00-07:00,295.6968144575755 A
2017-12-06T00:00:00-07:00,318.8337659041087 A
2017-12-07T00:00:00-07:00,294.88863945007324 A
2017-12-08T00:00:00-07:00,291.76240968704224 A
2017-12-09T00:00:00-07:00,295.29802401860553 A
2017-12-10T00:00:00-07:00,197.83888260523477 A
2017-12-11T00:00:00-07:00,300.33984899520874 A
2017-12-12T00:00:00-07:00,282.7425832748413 A
2017-12-13T00:00:00-07:00,315.51518901189166 A
2017-12-14T00:00:00-07:00,302.6733895937602 A
2017-12-15T00:00:00-07:00,290.0519605477651 A
2017-12-16T00:00:00-07:00,301.52708260218304 A
2017-12-17T00:00:00-07:00,178.53164172172546 A
2017-12-18T00:00:00-07:00,291.1383850753948 A
2017-12-19T00:00:00-07:00,279.8789277076721 A
2017-12-20T00:00:00-07:00,309.45224889119464 A
2017-12-21T00:00:00-07:00,264.3896279335022 A
2017-12-22T00:00:00-07:00,260.18101739883423 A
2017-12-23T00:00:00-07:00,231.11600065231323 A
2017-12-24T00:00:00-07:00,186.47263224919638 A
2017-12-25T00:00:00-07:00,181.09420235951742 A
2017-12-26T00:00:00-07:00,186.29687643051147 A
2017-12-27T00:00:00-07:00,224.34305795033774 A
2017-12-28T00:00:00-07:00,210.78468918800354 A
2017-12-29T00:00:00-07:00,216.39895915985107 A
2017-12-30T00:00:00-07:00,191.52383629480997 A
2017-12-31T00:00:00-07:00,182.9970328013102 A
