Timestamp,['206e9ea3-6d981b97 0046-LASSONDE STUDIOS Power Meter 316259 Current B']
2017-11-13T00:00:00-07:00,144.50323486328125 A
2017-11-14T00:00:00-07:00,155.40728600819907 A
2017-11-15T00:00:00-07:00,154.87257289886475 A
2017-11-16T00:00:00-07:00,141.72689350446066 A
2017-11-17T00:00:00-07:00,140.99672857920328 A
2017-11-18T00:00:00-07:00,106.62704865137736 A
2017-11-19T00:00:00-07:00,101.14062611262004 A
2017-11-20T00:00:00-07:00,128.97327208518982 A
2017-11-21T00:00:00-07:00,139.79731710751852 A
2017-11-22T00:00:00-07:00,133.94168965021768 A
2017-11-23T00:00:00-07:00,123.44172302881877 A
2017-11-24T00:00:00-07:00,125.53324762980144 A
2017-11-25T00:00:00-07:00,100.99604940414429 A
2017-11-26T00:00:00-07:00,79.93836800257365 A
2017-11-27T00:00:00-07:00,113.63117730617523 A
2017-11-28T00:00:00-07:00,138.7106533050537 A
2017-11-29T00:00:00-07:00,128.96995000044504 A
2017-11-30T00:00:00-07:00,138.4125281969706 A
2017-12-01T00:00:00-07:00,139.59299985567728 A
2017-12-02T00:00:00-07:00,138.50510485967 A
2017-12-03T00:00:00-07:00,142.33170175552368 A
2017-12-04T00:00:00-07:00,137.5818351904551 A
2017-12-05T00:00:00-07:00,140.0901484489441 A
2017-12-06T00:00:00-07:00,141.54913139343262 A
2017-12-07T00:00:00-07:00,140.76594384511313 A
2017-12-08T00:00:00-07:00,139.83383417129517 A
2017-12-09T00:00:00-07:00,136.0624431769053 A
2017-12-10T00:00:00-07:00,137.76827987035117 A
2017-12-11T00:00:00-07:00,139.66645002365112 A
2017-12-12T00:00:00-07:00,143.43984921773276 A
2017-12-13T00:00:00-07:00,142.77344099680582 A
2017-12-14T00:00:00-07:00,140.8692932923635 A
2017-12-15T00:00:00-07:00,140.89387249946594 A
2017-12-16T00:00:00-07:00,138.91245110829672 A
2017-12-17T00:00:00-07:00,139.4650206565857 A
2017-12-18T00:00:00-07:00,142.40867869059244 A
2017-12-19T00:00:00-07:00,141.26700250307718 A
2017-12-20T00:00:00-07:00,141.42061575253805 A
2017-12-21T00:00:00-07:00,131.76717535654703 A
2017-12-22T00:00:00-07:00,132.15169397989908 A
2017-12-23T00:00:00-07:00,131.82026847203574 A
2017-12-24T00:00:00-07:00,133.81574066480002 A
2017-12-25T00:00:00-07:00,130.2852442264557 A
2017-12-26T00:00:00-07:00,130.90548141797385 A
2017-12-27T00:00:00-07:00,132.0590384801229 A
2017-12-28T00:00:00-07:00,129.20923153559366 A
2017-12-29T00:00:00-07:00,132.746213277181 A
2017-12-30T00:00:00-07:00,134.7260888417562 A
2017-12-31T00:00:00-07:00,136.0602743625641 A
