Timestamp,"['1da983a9-b0ef8d83 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Watts, 3-Ph total']"
2017-09-26T00:00:00-06:00,60.07184982299805 kW
2017-09-27T00:00:00-06:00,122.70780944824219 kW
2017-09-28T00:00:00-06:00,113.81658172607422 kW
2017-09-29T00:00:00-06:00,65.69024658203125 kW
2017-09-30T00:00:00-06:00,63.10734558105469 kW
2017-10-01T00:00:00-06:00,59.054222106933594 kW
2017-10-02T00:00:00-06:00,60.05937957763672 kW
2017-10-03T00:00:00-06:00,314.59307861328125 kW
2017-10-04T00:00:00-06:00,61.38197708129883 kW
2017-10-05T00:00:00-06:00,131.7761688232422 kW
2017-10-06T00:00:00-06:00,108.09104919433594 kW
2017-10-07T00:00:00-06:00,631.32958984375 kW
2017-10-08T00:00:00-06:00,386.15399169921875 kW
2017-10-09T00:00:00-06:00,113.08386993408203 kW
2017-10-10T00:00:00-06:00,68.05767059326172 kW
2017-10-11T00:00:00-06:00,63.25060272216797 kW
2017-10-12T00:00:00-06:00,60.88325881958008 kW
2017-10-13T00:00:00-06:00,71.87728881835938 kW
2017-10-14T00:00:00-06:00,51.906009674072266 kW
2017-10-15T00:00:00-06:00,52.92927169799805 kW
2017-10-16T00:00:00-06:00,59.84202575683594 kW
2017-10-17T00:00:00-06:00,312.6970520019531 kW
2017-10-18T00:00:00-06:00,67.47604370117188 kW
2017-10-19T00:00:00-06:00,67.42677307128906 kW
2017-10-20T00:00:00-06:00,81.7414321899414 kW
2017-10-21T00:00:00-06:00,686.4879760742188 kW
2017-10-22T00:00:00-06:00,59.36050033569336 kW
2017-10-23T00:00:00-06:00,108.44650268554688 kW
2017-10-24T00:00:00-06:00,104.5079574584961 kW
2017-10-25T00:00:00-06:00,104.95735931396484 kW
2017-10-26T00:00:00-06:00,101.87257385253906 kW
2017-10-27T00:00:00-06:00,66.84202575683594 kW
2017-10-28T00:00:00-06:00,55.75962829589844 kW
2017-10-29T00:00:00-06:00,56.18825149536133 kW
2017-10-30T00:00:00-06:00,103.95894622802734 kW
2017-10-31T00:00:00-06:00,59.69696044921875 kW
2017-11-01T00:00:00-06:00,63.73607635498047 kW
2017-11-02T00:00:00-06:00,319.7185974121094 kW
2017-11-03T00:00:00-06:00,736.004638671875 kW
2017-11-04T00:00:00-06:00,363.084228515625 kW
2017-11-05T00:00:00-06:00,49.9068717956543 kW
2017-11-06T00:00:00-07:00,100.75202941894531 kW
2017-11-07T00:00:00-07:00,120.95573425292969 kW
2017-11-08T00:00:00-07:00,102.67061614990234 kW
2017-11-09T00:00:00-07:00,461.76776123046875 kW
2017-11-10T00:00:00-07:00,494.19476318359375 kW
2017-11-11T00:00:00-07:00,710.9784545898438 kW
2017-11-12T00:00:00-07:00,355.4383850097656 kW
2017-11-13T00:00:00-07:00,105.6748046875 kW
2017-11-14T00:00:00-07:00,61.41228103637695 kW
2017-11-15T00:00:00-07:00,56.68513488769531 kW
2017-11-16T00:00:00-07:00,56.81090545654297 kW
2017-11-17T00:00:00-07:00,490.06982421875 kW
2017-11-18T00:00:00-07:00,361.11248779296875 kW
2017-11-19T00:00:00-07:00,58.3595085144043 kW
2017-11-20T00:00:00-07:00,59.23398208618164 kW
2017-11-21T00:00:00-07:00,312.61669921875 kW
2017-11-22T00:00:00-07:00,58.78264236450195 kW
2017-11-23T00:00:00-07:00,54.925819396972656 kW
2017-11-24T00:00:00-07:00,58.798362731933594 kW
2017-11-25T00:00:00-07:00,685.5899047851562 kW
2017-11-26T00:00:00-07:00,402.32098388671875 kW
2017-11-27T00:00:00-07:00,101.39060974121094 kW
2017-11-28T00:00:00-07:00,94.69587707519531 kW
2017-11-29T00:00:00-07:00,125.218505859375 kW
2017-11-30T00:00:00-07:00,102.65320587158203 kW
2017-12-01T00:00:00-07:00,65.71991729736328 kW
2017-12-02T00:00:00-07:00,54.146400451660156 kW
2017-12-03T00:00:00-07:00,54.81705093383789 kW
2017-12-04T00:00:00-07:00,61.480587005615234 kW
2017-12-05T00:00:00-07:00,59.8482780456543 kW
2017-12-06T00:00:00-07:00,60.127342224121094 kW
2017-12-07T00:00:00-07:00,59.22682189941406 kW
2017-12-08T00:00:00-07:00,153.5931854248047 kW
2017-12-09T00:00:00-07:00,52.2446174621582 kW
2017-12-10T00:00:00-07:00,52.312076568603516 kW
2017-12-11T00:00:00-07:00,56.768375396728516 kW
2017-12-12T00:00:00-07:00,55.086727142333984 kW
2017-12-13T00:00:00-07:00,50.35928726196289 kW
2017-12-14T00:00:00-07:00,53.2565803527832 kW
2017-12-15T00:00:00-07:00,55.223262786865234 kW
2017-12-16T00:00:00-07:00,52.39280319213867 kW
2017-12-17T00:00:00-07:00,50.00638198852539 kW
2017-12-18T00:00:00-07:00,53.58751678466797 kW
2017-12-19T00:00:00-07:00,55.358612060546875 kW
2017-12-20T00:00:00-07:00,55.492313385009766 kW
2017-12-21T00:00:00-07:00,54.4451789855957 kW
2017-12-22T00:00:00-07:00,52.25014114379883 kW
2017-12-23T00:00:00-07:00,50.90829086303711 kW
2017-12-24T00:00:00-07:00,52.875335693359375 kW
2017-12-25T00:00:00-07:00,53.11570358276367 kW
2017-12-26T00:00:00-07:00,55.28629684448242 kW
2017-12-27T00:00:00-07:00,53.957462310791016 kW
2017-12-28T00:00:00-07:00,54.502925872802734 kW
2017-12-29T00:00:00-07:00,54.86260986328125 kW
2017-12-30T00:00:00-07:00,57.59761047363281 kW
2017-12-31T00:00:00-07:00,52.31356430053711 kW
