Timestamp,['203f2685-978838b8 0097-DUMKE GYMNASTICS CNTR Power Meter Current C']
2017-09-18T00:00:00-06:00,48.749061624209084 A
2017-09-19T00:00:00-06:00,44.97389988104502 A
2017-09-20T00:00:00-06:00,40.88317561149597 A
2017-09-21T00:00:00-06:00,43.284219622612 A
2017-09-22T00:00:00-06:00,40.90043556690216 A
2017-09-23T00:00:00-06:00,37.38354754447937 A
2017-09-24T00:00:00-06:00,37.48544001579285 A
2017-09-25T00:00:00-06:00,42.84993318716685 A
2017-09-26T00:00:00-06:00,47.54228222370148 A
2017-09-27T00:00:00-06:00,42.0053536494573 A
2017-09-28T00:00:00-06:00,43.92495115598043 A
2017-09-29T00:00:00-06:00,45.826038002967834 A
2017-09-30T00:00:00-06:00,38.554861028570876 A
2017-10-01T00:00:00-06:00,37.649150252342224 A
2017-10-02T00:00:00-06:00,43.80811516443888 A
2017-10-03T00:00:00-06:00,43.08979062239329 A
2017-10-04T00:00:00-06:00,47.093912641207375 A
2017-10-05T00:00:00-06:00,46.206648111343384 A
2017-10-06T00:00:00-06:00,46.877726356188454 A
2017-10-07T00:00:00-06:00,39.788455843925476 A
2017-10-08T00:00:00-06:00,37.70477988322576 A
2017-10-09T00:00:00-06:00,38.965198953946434 A
2017-10-10T00:00:00-06:00,40.398679892222084 A
2017-10-11T00:00:00-06:00,40.49956063429514 A
2017-10-12T00:00:00-06:00,40.61610233783722 A
2017-10-13T00:00:00-06:00,39.17649539311727 A
2017-10-14T00:00:00-06:00,36.97352580229441 A
2017-10-15T00:00:00-06:00,37.98156104485194 A
2017-10-16T00:00:00-06:00,44.21263007322947 A
2017-10-17T00:00:00-06:00,49.16885550816854 A
2017-10-18T00:00:00-06:00,41.47371176878611 A
2017-10-19T00:00:00-06:00,45.69578540325165 A
2017-10-20T00:00:00-06:00,43.12178933620453 A
2017-10-21T00:00:00-06:00,37.889130572477974 A
2017-10-22T00:00:00-06:00,39.02049138148626 A
2017-10-23T00:00:00-06:00,45.06327748298645 A
2017-10-24T00:00:00-06:00,49.45752954483032 A
2017-10-25T00:00:00-06:00,46.26669029394785 A
2017-10-26T00:00:00-06:00,46.514879624048866 A
2017-10-27T00:00:00-06:00,44.10738162199656 A
2017-10-28T00:00:00-06:00,38.82641136646271 A
2017-10-29T00:00:00-06:00,40.13045839468638 A
2017-10-30T00:00:00-06:00,46.0749648809433 A
2017-10-31T00:00:00-06:00,46.188789208730064 A
2017-11-01T00:00:00-06:00,41.965768694877625 A
2017-11-02T00:00:00-06:00,46.607627948125206 A
2017-11-03T00:00:00-06:00,44.7347716887792 A
2017-11-04T00:00:00-06:00,38.777718126773834 A
2017-11-05T00:00:00-06:00,38.31040760040283 A
2017-11-06T00:00:00-07:00,43.6741007566452 A
2017-11-07T00:00:00-07:00,45.71916635831197 A
2017-11-08T00:00:00-07:00,39.80378790696462 A
2017-11-09T00:00:00-07:00,46.122660080591835 A
2017-11-10T00:00:00-07:00,42.70722635587057 A
2017-11-11T00:00:00-07:00,37.689414044221245 A
2017-11-12T00:00:00-07:00,38.6609134276708 A
2017-11-13T00:00:00-07:00,45.86875041325887 A
2017-11-14T00:00:00-07:00,47.191232681274414 A
2017-11-15T00:00:00-07:00,41.3810316324234 A
2017-11-16T00:00:00-07:00,46.05909021695455 A
2017-11-17T00:00:00-07:00,44.841566721598305 A
2017-11-18T00:00:00-07:00,38.62592005729675 A
2017-11-19T00:00:00-07:00,39.74774360656738 A
2017-11-20T00:00:00-07:00,46.959285855293274 A
2017-11-21T00:00:00-07:00,49.018283565839134 A
2017-11-22T00:00:00-07:00,43.44224286079407 A
2017-11-23T00:00:00-07:00,39.40792989730835 A
2017-11-24T00:00:00-07:00,42.84482284386953 A
2017-11-25T00:00:00-07:00,42.360321978727974 A
2017-11-26T00:00:00-07:00,40.03133177757263 A
2017-11-27T00:00:00-07:00,46.34661817550659 A
2017-11-28T00:00:00-07:00,47.63061769803365 A
2017-11-29T00:00:00-07:00,40.398141860961914 A
2017-11-30T00:00:00-07:00,47.30528529485067 A
2017-12-01T00:00:00-07:00,44.488999684651695 A
2017-12-02T00:00:00-07:00,39.0227464834849 A
2017-12-03T00:00:00-07:00,39.74158310890198 A
2017-12-04T00:00:00-07:00,48.46764592329661 A
2017-12-05T00:00:00-07:00,48.069757064183555 A
2017-12-06T00:00:00-07:00,43.054097175598145 A
2017-12-07T00:00:00-07:00,46.88611698150635 A
2017-12-08T00:00:00-07:00,43.29006636142731 A
2017-12-09T00:00:00-07:00,40.37988940874735 A
2017-12-10T00:00:00-07:00,39.0944090684255 A
2017-12-11T00:00:00-07:00,43.979679584503174 A
2017-12-12T00:00:00-07:00,43.96893668174744 A
2017-12-13T00:00:00-07:00,41.779242157936096 A
2017-12-14T00:00:00-07:00,41.58616332213084 A
2017-12-15T00:00:00-07:00,39.24051137765249 A
2017-12-16T00:00:00-07:00,35.04844981431961 A
2017-12-17T00:00:00-07:00,35.49328464269638 A
2017-12-18T00:00:00-07:00,37.62802489085864 A
2017-12-19T00:00:00-07:00,37.32023672262827 A
2017-12-20T00:00:00-07:00,37.18435804049174 A
2017-12-21T00:00:00-07:00,36.5203340848287 A
2017-12-22T00:00:00-07:00,37.57060241699219 A
2017-12-23T00:00:00-07:00,35.98475448290507 A
2017-12-24T00:00:00-07:00,38.71382403373718 A
2017-12-25T00:00:00-07:00,38.70287092526754 A
2017-12-26T00:00:00-07:00,41.294954776763916 A
2017-12-27T00:00:00-07:00,46.4144301811854 A
2017-12-28T00:00:00-07:00,47.92594428857168 A
2017-12-29T00:00:00-07:00,42.80608129501343 A
2017-12-30T00:00:00-07:00,47.24648654460907 A
2017-12-31T00:00:00-07:00,40.51860519250234 A
