Timestamp,['1cbacaa6-7439e31a 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Current A']
2017-10-02T00:00:00-06:00,83.84430972735088 A
2017-10-03T00:00:00-06:00,87.28685108820598 A
2017-10-04T00:00:00-06:00,89.2082285086314 A
2017-10-05T00:00:00-06:00,89.9390579064687 A
2017-10-06T00:00:00-06:00,85.32264725367229 A
2017-10-07T00:00:00-06:00,66.03281064828236 A
2017-10-08T00:00:00-06:00,69.71775122483571 A
2017-10-09T00:00:00-06:00,78.70272370179494 A
2017-10-10T00:00:00-06:00,76.1527312596639 A
2017-10-11T00:00:00-06:00,73.34632611274719 A
2017-10-12T00:00:00-06:00,83.29341423511505 A
2017-10-13T00:00:00-06:00,78.5644142627716 A
2017-10-14T00:00:00-06:00,74.21803589661916 A
2017-10-15T00:00:00-06:00,71.61219839255016 A
2017-10-16T00:00:00-06:00,94.07450445493062 A
2017-10-17T00:00:00-06:00,90.74556187788646 A
2017-10-18T00:00:00-06:00,98.06412764390309 A
2017-10-19T00:00:00-06:00,96.16245830059052 A
2017-10-20T00:00:00-06:00,86.90770665804546 A
2017-10-21T00:00:00-06:00,75.64504460493724 A
2017-10-22T00:00:00-06:00,73.83111035823822 A
2017-10-23T00:00:00-06:00,91.245187997818 A
2017-10-24T00:00:00-06:00,92.60840173562367 A
2017-10-25T00:00:00-06:00,94.90488851070404 A
2017-10-26T00:00:00-06:00,94.75411625703175 A
2017-10-27T00:00:00-06:00,96.49554777145386 A
2017-10-28T00:00:00-06:00,78.46873009204865 A
2017-10-29T00:00:00-06:00,78.503959496816 A
2017-10-30T00:00:00-06:00,95.43244763215382 A
2017-10-31T00:00:00-06:00,83.83055873711903 A
2017-11-01T00:00:00-06:00,87.41939667860667 A
2017-11-02T00:00:00-06:00,89.49462099870046 A
2017-11-03T00:00:00-06:00,86.63817993799846 A
2017-11-04T00:00:00-06:00,82.46373995145161 A
2017-11-05T00:00:00-06:00,82.7090032196045 A
2017-11-06T00:00:00-07:00,97.65271468957265 A
2017-11-07T00:00:00-07:00,98.93181304136913 A
2017-11-08T00:00:00-07:00,99.48973870277405 A
2017-11-09T00:00:00-07:00,102.54843890666962 A
2017-11-10T00:00:00-07:00,88.4597954750061 A
2017-11-11T00:00:00-07:00,73.05284043153127 A
2017-11-12T00:00:00-07:00,73.30919233957927 A
2017-11-13T00:00:00-07:00,88.91141470273335 A
2017-11-14T00:00:00-07:00,91.25000627835591 A
2017-11-15T00:00:00-07:00,93.88560839494069 A
2017-11-16T00:00:00-07:00,93.59938712914784 A
2017-11-17T00:00:00-07:00,92.03278863430023 A
2017-11-18T00:00:00-07:00,74.67605650424957 A
2017-11-19T00:00:00-07:00,81.470743060112 A
2017-11-20T00:00:00-07:00,98.16913751761119 A
2017-11-21T00:00:00-07:00,93.01285147666931 A
2017-11-22T00:00:00-07:00,88.59695716698964 A
2017-11-23T00:00:00-07:00,73.67851905028026 A
2017-11-24T00:00:00-07:00,73.4977285861969 A
2017-11-25T00:00:00-07:00,74.09235846996307 A
2017-11-26T00:00:00-07:00,72.64262350400288 A
2017-11-27T00:00:00-07:00,93.27744007110596 A
2017-11-28T00:00:00-07:00,98.2619777917862 A
2017-11-29T00:00:00-07:00,107.29266679286957 A
2017-11-30T00:00:00-07:00,107.06977641582489 A
2017-12-01T00:00:00-07:00,109.82269954681396 A
2017-12-02T00:00:00-07:00,92.22665905952454 A
2017-12-03T00:00:00-07:00,96.19172461827596 A
2017-12-04T00:00:00-07:00,106.99449157714844 A
2017-12-05T00:00:00-07:00,107.2197420199712 A
2017-12-06T00:00:00-07:00,95.92051823933919 A
2017-12-07T00:00:00-07:00,91.4242600997289 A
2017-12-08T00:00:00-07:00,89.65069957574208 A
2017-12-09T00:00:00-07:00,77.34463620185852 A
2017-12-10T00:00:00-07:00,80.32812933127086 A
2017-12-11T00:00:00-07:00,86.65575551986694 A
2017-12-12T00:00:00-07:00,88.49869569142659 A
2017-12-13T00:00:00-07:00,91.53861463069916 A
2017-12-14T00:00:00-07:00,87.83538230260213 A
2017-12-15T00:00:00-07:00,85.18230740229289 A
2017-12-16T00:00:00-07:00,73.97975420951843 A
2017-12-17T00:00:00-07:00,76.46715931097667 A
2017-12-18T00:00:00-07:00,84.63603477067845 A
2017-12-19T00:00:00-07:00,81.41173839569092 A
2017-12-20T00:00:00-07:00,84.1301486492157 A
2017-12-21T00:00:00-07:00,79.82773192723592 A
2017-12-22T00:00:00-07:00,76.05212330818176 A
2017-12-23T00:00:00-07:00,73.31235150496165 A
2017-12-24T00:00:00-07:00,71.42352477709453 A
2017-12-25T00:00:00-07:00,69.9321757555008 A
2017-12-26T00:00:00-07:00,71.75222392876942 A
2017-12-27T00:00:00-07:00,73.28110273679097 A
2017-12-28T00:00:00-07:00,72.18899019559224 A
2017-12-29T00:00:00-07:00,70.42090670267741 A
2017-12-30T00:00:00-07:00,70.35821727911632 A
2017-12-31T00:00:00-07:00,67.50502892335255 A
