Timestamp,['1cca747d-a3a60633 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts AN']
2017-07-23T00:00:00-06:00,123.3125 V
2017-07-24T00:00:00-06:00,123.27083333333333 V
2017-07-25T00:00:00-06:00,123.22916666666667 V
2017-07-26T00:00:00-06:00,123.14583333333333 V
2017-07-27T00:00:00-06:00,123.23958333333333 V
2017-07-28T00:00:00-06:00,123.13541666666667 V
2017-07-29T00:00:00-06:00,123.125 V
2017-07-30T00:00:00-06:00,123.17708333333333 V
2017-07-31T00:00:00-06:00,123.30208333333333 V
2017-08-01T00:00:00-06:00,123.17708333333333 V
2017-08-02T00:00:00-06:00,123.11458333333333 V
2017-08-03T00:00:00-06:00,123.07291666666667 V
2017-08-04T00:00:00-06:00,123.12359550561797 V
2017-08-05T00:00:00-06:00,123.21875 V
2017-08-06T00:00:00-06:00,123.22916666666667 V
2017-08-07T00:00:00-06:00,123.07291666666667 V
2017-08-08T00:00:00-06:00,123.28125 V
2017-08-09T00:00:00-06:00,123.08695652173913 V
2017-08-10T00:00:00-06:00,123.16304347826087 V
2017-08-11T00:00:00-06:00,123.23958333333333 V
2017-08-12T00:00:00-06:00,123.15625 V
2017-08-13T00:00:00-06:00,123.34375 V
2017-08-14T00:00:00-06:00,123.1875 V
2017-08-15T00:00:00-06:00,123.28125 V
2017-08-16T00:00:00-06:00,123.16666666666667 V
2017-08-17T00:00:00-06:00,123.09375 V
2017-08-18T00:00:00-06:00,123.11458333333333 V
2017-08-19T00:00:00-06:00,123.08333333333333 V
2017-08-20T00:00:00-06:00,123.14583333333333 V
2017-08-21T00:00:00-06:00,123.08333333333333 V
2017-08-22T00:00:00-06:00,122.94791666666667 V
2017-08-23T00:00:00-06:00,122.98958333333333 V
2017-08-24T00:00:00-06:00,122.9375 V
2017-08-25T00:00:00-06:00,123.01041666666667 V
2017-08-26T00:00:00-06:00,123 V
2017-08-27T00:00:00-06:00,122.98958333333333 V
2017-08-28T00:00:00-06:00,123.06818181818181 V
2017-08-29T00:00:00-06:00,123.06666666666666 V
2017-08-30T00:00:00-06:00,123.14583333333333 V
2017-08-31T00:00:00-06:00,123.20833333333333 V
2017-09-01T00:00:00-06:00,123.15625 V
2017-09-02T00:00:00-06:00,123.14583333333333 V
2017-09-03T00:00:00-06:00,123.30208333333333 V
2017-09-04T00:00:00-06:00,123.05208333333333 V
2017-09-05T00:00:00-06:00,123.08333333333333 V
2017-09-06T00:00:00-06:00,123.06315789473685 V
2017-09-07T00:00:00-06:00,123.07368421052631 V
2017-09-08T00:00:00-06:00,123.17582417582418 V
2017-09-09T00:00:00-06:00,123.15625 V
2017-09-10T00:00:00-06:00,123.20833333333333 V
2017-09-11T00:00:00-06:00,123.02083333333333 V
2017-09-12T00:00:00-06:00,123.28125 V
2017-09-13T00:00:00-06:00,123.0625 V
2017-09-14T00:00:00-06:00,123.21875 V
2017-09-15T00:00:00-06:00,123.16666666666667 V
2017-09-16T00:00:00-06:00,123.42708333333333 V
2017-09-17T00:00:00-06:00,123.19791666666667 V
2017-09-18T00:00:00-06:00,123.26041666666667 V
2017-09-19T00:00:00-06:00,123.07291666666667 V
