Timestamp,['1cac6eaa-c5f5c516 0011-BROWNING BLDG Power Meter 311945 VOLT C-N']
2017-07-14T00:00:00-06:00,122.93567362361485 V
2017-07-15T00:00:00-06:00,122.90941948360867 V
2017-07-16T00:00:00-06:00,122.87819603814019 V
2017-07-17T00:00:00-06:00,122.88681872155931 V
2017-07-18T00:00:00-06:00,122.89108582602607 V
2017-07-19T00:00:00-06:00,122.8657015217675 V
2017-07-20T00:00:00-06:00,122.87964639663696 V
2017-07-21T00:00:00-06:00,122.80571537547641 V
2017-07-22T00:00:00-06:00,122.84900851249695 V
2017-07-23T00:00:00-06:00,122.93279909557766 V
2017-07-24T00:00:00-06:00,123.02920583089193 V
2017-07-25T00:00:00-06:00,122.83094348377652 V
2017-07-26T00:00:00-06:00,122.80319249894885 V
2017-07-27T00:00:00-06:00,122.83684644169277 V
2017-07-28T00:00:00-06:00,122.7677823331621 V
2017-07-29T00:00:00-06:00,122.83045423295763 V
2017-07-30T00:00:00-06:00,122.9359480963813 V
2017-07-31T00:00:00-06:00,122.93832812309265 V
2017-08-01T00:00:00-06:00,122.93526038593716 V
2017-08-02T00:00:00-06:00,122.78257998360527 V
2017-08-03T00:00:00-06:00,122.75921460257636 V
2017-08-04T00:00:00-06:00,122.80422139813103 V
2017-08-05T00:00:00-06:00,122.93889322810703 V
2017-08-06T00:00:00-06:00,122.91058881017896 V
2017-08-07T00:00:00-06:00,122.76411542362636 V
2017-08-08T00:00:00-06:00,122.74799214469061 V
2017-08-09T00:00:00-06:00,122.82353781064351 V
2017-08-10T00:00:00-06:00,122.80182874583454 V
2017-08-11T00:00:00-06:00,122.84950570000542 V
2017-08-12T00:00:00-06:00,122.884126329422 V
2017-08-13T00:00:00-06:00,123.06109413570827 V
2017-08-14T00:00:00-06:00,123.02666873931885 V
2017-08-15T00:00:00-06:00,122.94360659601293 V
2017-08-16T00:00:00-06:00,122.83678103552924 V
2017-08-17T00:00:00-06:00,122.85837816662259 V
2017-08-18T00:00:00-06:00,122.88745917744107 V
2017-08-19T00:00:00-06:00,122.96231047312419 V
2017-08-20T00:00:00-06:00,123.04344449043273 V
2017-08-21T00:00:00-06:00,123.01112591425577 V
2017-08-22T00:00:00-06:00,122.87026724815368 V
2017-08-23T00:00:00-06:00,122.96597567664253 V
2017-08-24T00:00:00-06:00,122.88864656024509 V
2017-08-25T00:00:00-06:00,122.88204646110535 V
2017-08-26T00:00:00-06:00,122.87945864995321 V
2017-08-27T00:00:00-06:00,122.92910323672824 V
2017-08-28T00:00:00-06:00,122.85726690430572 V
2017-08-29T00:00:00-06:00,122.84506384329178 V
2017-08-30T00:00:00-06:00,122.9020887321896 V
2017-08-31T00:00:00-06:00,122.93390604125129 V
2017-09-01T00:00:00-06:00,122.79584164089627 V
2017-09-02T00:00:00-06:00,122.86087756127098 V
2017-09-03T00:00:00-06:00,122.92594244745042 V
2017-09-04T00:00:00-06:00,122.79788186270135 V
2017-09-05T00:00:00-06:00,122.80547063958736 V
2017-09-06T00:00:00-06:00,122.87867872638729 V
2017-09-07T00:00:00-06:00,122.81649272706774 V
2017-09-08T00:00:00-06:00,123.00150476326219 V
2017-09-09T00:00:00-06:00,122.92474842071533 V
2017-09-10T00:00:00-06:00,123.02662332322862 V
2017-09-11T00:00:00-06:00,122.8344749519608 V
2017-09-12T00:00:00-06:00,123.00326424704657 V
2017-09-13T00:00:00-06:00,122.85874011667343 V
2017-09-14T00:00:00-06:00,122.95788927608066 V
2017-09-15T00:00:00-06:00,122.94258161650764 V
2017-09-16T00:00:00-06:00,123.12724101278516 V
2017-09-17T00:00:00-06:00,122.86675150659349 V
2017-09-18T00:00:00-06:00,122.99615756670634 V
2017-09-19T00:00:00-06:00,122.868173122406 V
2017-09-20T00:00:00-06:00,122.9524883694119 V
2017-09-21T00:00:00-06:00,123.01975176599291 V
2017-09-22T00:00:00-06:00,122.96882773505317 V
2017-09-23T00:00:00-06:00,123.04529471927219 V
2017-09-24T00:00:00-06:00,122.93592211405436 V
2017-09-25T00:00:00-06:00,123.08114396201239 V
2017-09-26T00:00:00-06:00,122.91133971744114 V
2017-09-27T00:00:00-06:00,122.93773958947924 V
2017-09-28T00:00:00-06:00,122.78459491199918 V
2017-09-29T00:00:00-06:00,122.82163977093167 V
2017-09-30T00:00:00-06:00,122.94355152977838 V
2017-10-01T00:00:00-06:00,122.89579811626011 V
2017-10-02T00:00:00-06:00,122.98157376713223 V
2017-10-03T00:00:00-06:00,123.01896728409662 V
2017-10-04T00:00:00-06:00,122.87693202760485 V
