Timestamp,"['206e9eed-8cd5e342 0046-LASSONDE STUDIOS Power Meter 316259 Watts, 3-Ph total']"
2017-09-20T00:00:00-06:00,149.3722686767578 kW
2017-09-21T00:00:00-06:00,150.06976318359375 kW
2017-09-22T00:00:00-06:00,138.819091796875 kW
2017-09-23T00:00:00-06:00,144.0646514892578 kW
2017-09-24T00:00:00-06:00,133.55136108398438 kW
2017-09-25T00:00:00-06:00,144.04275512695312 kW
2017-09-26T00:00:00-06:00,134.64712524414062 kW
2017-09-27T00:00:00-06:00,139.59620666503906 kW
2017-09-28T00:00:00-06:00,139.6361083984375 kW
2017-09-29T00:00:00-06:00,144.52279663085938 kW
2017-09-30T00:00:00-06:00,138.16883850097656 kW
2017-10-01T00:00:00-06:00,141.89996337890625 kW
2017-10-02T00:00:00-06:00,152.0328369140625 kW
2017-10-03T00:00:00-06:00,137.4334259033203 kW
2017-10-04T00:00:00-06:00,138.44293212890625 kW
2017-10-05T00:00:00-06:00,138.81324768066406 kW
2017-10-06T00:00:00-06:00,142.33787536621094 kW
2017-10-07T00:00:00-06:00,135.990234375 kW
2017-10-08T00:00:00-06:00,131.62832641601562 kW
2017-10-09T00:00:00-06:00,133.81729125976562 kW
2017-10-10T00:00:00-06:00,141.0758056640625 kW
2017-10-11T00:00:00-06:00,140.32354736328125 kW
2017-10-12T00:00:00-06:00,133.52474975585938 kW
2017-10-13T00:00:00-06:00,145.51341247558594 kW
2017-10-14T00:00:00-06:00,135.76626586914062 kW
2017-10-15T00:00:00-06:00,144.76466369628906 kW
2017-10-16T00:00:00-06:00,126.10224914550781 kW
2017-10-17T00:00:00-06:00,140.22669982910156 kW
2017-10-18T00:00:00-06:00,141.27366638183594 kW
2017-10-19T00:00:00-06:00,133.4851837158203 kW
2017-10-20T00:00:00-06:00,146.39085388183594 kW
2017-10-21T00:00:00-06:00,146.7714385986328 kW
2017-10-22T00:00:00-06:00,162.94407653808594 kW
2017-10-23T00:00:00-06:00,136.12086486816406 kW
2017-10-24T00:00:00-06:00,144.75872802734375 kW
2017-10-25T00:00:00-06:00,130.57662963867188 kW
