Timestamp,['1cac61ad-3487261b 0009-WIDTSOE BLDG Power Meter 1(300028) KW Total']
2017-06-07T00:00:00-06:00,81.10960497008423 kW
2017-06-08T00:00:00-06:00,70.25979077969428 kW
2017-06-09T00:00:00-06:00,61.81337111236873 kW
2017-06-10T00:00:00-06:00,52.61468559882159 kW
2017-06-11T00:00:00-06:00,52.825997051199295 kW
2017-06-12T00:00:00-06:00,50.18682410410154 kW
2017-06-13T00:00:00-06:00,35.71228764052745 kW
2017-06-14T00:00:00-06:00,57.70518975766722 kW
2017-06-15T00:00:00-06:00,79.19821248980595 kW
2017-06-16T00:00:00-06:00,70.48946865730811 kW
2017-06-17T00:00:00-06:00,55.12515592580596 kW
2017-06-18T00:00:00-06:00,52.045495579507545 kW
2017-06-19T00:00:00-06:00,85.37196165914885 kW
2017-06-20T00:00:00-06:00,94.82493876332495 kW
2017-06-21T00:00:00-06:00,71.34640299039866 kW
2017-06-22T00:00:00-06:00,68.90883421047974 kW
2017-06-23T00:00:00-06:00,63.82079140824305 kW
2017-06-24T00:00:00-06:00,51.76003401107261 kW
2017-06-25T00:00:00-06:00,52.36891251476817 kW
2017-06-26T00:00:00-06:00,61.496213793125406 kW
2017-06-27T00:00:00-06:00,72.83963435941268 kW
2017-06-28T00:00:00-06:00,71.86789906104418 kW
2017-06-29T00:00:00-06:00,67.41407777675882 kW
2017-06-30T00:00:00-06:00,64.41165222446128 kW
2017-07-01T00:00:00-06:00,62.02377303253724 kW
2017-07-02T00:00:00-06:00,64.00768549972109 kW
2017-07-03T00:00:00-06:00,69.33611791381108 kW
2017-07-04T00:00:00-06:00,68.29481675766128 kW
2017-07-05T00:00:00-06:00,76.86965835873731 kW
2017-07-06T00:00:00-06:00,72.76436139693966 kW
2017-07-07T00:00:00-06:00,76.13310434202353 kW
2017-07-08T00:00:00-06:00,84.2963320158367 kW
2017-07-09T00:00:00-06:00,86.09564360058972 kW
2017-07-10T00:00:00-06:00,90.00266142672957 kW
2017-07-11T00:00:00-06:00,69.8188268003309 kW
2017-07-12T00:00:00-06:00,69.53361155034217 kW
2017-07-13T00:00:00-06:00,69.80365550522454 kW
2017-07-14T00:00:00-06:00,75.03241730848936 kW
