Timestamp,['1cdbb658-cdc50375 0087-THATCHER BLDG Power Meter (301205) KW Total']
2017-06-07T00:00:00-06:00,262.5518798828125 kW
2017-06-08T00:00:00-06:00,261.8511047363281 kW
2017-06-09T00:00:00-06:00,252.56468200683594 kW
2017-06-10T00:00:00-06:00,250.6049041748047 kW
2017-06-11T00:00:00-06:00,248.6740264892578 kW
2017-06-12T00:00:00-06:00,251.3558807373047 kW
2017-06-13T00:00:00-06:00,257.7900085449219 kW
2017-06-14T00:00:00-06:00,252.25021362304688 kW
2017-06-15T00:00:00-06:00,257.64495849609375 kW
2017-06-16T00:00:00-06:00,260.3039245605469 kW
2017-06-17T00:00:00-06:00,226.45716857910156 kW
2017-06-18T00:00:00-06:00,242.7484893798828 kW
2017-06-19T00:00:00-06:00,255.0902099609375 kW
2017-06-20T00:00:00-06:00,268.03692626953125 kW
2017-06-21T00:00:00-06:00,254.74209594726562 kW
2017-06-22T00:00:00-06:00,246.84727478027344 kW
2017-06-23T00:00:00-06:00,251.211669921875 kW
2017-06-24T00:00:00-06:00,217.63363647460938 kW
2017-06-25T00:00:00-06:00,209.41954040527344 kW
2017-06-26T00:00:00-06:00,223.4361114501953 kW
2017-06-27T00:00:00-06:00,229.77821350097656 kW
2017-06-28T00:00:00-06:00,233.58407592773438 kW
2017-06-29T00:00:00-06:00,212.4058074951172 kW
2017-06-30T00:00:00-06:00,214.19287109375 kW
2017-07-01T00:00:00-06:00,205.33287048339844 kW
2017-07-02T00:00:00-06:00,205.00132751464844 kW
2017-07-03T00:00:00-06:00,223.18069458007812 kW
2017-07-04T00:00:00-06:00,216.1256103515625 kW
2017-07-05T00:00:00-06:00,232.6825408935547 kW
2017-07-06T00:00:00-06:00,224.7227020263672 kW
2017-07-07T00:00:00-06:00,221.7276153564453 kW
2017-07-08T00:00:00-06:00,217.01039123535156 kW
2017-07-09T00:00:00-06:00,216.823974609375 kW
2017-07-10T00:00:00-06:00,225.41708374023438 kW
2017-07-11T00:00:00-06:00,228.14312744140625 kW
2017-07-12T00:00:00-06:00,224.55126953125 kW
2017-07-13T00:00:00-06:00,219.3547821044922 kW
2017-07-14T00:00:00-06:00,237.0789794921875 kW
2017-07-15T00:00:00-06:00,218.2020721435547 kW
2017-07-16T00:00:00-06:00,218.4432830810547 kW
2017-07-17T00:00:00-06:00,254.25746154785156 kW
2017-07-18T00:00:00-06:00,236.46063232421875 kW
2017-07-19T00:00:00-06:00,240.03961181640625 kW
2017-07-20T00:00:00-06:00,223.0962371826172 kW
2017-07-21T00:00:00-06:00,227.17886352539062 kW
2017-07-22T00:00:00-06:00,207.43630981445312 kW
2017-07-23T00:00:00-06:00,215.08151245117188 kW
2017-07-24T00:00:00-06:00,223.3993682861328 kW
2017-07-25T00:00:00-06:00,217.85055541992188 kW
2017-07-26T00:00:00-06:00,237.23580932617188 kW
2017-07-27T00:00:00-06:00,221.88134765625 kW
2017-07-28T00:00:00-06:00,224.9275665283203 kW
2017-07-29T00:00:00-06:00,213.7646026611328 kW
2017-07-30T00:00:00-06:00,217.17254638671875 kW
2017-07-31T00:00:00-06:00,223.37857055664062 kW
2017-08-01T00:00:00-06:00,220.22203063964844 kW
2017-08-02T00:00:00-06:00,223.9140625 kW
2017-08-03T00:00:00-06:00,218.99952697753906 kW
2017-08-04T00:00:00-06:00,234.51417541503906 kW
2017-08-05T00:00:00-06:00,218.153076171875 kW
2017-08-06T00:00:00-06:00,216.57669067382812 kW
2017-08-07T00:00:00-06:00,224.05325317382812 kW
2017-08-08T00:00:00-06:00,217.55215454101562 kW
2017-08-09T00:00:00-06:00,227.72401428222656 kW
2017-08-10T00:00:00-06:00,220.06170654296875 kW
2017-08-11T00:00:00-06:00,228.7100067138672 kW
2017-08-12T00:00:00-06:00,214.25137329101562 kW
2017-08-13T00:00:00-06:00,220.11781311035156 kW
2017-08-14T00:00:00-06:00,223.86952209472656 kW
2017-08-15T00:00:00-06:00,227.59796142578125 kW
2017-08-16T00:00:00-06:00,233.96237182617188 kW
2017-08-17T00:00:00-06:00,255.566162109375 kW
2017-08-18T00:00:00-06:00,258.0206298828125 kW
2017-08-19T00:00:00-06:00,225.00225830078125 kW
2017-08-20T00:00:00-06:00,253.65573120117188 kW
2017-08-21T00:00:00-06:00,263.86712646484375 kW
2017-08-22T00:00:00-06:00,224.68360900878906 kW
2017-08-23T00:00:00-06:00,246.4227752685547 kW
2017-08-24T00:00:00-06:00,232.54693603515625 kW
2017-08-25T00:00:00-06:00,227.4617156982422 kW
2017-08-26T00:00:00-06:00,230.0338897705078 kW
2017-08-27T00:00:00-06:00,225.788818359375 kW
2017-08-28T00:00:00-06:00,225.8190460205078 kW
2017-08-29T00:00:00-06:00,212.54025268554688 kW
2017-08-30T00:00:00-06:00,224.31039428710938 kW
2017-08-31T00:00:00-06:00,213.4439697265625 kW
2017-09-01T00:00:00-06:00,229.60324096679688 kW
2017-09-02T00:00:00-06:00,205.06118774414062 kW
2017-09-03T00:00:00-06:00,212.62754821777344 kW
2017-09-04T00:00:00-06:00,210.1232452392578 kW
2017-09-05T00:00:00-06:00,216.08416748046875 kW
2017-09-06T00:00:00-06:00,219.0697479248047 kW
2017-09-07T00:00:00-06:00,217.24734497070312 kW
2017-09-08T00:00:00-06:00,248.3390655517578 kW
2017-09-09T00:00:00-06:00,229.79420471191406 kW
2017-09-10T00:00:00-06:00,247.5552215576172 kW
2017-09-11T00:00:00-06:00,261.4383850097656 kW
2017-09-12T00:00:00-06:00,237.17349243164062 kW
2017-09-13T00:00:00-06:00,262.8509521484375 kW
2017-09-14T00:00:00-06:00,229.0355682373047 kW
2017-09-15T00:00:00-06:00,237.59542846679688 kW
2017-09-16T00:00:00-06:00,216.7361602783203 kW
2017-09-17T00:00:00-06:00,237.39492797851562 kW
2017-09-18T00:00:00-06:00,247.74192810058594 kW
2017-09-19T00:00:00-06:00,237.96475219726562 kW
2017-09-20T00:00:00-06:00,240.17039489746094 kW
2017-09-21T00:00:00-06:00,229.76361083984375 kW
2017-09-22T00:00:00-06:00,234.31666564941406 kW
2017-09-23T00:00:00-06:00,242.276123046875 kW
2017-09-24T00:00:00-06:00,241.98641967773438 kW
2017-09-25T00:00:00-06:00,231.31121826171875 kW
2017-09-26T00:00:00-06:00,256.1773376464844 kW
2017-09-27T00:00:00-06:00,242.19265747070312 kW
2017-09-28T00:00:00-06:00,244.1598663330078 kW
2017-09-29T00:00:00-06:00,244.85888671875 kW
2017-09-30T00:00:00-06:00,246.5653839111328 kW
2017-10-01T00:00:00-06:00,239.4470977783203 kW
2017-10-02T00:00:00-06:00,256.8872985839844 kW
2017-10-03T00:00:00-06:00,279.7395324707031 kW
2017-10-04T00:00:00-06:00,256.938720703125 kW
2017-10-05T00:00:00-06:00,260.5538024902344 kW
2017-10-06T00:00:00-06:00,259.70556640625 kW
2017-10-07T00:00:00-06:00,254.5044403076172 kW
2017-10-08T00:00:00-06:00,246.4756622314453 kW
2017-10-09T00:00:00-06:00,251.4363250732422 kW
2017-10-10T00:00:00-06:00,248.6395721435547 kW
2017-10-11T00:00:00-06:00,237.0938262939453 kW
2017-10-12T00:00:00-06:00,225.40350341796875 kW
2017-10-13T00:00:00-06:00,254.89852905273438 kW
2017-10-14T00:00:00-06:00,207.96656799316406 kW
2017-10-15T00:00:00-06:00,205.08157348632812 kW
2017-10-16T00:00:00-06:00,208.06320190429688 kW
2017-10-17T00:00:00-06:00,236.16957092285156 kW
2017-10-18T00:00:00-06:00,240.30892944335938 kW
2017-10-19T00:00:00-06:00,257.5306701660156 kW
2017-10-20T00:00:00-06:00,249.25071716308594 kW
2017-10-21T00:00:00-06:00,242.79583740234375 kW
2017-10-22T00:00:00-06:00,257.47003173828125 kW
2017-10-23T00:00:00-06:00,273.11505126953125 kW
2017-10-24T00:00:00-06:00,254.37904357910156 kW
2017-10-25T00:00:00-06:00,276.0110168457031 kW
2017-10-26T00:00:00-06:00,247.08877563476562 kW
2017-10-27T00:00:00-06:00,248.76283264160156 kW
2017-10-28T00:00:00-06:00,244.75057983398438 kW
2017-10-29T00:00:00-06:00,236.52320861816406 kW
2017-10-30T00:00:00-06:00,250.18075561523438 kW
2017-10-31T00:00:00-06:00,279.4017333984375 kW
2017-11-01T00:00:00-06:00,262.684326171875 kW
2017-11-02T00:00:00-06:00,247.3837127685547 kW
2017-11-03T00:00:00-06:00,244.2432861328125 kW
2017-11-04T00:00:00-06:00,244.11949157714844 kW
2017-11-05T00:00:00-06:00,244.91856384277344 kW
2017-11-06T00:00:00-07:00,255.4937286376953 kW
2017-11-07T00:00:00-07:00,250.41751098632812 kW
2017-11-08T00:00:00-07:00,253.06504821777344 kW
2017-11-09T00:00:00-07:00,247.76715087890625 kW
2017-11-10T00:00:00-07:00,254.94017028808594 kW
2017-11-11T00:00:00-07:00,257.76397705078125 kW
2017-11-12T00:00:00-07:00,249.5273895263672 kW
2017-11-13T00:00:00-07:00,255.72494506835938 kW
2017-11-14T00:00:00-07:00,244.68844604492188 kW
2017-11-15T00:00:00-07:00,262.90264892578125 kW
2017-11-16T00:00:00-07:00,253.796630859375 kW
2017-11-17T00:00:00-07:00,274.13720703125 kW
2017-11-18T00:00:00-07:00,260.30572509765625 kW
2017-11-19T00:00:00-07:00,255.10171508789062 kW
2017-11-20T00:00:00-07:00,253.31605529785156 kW
2017-11-21T00:00:00-07:00,264.7810974121094 kW
2017-11-22T00:00:00-07:00,251.42030334472656 kW
2017-11-23T00:00:00-07:00,251.84226989746094 kW
2017-11-24T00:00:00-07:00,258.31451416015625 kW
2017-11-25T00:00:00-07:00,249.6373748779297 kW
2017-11-26T00:00:00-07:00,255.3684539794922 kW
2017-11-27T00:00:00-07:00,255.3606414794922 kW
2017-11-28T00:00:00-07:00,273.94305419921875 kW
2017-11-29T00:00:00-07:00,261.1880187988281 kW
2017-11-30T00:00:00-07:00,268.6268310546875 kW
2017-12-01T00:00:00-07:00,284.34686279296875 kW
2017-12-02T00:00:00-07:00,256.436279296875 kW
2017-12-03T00:00:00-07:00,251.17791748046875 kW
2017-12-04T00:00:00-07:00,267.787841796875 kW
2017-12-05T00:00:00-07:00,265.60687255859375 kW
2017-12-06T00:00:00-07:00,257.067138671875 kW
2017-12-07T00:00:00-07:00,267.62353515625 kW
2017-12-08T00:00:00-07:00,265.0028076171875 kW
2017-12-09T00:00:00-07:00,253.29078674316406 kW
2017-12-10T00:00:00-07:00,258.9433288574219 kW
2017-12-11T00:00:00-07:00,258.3267822265625 kW
2017-12-12T00:00:00-07:00,268.6231689453125 kW
2017-12-13T00:00:00-07:00,261.4518127441406 kW
2017-12-14T00:00:00-07:00,256.5561828613281 kW
2017-12-15T00:00:00-07:00,261.3359375 kW
2017-12-16T00:00:00-07:00,257.5614013671875 kW
2017-12-17T00:00:00-07:00,255.87124633789062 kW
2017-12-18T00:00:00-07:00,267.1500549316406 kW
2017-12-19T00:00:00-07:00,268.7981872558594 kW
2017-12-20T00:00:00-07:00,258.20928955078125 kW
2017-12-21T00:00:00-07:00,271.6099853515625 kW
2017-12-22T00:00:00-07:00,266.25689697265625 kW
2017-12-23T00:00:00-07:00,256.9810485839844 kW
2017-12-24T00:00:00-07:00,251.08590698242188 kW
2017-12-25T00:00:00-07:00,258.4250793457031 kW
2017-12-26T00:00:00-07:00,261.7800598144531 kW
2017-12-27T00:00:00-07:00,261.1485900878906 kW
2017-12-28T00:00:00-07:00,265.58905029296875 kW
2017-12-29T00:00:00-07:00,258.5987854003906 kW
2017-12-30T00:00:00-07:00,257.0046691894531 kW
2017-12-31T00:00:00-07:00,258.3490905761719 kW
