Timestamp,['201d14f7-e3f2286a 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Volts A-B']
2017-07-17T00:00:00-06:00,213.39272356033325 V
2017-07-18T00:00:00-06:00,213.36891015370688 V
2017-07-19T00:00:00-06:00,213.46254364649454 V
2017-07-20T00:00:00-06:00,213.42831420898438 V
2017-07-21T00:00:00-06:00,213.39756854375204 V
2017-07-22T00:00:00-06:00,213.52685085932413 V
2017-07-23T00:00:00-06:00,213.638299147288 V
2017-07-24T00:00:00-06:00,213.8206869761149 V
2017-07-25T00:00:00-06:00,213.5148131052653 V
2017-07-26T00:00:00-06:00,213.36661259333292 V
2017-07-27T00:00:00-06:00,213.59434382120767 V
2017-07-28T00:00:00-06:00,213.35863828659058 V
2017-07-29T00:00:00-06:00,213.5196797053019 V
2017-07-30T00:00:00-06:00,213.60357745488486 V
2017-07-31T00:00:00-06:00,213.6093626022339 V
2017-08-01T00:00:00-06:00,213.6393297513326 V
2017-08-02T00:00:00-06:00,213.3628042538961 V
2017-08-03T00:00:00-06:00,213.40588569641113 V
2017-08-04T00:00:00-06:00,213.48585107824306 V
2017-08-05T00:00:00-06:00,213.58525069554648 V
2017-08-06T00:00:00-06:00,213.57810831069946 V
2017-08-07T00:00:00-06:00,213.31815322240195 V
2017-08-08T00:00:00-06:00,213.4332563082377 V
2017-08-09T00:00:00-06:00,213.30851221084595 V
2017-08-10T00:00:00-06:00,213.42229201945852 V
2017-08-11T00:00:00-06:00,213.5873638788859 V
2017-08-12T00:00:00-06:00,213.61638482411703 V
2017-08-13T00:00:00-06:00,213.7212677001953 V
2017-08-14T00:00:00-06:00,213.5475328763326 V
2017-08-15T00:00:00-06:00,213.60719188054404 V
2017-08-16T00:00:00-06:00,213.38145287831625 V
2017-08-17T00:00:00-06:00,213.46059910456339 V
2017-08-18T00:00:00-06:00,213.53814252217612 V
2017-08-19T00:00:00-06:00,213.6701134045919 V
2017-08-20T00:00:00-06:00,213.74275970458984 V
2017-08-21T00:00:00-06:00,213.51857614517212 V
2017-08-22T00:00:00-06:00,213.4146375656128 V
2017-08-23T00:00:00-06:00,213.48124313354492 V
2017-08-24T00:00:00-06:00,213.3658545811971 V
2017-08-25T00:00:00-06:00,213.40377314885458 V
2017-08-26T00:00:00-06:00,213.3528788884481 V
2017-08-27T00:00:00-06:00,213.39134073257446 V
2017-08-28T00:00:00-06:00,213.43199157714844 V
2017-08-29T00:00:00-06:00,213.44354592600178 V
2017-08-30T00:00:00-06:00,213.36837720870972 V
2017-08-31T00:00:00-06:00,213.45581658681235 V
2017-09-01T00:00:00-06:00,213.33268451690674 V
2017-09-02T00:00:00-06:00,213.4002594947815 V
2017-09-03T00:00:00-06:00,213.56936404579565 V
2017-09-04T00:00:00-06:00,213.26815700531006 V
2017-09-05T00:00:00-06:00,213.21730025609335 V
2017-09-06T00:00:00-06:00,213.31589333216348 V
2017-09-07T00:00:00-06:00,213.31926933924356 V
2017-09-08T00:00:00-06:00,213.49656853926808 V
2017-09-09T00:00:00-06:00,213.50795221328735 V
2017-09-10T00:00:00-06:00,213.60184796651205 V
2017-09-11T00:00:00-06:00,213.23104747136435 V
2017-09-12T00:00:00-06:00,213.57735919952393 V
2017-09-13T00:00:00-06:00,213.34982856114706 V
2017-09-14T00:00:00-06:00,213.43970982233682 V
2017-09-15T00:00:00-06:00,213.65026760101318 V
2017-09-16T00:00:00-06:00,213.91910123825073 V
2017-09-17T00:00:00-06:00,213.48186620076498 V
2017-09-18T00:00:00-06:00,213.64193232854208 V
2017-09-19T00:00:00-06:00,213.3673931757609 V
2017-09-20T00:00:00-06:00,213.5047639211019 V
2017-09-21T00:00:00-06:00,213.75371567408243 V
2017-09-22T00:00:00-06:00,213.55044873555502 V
2017-09-23T00:00:00-06:00,213.75462563832602 V
2017-09-24T00:00:00-06:00,213.493248462677 V
2017-09-25T00:00:00-06:00,213.82267475128174 V
2017-09-26T00:00:00-06:00,213.65765571594238 V
2017-09-27T00:00:00-06:00,213.7316927909851 V
2017-09-28T00:00:00-06:00,213.4860119819641 V
2017-09-29T00:00:00-06:00,213.4265505472819 V
2017-09-30T00:00:00-06:00,213.7322678565979 V
2017-10-01T00:00:00-06:00,213.509033203125 V
2017-10-02T00:00:00-06:00,213.66198857625326 V
2017-10-03T00:00:00-06:00,213.75688568751016 V
2017-10-04T00:00:00-06:00,213.59176699320474 V
2017-10-05T00:00:00-06:00,213.731094678243 V
2017-10-06T00:00:00-06:00,213.7085838317871 V
2017-10-07T00:00:00-06:00,213.61269744237265 V
2017-10-08T00:00:00-06:00,213.89967425664267 V
2017-10-09T00:00:00-06:00,213.61899518966675 V
2017-10-10T00:00:00-06:00,213.8128865559896 V
2017-10-11T00:00:00-06:00,213.4657727877299 V
2017-10-12T00:00:00-06:00,213.8173305193583 V
2017-10-13T00:00:00-06:00,213.84635909398398 V
2017-10-14T00:00:00-06:00,213.81293630599976 V
2017-10-15T00:00:00-06:00,213.62339560190836 V
2017-10-16T00:00:00-06:00,213.6784307161967 V
