Timestamp,"['1eb2a10d-58e721b1 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Watts, 3-Ph total']"
2017-07-06T00:00:00-06:00,4.82520055770874 kW
2017-07-07T00:00:00-06:00,5.043665885925293 kW
2017-07-08T00:00:00-06:00,3.4605586528778076 kW
2017-07-09T00:00:00-06:00,3.4470584392547607 kW
2017-07-10T00:00:00-06:00,5.124940872192383 kW
2017-07-11T00:00:00-06:00,5.996543884277344 kW
2017-07-12T00:00:00-06:00,5.723780155181885 kW
2017-07-13T00:00:00-06:00,5.810917854309082 kW
2017-07-14T00:00:00-06:00,5.078042507171631 kW
2017-07-15T00:00:00-06:00,3.5695245265960693 kW
2017-07-16T00:00:00-06:00,3.574418783187866 kW
2017-07-17T00:00:00-06:00,5.0543341636657715 kW
2017-07-18T00:00:00-06:00,6.170492649078369 kW
2017-07-19T00:00:00-06:00,5.55912971496582 kW
2017-07-20T00:00:00-06:00,4.899303913116455 kW
2017-07-21T00:00:00-06:00,5.883512496948242 kW
2017-07-22T00:00:00-06:00,3.2984232902526855 kW
2017-07-23T00:00:00-06:00,3.4258077144622803 kW
2017-07-24T00:00:00-06:00,3.3707661628723145 kW
2017-07-25T00:00:00-06:00,4.888326168060303 kW
2017-07-26T00:00:00-06:00,4.913234233856201 kW
2017-07-27T00:00:00-06:00,5.839567184448242 kW
2017-07-28T00:00:00-06:00,4.671379566192627 kW
2017-07-29T00:00:00-06:00,3.3902230262756348 kW
2017-07-30T00:00:00-06:00,3.4898338317871094 kW
2017-07-31T00:00:00-06:00,4.919548988342285 kW
2017-08-01T00:00:00-06:00,4.956690311431885 kW
2017-08-02T00:00:00-06:00,5.6867570877075195 kW
2017-08-03T00:00:00-06:00,4.704407691955566 kW
2017-08-04T00:00:00-06:00,4.279677867889404 kW
2017-08-05T00:00:00-06:00,3.168217182159424 kW
2017-08-06T00:00:00-06:00,3.1423466205596924 kW
2017-08-07T00:00:00-06:00,4.738465309143066 kW
2017-08-08T00:00:00-06:00,4.48675537109375 kW
2017-08-09T00:00:00-06:00,5.954251766204834 kW
2017-08-10T00:00:00-06:00,4.597514629364014 kW
2017-08-11T00:00:00-06:00,5.138875961303711 kW
2017-08-12T00:00:00-06:00,3.427499532699585 kW
2017-08-13T00:00:00-06:00,3.236435651779175 kW
2017-08-14T00:00:00-06:00,5.426668167114258 kW
2017-08-15T00:00:00-06:00,5.39348030090332 kW
2017-08-16T00:00:00-06:00,4.882704257965088 kW
2017-08-17T00:00:00-06:00,5.284183979034424 kW
2017-08-18T00:00:00-06:00,5.073062896728516 kW
2017-08-19T00:00:00-06:00,3.98366641998291 kW
2017-08-20T00:00:00-06:00,3.3170218467712402 kW
2017-08-21T00:00:00-06:00,5.292089462280273 kW
2017-08-22T00:00:00-06:00,5.506021499633789 kW
2017-08-23T00:00:00-06:00,5.786391735076904 kW
2017-08-24T00:00:00-06:00,5.085564613342285 kW
2017-08-25T00:00:00-06:00,5.451760292053223 kW
2017-08-26T00:00:00-06:00,3.3199970722198486 kW
2017-08-27T00:00:00-06:00,3.3641247749328613 kW
2017-08-28T00:00:00-06:00,6.407281398773193 kW
2017-08-29T00:00:00-06:00,5.2937445640563965 kW
2017-08-30T00:00:00-06:00,5.82841682434082 kW
2017-08-31T00:00:00-06:00,5.105148792266846 kW
2017-09-01T00:00:00-06:00,5.3761749267578125 kW
2017-09-02T00:00:00-06:00,3.4075591564178467 kW
2017-09-03T00:00:00-06:00,3.691027879714966 kW
2017-09-04T00:00:00-06:00,3.403118848800659 kW
2017-09-05T00:00:00-06:00,6.215189456939697 kW
2017-09-06T00:00:00-06:00,4.836162567138672 kW
2017-09-07T00:00:00-06:00,5.029964923858643 kW
2017-09-08T00:00:00-06:00,4.969395160675049 kW
2017-09-09T00:00:00-06:00,3.401010274887085 kW
2017-09-10T00:00:00-06:00,3.290813446044922 kW
2017-09-11T00:00:00-06:00,4.861024379730225 kW
2017-09-12T00:00:00-06:00,4.80708122253418 kW
2017-09-13T00:00:00-06:00,5.541670322418213 kW
2017-09-14T00:00:00-06:00,5.862082481384277 kW
2017-09-15T00:00:00-06:00,4.305238723754883 kW
2017-09-16T00:00:00-06:00,3.335209846496582 kW
2017-09-17T00:00:00-06:00,3.7726988792419434 kW
2017-09-18T00:00:00-06:00,5.4364728927612305 kW
2017-09-19T00:00:00-06:00,4.720638275146484 kW
2017-09-20T00:00:00-06:00,4.957183361053467 kW
2017-09-21T00:00:00-06:00,5.787297248840332 kW
2017-09-22T00:00:00-06:00,5.195723533630371 kW
2017-09-23T00:00:00-06:00,3.2483468055725098 kW
2017-09-24T00:00:00-06:00,3.220874547958374 kW
2017-09-25T00:00:00-06:00,4.619181156158447 kW
2017-09-26T00:00:00-06:00,4.3593621253967285 kW
2017-09-27T00:00:00-06:00,5.41512393951416 kW
2017-09-28T00:00:00-06:00,5.435156345367432 kW
2017-09-29T00:00:00-06:00,4.80026388168335 kW
2017-09-30T00:00:00-06:00,3.481968879699707 kW
2017-10-01T00:00:00-06:00,3.6532256603240967 kW
2017-10-02T00:00:00-06:00,5.6786208152771 kW
2017-10-03T00:00:00-06:00,5.676034927368164 kW
2017-10-04T00:00:00-06:00,6.310286998748779 kW
2017-10-05T00:00:00-06:00,5.7623395919799805 kW
2017-10-06T00:00:00-06:00,4.485800743103027 kW
2017-10-07T00:00:00-06:00,3.267657518386841 kW
2017-10-08T00:00:00-06:00,3.4269421100616455 kW
2017-10-09T00:00:00-06:00,5.479628086090088 kW
2017-10-10T00:00:00-06:00,5.773154258728027 kW
2017-10-11T00:00:00-06:00,5.71751070022583 kW
2017-10-12T00:00:00-06:00,6.488404273986816 kW
2017-10-13T00:00:00-06:00,5.150642395019531 kW
2017-10-14T00:00:00-06:00,3.2424750328063965 kW
2017-10-15T00:00:00-06:00,3.8478052616119385 kW
2017-10-16T00:00:00-06:00,5.8937578201293945 kW
2017-10-17T00:00:00-06:00,5.655093193054199 kW
2017-10-18T00:00:00-06:00,6.987259864807129 kW
2017-10-19T00:00:00-06:00,5.997889995574951 kW
2017-10-20T00:00:00-06:00,4.639001369476318 kW
2017-10-21T00:00:00-06:00,3.2867305278778076 kW
2017-10-22T00:00:00-06:00,3.2450802326202393 kW
2017-10-23T00:00:00-06:00,4.554871082305908 kW
2017-10-24T00:00:00-06:00,5.95388126373291 kW
2017-10-25T00:00:00-06:00,6.902950286865234 kW
2017-10-26T00:00:00-06:00,7.612814903259277 kW
2017-10-27T00:00:00-06:00,4.989999294281006 kW
2017-10-28T00:00:00-06:00,3.3680968284606934 kW
2017-10-29T00:00:00-06:00,3.4329323768615723 kW
2017-10-30T00:00:00-06:00,6.400885581970215 kW
2017-10-31T00:00:00-06:00,5.677512168884277 kW
2017-11-01T00:00:00-06:00,7.065421104431152 kW
2017-11-02T00:00:00-06:00,6.620112419128418 kW
2017-11-03T00:00:00-06:00,5.016958713531494 kW
2017-11-04T00:00:00-06:00,3.7721033096313477 kW
2017-11-05T00:00:00-06:00,3.3269166946411133 kW
2017-11-06T00:00:00-07:00,5.887397289276123 kW
2017-11-07T00:00:00-07:00,6.185909271240234 kW
2017-11-08T00:00:00-07:00,6.920540809631348 kW
2017-11-09T00:00:00-07:00,5.931137561798096 kW
2017-11-10T00:00:00-07:00,5.813571929931641 kW
2017-11-11T00:00:00-07:00,4.282524108886719 kW
2017-11-12T00:00:00-07:00,3.487748622894287 kW
2017-11-13T00:00:00-07:00,5.720586776733398 kW
2017-11-14T00:00:00-07:00,6.485010623931885 kW
2017-11-15T00:00:00-07:00,6.007210731506348 kW
2017-11-16T00:00:00-07:00,7.002040863037109 kW
2017-11-17T00:00:00-07:00,6.116480350494385 kW
2017-11-18T00:00:00-07:00,3.5398142337799072 kW
2017-11-19T00:00:00-07:00,3.503953218460083 kW
2017-11-20T00:00:00-07:00,6.275684356689453 kW
2017-11-21T00:00:00-07:00,6.231810569763184 kW
2017-11-22T00:00:00-07:00,5.746860504150391 kW
2017-11-23T00:00:00-07:00,3.2451372146606445 kW
2017-11-24T00:00:00-07:00,3.576615333557129 kW
2017-11-25T00:00:00-07:00,3.247359275817871 kW
2017-11-26T00:00:00-07:00,3.3536183834075928 kW
2017-11-27T00:00:00-07:00,5.6598310470581055 kW
2017-11-28T00:00:00-07:00,7.399017810821533 kW
2017-11-29T00:00:00-07:00,7.596479415893555 kW
2017-11-30T00:00:00-07:00,6.803287029266357 kW
2017-12-01T00:00:00-07:00,5.861112117767334 kW
2017-12-02T00:00:00-07:00,4.3341965675354 kW
2017-12-03T00:00:00-07:00,3.178624153137207 kW
2017-12-04T00:00:00-07:00,6.270332336425781 kW
2017-12-05T00:00:00-07:00,6.7380757331848145 kW
2017-12-06T00:00:00-07:00,7.094430923461914 kW
2017-12-07T00:00:00-07:00,6.500080585479736 kW
2017-12-08T00:00:00-07:00,5.993290901184082 kW
2017-12-09T00:00:00-07:00,3.1623823642730713 kW
2017-12-10T00:00:00-07:00,3.0450801849365234 kW
2017-12-11T00:00:00-07:00,7.039352893829346 kW
2017-12-12T00:00:00-07:00,6.593621253967285 kW
2017-12-13T00:00:00-07:00,7.106058597564697 kW
2017-12-14T00:00:00-07:00,6.638383865356445 kW
