Timestamp,['1cbae955-d84e370e 0038-ART BLDG Power Meter 300086 Volts CA']
2017-07-19T00:00:00-06:00,207.1953148841858 V
2017-07-20T00:00:00-06:00,207.1230060259501 V
2017-07-21T00:00:00-06:00,207.2528165181478 V
2017-07-22T00:00:00-06:00,207.21466048558554 V
2017-07-23T00:00:00-06:00,207.3186855316162 V
2017-07-24T00:00:00-06:00,207.20385297139487 V
2017-07-25T00:00:00-06:00,207.2711984316508 V
2017-07-26T00:00:00-06:00,207.06519826253256 V
2017-07-27T00:00:00-06:00,207.25802739461264 V
2017-07-28T00:00:00-06:00,207.26235930124918 V
2017-07-29T00:00:00-06:00,207.18146657943726 V
2017-07-30T00:00:00-06:00,207.22649510701498 V
2017-07-31T00:00:00-06:00,207.20692793528238 V
2017-08-01T00:00:00-06:00,207.24017588297525 V
2017-08-02T00:00:00-06:00,207.18871212005615 V
2017-08-03T00:00:00-06:00,207.47747627894083 V
2017-08-04T00:00:00-06:00,207.20865823934366 V
2017-08-05T00:00:00-06:00,207.3588399887085 V
2017-08-06T00:00:00-06:00,207.51199531555176 V
2017-08-07T00:00:00-06:00,207.22546895345053 V
2017-08-08T00:00:00-06:00,207.1404356956482 V
2017-08-09T00:00:00-06:00,207.24254194895425 V
2017-08-10T00:00:00-06:00,207.3437879846451 V
2017-08-11T00:00:00-06:00,207.41606632868448 V
2017-08-12T00:00:00-06:00,207.43087736765543 V
2017-08-13T00:00:00-06:00,207.33052762349448 V
2017-08-14T00:00:00-06:00,207.2914031346639 V
2017-08-15T00:00:00-06:00,207.18174378077188 V
2017-08-16T00:00:00-06:00,207.0858325958252 V
2017-08-17T00:00:00-06:00,207.4155305226644 V
2017-08-18T00:00:00-06:00,207.3740553855896 V
2017-08-19T00:00:00-06:00,207.30404822031656 V
2017-08-20T00:00:00-06:00,207.38117742538452 V
2017-08-21T00:00:00-06:00,207.28864558537802 V
2017-08-22T00:00:00-06:00,207.39351749420166 V
2017-08-23T00:00:00-06:00,207.3288690249125 V
2017-08-24T00:00:00-06:00,207.32157023747763 V
2017-08-25T00:00:00-06:00,207.1064682006836 V
2017-08-26T00:00:00-06:00,207.29058122634888 V
2017-08-27T00:00:00-06:00,207.26800855000815 V
2017-08-28T00:00:00-06:00,207.31888547150984 V
2017-08-29T00:00:00-06:00,207.27823466639364 V
2017-08-30T00:00:00-06:00,207.13176361719766 V
2017-08-31T00:00:00-06:00,207.21918694178262 V
2017-09-01T00:00:00-06:00,207.13239733378092 V
2017-09-02T00:00:00-06:00,207.1601103146871 V
2017-09-03T00:00:00-06:00,207.28140560785928 V
2017-09-04T00:00:00-06:00,206.83674383163452 V
2017-09-05T00:00:00-06:00,207.19106451670328 V
2017-09-06T00:00:00-06:00,207.0878965059916 V
2017-09-07T00:00:00-06:00,206.96149826049805 V
2017-09-08T00:00:00-06:00,207.28147984554894 V
2017-09-09T00:00:00-06:00,207.28814252217612 V
2017-09-10T00:00:00-06:00,207.2107162475586 V
2017-09-11T00:00:00-06:00,207.0270732243856 V
2017-09-12T00:00:00-06:00,207.10057671864828 V
2017-09-13T00:00:00-06:00,207.1326936086019 V
2017-09-14T00:00:00-06:00,207.26801220575967 V
2017-09-15T00:00:00-06:00,207.30197604497275 V
2017-09-16T00:00:00-06:00,207.48874855041504 V
2017-09-17T00:00:00-06:00,207.24093198776245 V
2017-09-18T00:00:00-06:00,207.10210282175166 V
2017-09-19T00:00:00-06:00,207.14181280136108 V
2017-09-20T00:00:00-06:00,207.188990910848 V
2017-09-21T00:00:00-06:00,207.31314770380655 V
2017-09-22T00:00:00-06:00,207.59155353746917 V
2017-09-23T00:00:00-06:00,207.01348527272543 V
2017-09-24T00:00:00-06:00,207.2721970876058 V
2017-09-25T00:00:00-06:00,207.21183681488037 V
2017-09-26T00:00:00-06:00,207.24178838729858 V
2017-09-27T00:00:00-06:00,207.46943219502768 V
2017-09-28T00:00:00-06:00,207.3318255742391 V
2017-09-29T00:00:00-06:00,207.2959065437317 V
2017-09-30T00:00:00-06:00,207.0106881459554 V
2017-10-01T00:00:00-06:00,206.95138009389242 V
2017-10-02T00:00:00-06:00,207.26617034276327 V
2017-10-03T00:00:00-06:00,206.9353725115458 V
2017-10-04T00:00:00-06:00,207.3640398979187 V
2017-10-05T00:00:00-06:00,207.20470762252808 V
2017-10-06T00:00:00-06:00,207.18566703796387 V
2017-10-07T00:00:00-06:00,207.61780293782553 V
2017-10-08T00:00:00-06:00,207.55335219701132 V
2017-10-09T00:00:00-06:00,207.47096014022827 V
2017-10-10T00:00:00-06:00,207.22466850280762 V
2017-10-11T00:00:00-06:00,207.26115640004477 V
2017-10-12T00:00:00-06:00,207.45540889104208 V
2017-10-13T00:00:00-06:00,207.3338082631429 V
2017-10-14T00:00:00-06:00,207.34495766957602 V
2017-10-15T00:00:00-06:00,207.3202215830485 V
2017-10-16T00:00:00-06:00,207.30587736765543 V
2017-10-17T00:00:00-06:00,207.175324122111 V
2017-10-18T00:00:00-06:00,207.47811635335287 V
2017-10-19T00:00:00-06:00,207.68864965438843 V
2017-10-20T00:00:00-06:00,207.35999981562296 V
2017-10-21T00:00:00-06:00,207.4841626485189 V
2017-10-22T00:00:00-06:00,207.25881369908652 V
2017-10-23T00:00:00-06:00,207.49592224756876 V
2017-10-24T00:00:00-06:00,207.1263747215271 V
