Timestamp,['1eb2a0fd-6a9df1f5 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Current B']
2017-06-09T00:00:00-06:00,9.550684760014216 A
2017-06-10T00:00:00-06:00,7.667640670977141 A
2017-06-11T00:00:00-06:00,7.5207250366608305 A
2017-06-12T00:00:00-06:00,10.027533223231634 A
2017-06-13T00:00:00-06:00,10.074753021200499 A
2017-06-14T00:00:00-06:00,10.803935095667839 A
2017-06-15T00:00:00-06:00,11.043132091561953 A
2017-06-16T00:00:00-06:00,9.433765505750975 A
2017-06-17T00:00:00-06:00,8.457546383142471 A
2017-06-18T00:00:00-06:00,8.594894597927729 A
2017-06-19T00:00:00-06:00,11.100752780834833 A
2017-06-20T00:00:00-06:00,10.382623861233393 A
2017-06-21T00:00:00-06:00,8.665139719843864 A
2017-06-22T00:00:00-06:00,10.398258899648985 A
2017-06-23T00:00:00-06:00,9.125432717172723 A
2017-06-24T00:00:00-06:00,7.241686135530472 A
2017-06-25T00:00:00-06:00,7.181730662782987 A
2017-06-26T00:00:00-06:00,9.694522177179655 A
2017-06-27T00:00:00-06:00,9.602036237716675 A
2017-06-28T00:00:00-06:00,10.13913439710935 A
2017-06-29T00:00:00-06:00,10.678618521439402 A
2017-06-30T00:00:00-06:00,10.569306453069052 A
2017-07-01T00:00:00-06:00,8.98999348282814 A
2017-07-02T00:00:00-06:00,9.101191451152166 A
2017-07-03T00:00:00-06:00,10.438347324728966 A
2017-07-04T00:00:00-06:00,8.2503132969141 A
2017-07-05T00:00:00-06:00,10.46651123960813 A
2017-07-06T00:00:00-06:00,9.973114962379137 A
2017-07-07T00:00:00-06:00,10.7184050877889 A
2017-07-08T00:00:00-06:00,8.481373727321625 A
2017-07-09T00:00:00-06:00,8.456433782974878 A
2017-07-10T00:00:00-06:00,10.645177960395813 A
2017-07-11T00:00:00-06:00,11.531203334530195 A
2017-07-12T00:00:00-06:00,11.465313449501991 A
2017-07-13T00:00:00-06:00,11.235762352744738 A
2017-07-14T00:00:00-06:00,11.748829672733942 A
2017-07-15T00:00:00-06:00,9.338399161895117 A
2017-07-16T00:00:00-06:00,9.391805996497473 A
2017-07-17T00:00:00-06:00,10.79417140285174 A
2017-07-18T00:00:00-06:00,11.462800234556198 A
2017-07-19T00:00:00-06:00,10.799948563178381 A
2017-07-20T00:00:00-06:00,11.188839137554169 A
2017-07-21T00:00:00-06:00,9.912304138143858 A
2017-07-22T00:00:00-06:00,7.528287162383397 A
2017-07-23T00:00:00-06:00,7.537516807516416 A
2017-07-24T00:00:00-06:00,7.761643474300702 A
2017-07-25T00:00:00-06:00,11.131639669338862 A
2017-07-26T00:00:00-06:00,12.514830827713013 A
2017-07-27T00:00:00-06:00,11.970167140165964 A
2017-07-28T00:00:00-06:00,10.452203045288721 A
2017-07-29T00:00:00-06:00,8.331988657514254 A
2017-07-30T00:00:00-06:00,8.36192567149798 A
2017-07-31T00:00:00-06:00,10.482932632168135 A
2017-08-01T00:00:00-06:00,11.180117617050806 A
2017-08-02T00:00:00-06:00,10.801734238862991 A
2017-08-03T00:00:00-06:00,9.46216636399428 A
2017-08-04T00:00:00-06:00,8.71979766363626 A
2017-08-05T00:00:00-06:00,7.3029190599918365 A
2017-08-06T00:00:00-06:00,7.319196725885074 A
2017-08-07T00:00:00-06:00,9.52329703172048 A
2017-08-08T00:00:00-06:00,9.603126659989357 A
2017-08-09T00:00:00-06:00,10.700185795625051 A
2017-08-10T00:00:00-06:00,9.76207958383763 A
2017-08-11T00:00:00-06:00,9.03931012749672 A
2017-08-12T00:00:00-06:00,7.5448164443175 A
2017-08-13T00:00:00-06:00,7.385303823571456 A
2017-08-14T00:00:00-06:00,10.115626767277718 A
2017-08-15T00:00:00-06:00,10.15948411822319 A
2017-08-16T00:00:00-06:00,10.941310604413351 A
2017-08-17T00:00:00-06:00,10.872920085986456 A
2017-08-18T00:00:00-06:00,9.741855760415396 A
2017-08-19T00:00:00-06:00,7.577975143988927 A
2017-08-20T00:00:00-06:00,7.355266486605008 A
2017-08-21T00:00:00-06:00,10.006251499056816 A
2017-08-22T00:00:00-06:00,9.91631373266379 A
2017-08-23T00:00:00-06:00,11.185668701926867 A
2017-08-24T00:00:00-06:00,11.498616953690847 A
2017-08-25T00:00:00-06:00,10.74122922619184 A
2017-08-26T00:00:00-06:00,8.680411706368128 A
2017-08-27T00:00:00-06:00,8.67308090130488 A
2017-08-28T00:00:00-06:00,11.306569919791272 A
2017-08-29T00:00:00-06:00,11.093382035532306 A
2017-08-30T00:00:00-06:00,11.976420978705088 A
2017-08-31T00:00:00-06:00,10.934247851371765 A
2017-09-01T00:00:00-06:00,9.42589404185613 A
2017-09-02T00:00:00-06:00,8.68731748064359 A
2017-09-03T00:00:00-06:00,8.357739574030825 A
2017-09-04T00:00:00-06:00,8.392663771907488 A
2017-09-05T00:00:00-06:00,11.147045478224754 A
2017-09-06T00:00:00-06:00,11.417596250772476 A
2017-09-07T00:00:00-06:00,11.015649169683456 A
2017-09-08T00:00:00-06:00,9.779065271218618 A
2017-09-09T00:00:00-06:00,7.68114361166954 A
2017-09-10T00:00:00-06:00,7.679089526335399 A
2017-09-11T00:00:00-06:00,10.083664005001387 A
2017-09-12T00:00:00-06:00,10.642380853494009 A
2017-09-13T00:00:00-06:00,10.297522569696108 A
2017-09-14T00:00:00-06:00,10.603109573324522 A
2017-09-15T00:00:00-06:00,9.18841997285684 A
2017-09-16T00:00:00-06:00,6.893345351020495 A
2017-09-17T00:00:00-06:00,6.896561875939369 A
2017-09-18T00:00:00-06:00,8.603569358587265 A
2017-09-19T00:00:00-06:00,10.183172563711802 A
2017-09-20T00:00:00-06:00,10.94055044154326 A
2017-09-21T00:00:00-06:00,11.730550621946653 A
2017-09-22T00:00:00-06:00,9.86435971657435 A
2017-09-23T00:00:00-06:00,7.8917852739493055 A
2017-09-24T00:00:00-06:00,7.735884105165799 A
2017-09-25T00:00:00-06:00,10.539303690195084 A
2017-09-26T00:00:00-06:00,10.174523512522379 A
2017-09-27T00:00:00-06:00,11.908198316891989 A
2017-09-28T00:00:00-06:00,11.405032893021902 A
2017-09-29T00:00:00-06:00,10.4524484872818 A
2017-09-30T00:00:00-06:00,9.383043030897776 A
2017-10-01T00:00:00-06:00,9.437125891447067 A
2017-10-02T00:00:00-06:00,11.394429554541906 A
2017-10-03T00:00:00-06:00,10.842605332533518 A
2017-10-04T00:00:00-06:00,10.853716189662615 A
2017-10-05T00:00:00-06:00,11.676203429698944 A
2017-10-06T00:00:00-06:00,9.858524829462954 A
2017-10-07T00:00:00-06:00,7.964934602379799 A
2017-10-08T00:00:00-06:00,7.989543125033379 A
2017-10-09T00:00:00-06:00,9.61102144420147 A
2017-10-10T00:00:00-06:00,10.953563715020815 A
2017-10-11T00:00:00-06:00,10.6569794267416 A
2017-10-12T00:00:00-06:00,11.182161922256151 A
2017-10-13T00:00:00-06:00,8.649923488497734 A
2017-10-14T00:00:00-06:00,7.691957175731659 A
2017-10-15T00:00:00-06:00,7.681969150900841 A
2017-10-16T00:00:00-06:00,9.624037012457848 A
2017-10-17T00:00:00-06:00,10.074943761030832 A
2017-10-18T00:00:00-06:00,10.831599310040474 A
2017-10-19T00:00:00-06:00,10.296133354306221 A
2017-10-20T00:00:00-06:00,8.74158057073752 A
2017-10-21T00:00:00-06:00,7.365577057003975 A
2017-10-22T00:00:00-06:00,7.175103719035785 A
2017-10-23T00:00:00-06:00,8.46382337808609 A
2017-10-24T00:00:00-06:00,11.248625338077545 A
2017-10-25T00:00:00-06:00,11.724711954593658 A
2017-10-26T00:00:00-06:00,12.052248214681944 A
2017-10-27T00:00:00-06:00,10.142022242148718 A
2017-10-28T00:00:00-06:00,8.23133230706056 A
2017-10-29T00:00:00-06:00,8.418114249904951 A
2017-10-30T00:00:00-06:00,11.594763616720835 A
2017-10-31T00:00:00-06:00,11.255283504724503 A
2017-11-01T00:00:00-06:00,13.481370975573858 A
2017-11-02T00:00:00-06:00,12.033242230614027 A
2017-11-03T00:00:00-06:00,10.147986307740211 A
2017-11-04T00:00:00-06:00,7.395610804359118 A
2017-11-05T00:00:00-06:00,7.445164370536804 A
2017-11-06T00:00:00-07:00,10.380990996956825 A
2017-11-07T00:00:00-07:00,11.469787240028381 A
2017-11-08T00:00:00-07:00,12.910721148053804 A
2017-11-09T00:00:00-07:00,12.230087826649347 A
2017-11-10T00:00:00-07:00,10.6702552040418 A
2017-11-11T00:00:00-07:00,10.006858080625534 A
2017-11-12T00:00:00-07:00,9.249237726132074 A
2017-11-13T00:00:00-07:00,11.208244889974594 A
2017-11-14T00:00:00-07:00,11.537646864851316 A
2017-11-15T00:00:00-07:00,12.587766771515211 A
2017-11-16T00:00:00-07:00,11.87597536544005 A
2017-11-17T00:00:00-07:00,10.525261625647545 A
2017-11-18T00:00:00-07:00,8.047909239927927 A
2017-11-19T00:00:00-07:00,8.068303108215332 A
2017-11-20T00:00:00-07:00,10.28313416739305 A
2017-11-21T00:00:00-07:00,9.995885476469994 A
2017-11-22T00:00:00-07:00,9.153650283813477 A
2017-11-23T00:00:00-07:00,6.439817150433858 A
2017-11-24T00:00:00-07:00,6.364290555318196 A
2017-11-25T00:00:00-07:00,6.386492515603702 A
2017-11-26T00:00:00-07:00,6.388040915131569 A
2017-11-27T00:00:00-07:00,7.634865562121074 A
2017-11-28T00:00:00-07:00,10.245472783843676 A
2017-11-29T00:00:00-07:00,11.315472359458605 A
2017-11-30T00:00:00-07:00,11.83563686410586 A
2017-12-01T00:00:00-07:00,8.504528964559237 A
2017-12-02T00:00:00-07:00,7.009857848286629 A
2017-12-03T00:00:00-07:00,6.804116790493329 A
2017-12-04T00:00:00-07:00,9.674087966481844 A
2017-12-05T00:00:00-07:00,10.409472222129503 A
2017-12-06T00:00:00-07:00,10.591760610540708 A
2017-12-07T00:00:00-07:00,8.709445923566818 A
2017-12-08T00:00:00-07:00,8.690570563077927 A
2017-12-09T00:00:00-07:00,6.575063119331996 A
2017-12-10T00:00:00-07:00,6.3461288412412005 A
2017-12-11T00:00:00-07:00,8.378384217619896 A
2017-12-12T00:00:00-07:00,10.29020290573438 A
2017-12-13T00:00:00-07:00,9.817457005381584 A
2017-12-14T00:00:00-07:00,9.114141235748926 A
2017-12-15T00:00:00-07:00,7.33782622218132 A
2017-12-16T00:00:00-07:00,6.48473480840524 A
2017-12-17T00:00:00-07:00,6.1833885957797365 A
2017-12-18T00:00:00-07:00,8.78804071487919 A
2017-12-19T00:00:00-07:00,10.352002993226051 A
2017-12-20T00:00:00-07:00,9.515200952688852 A
2017-12-21T00:00:00-07:00,9.268183221419653 A
2017-12-22T00:00:00-07:00,7.605525026718776 A
2017-12-23T00:00:00-07:00,5.789428686102231 A
2017-12-24T00:00:00-07:00,6.301278923948606 A
2017-12-25T00:00:00-07:00,5.772515734036763 A
2017-12-26T00:00:00-07:00,5.773974984884262 A
2017-12-27T00:00:00-07:00,6.782576993107796 A
2017-12-28T00:00:00-07:00,6.820544441541036 A
2017-12-29T00:00:00-07:00,5.929729834198952 A
2017-12-30T00:00:00-07:00,5.933508172631264 A
2017-12-31T00:00:00-07:00,6.384533519546191 A
