Timestamp,['1ed6298e-cd155c0f 0012-SUTTON BLDG POWER METER 208V (316602) Current C']
2017-08-18T00:00:00-06:00,147.2842105263158 A
2017-08-19T00:00:00-06:00,134.94791666666666 A
2017-08-20T00:00:00-06:00,135.05208333333334 A
2017-08-21T00:00:00-06:00,148.01041666666666 A
2017-08-22T00:00:00-06:00,158.83333333333334 A
2017-08-23T00:00:00-06:00,149.11458333333334 A
2017-08-24T00:00:00-06:00,150.82291666666666 A
2017-08-25T00:00:00-06:00,145.11458333333334 A
2017-08-26T00:00:00-06:00,129.42708333333334 A
2017-08-27T00:00:00-06:00,126.92708333333333 A
2017-08-28T00:00:00-06:00,135.4891304347826 A
2017-08-29T00:00:00-06:00,142.6236559139785 A
2017-08-30T00:00:00-06:00,140.16666666666666 A
2017-08-31T00:00:00-06:00,143.8125 A
2017-09-01T00:00:00-06:00,148.94791666666666 A
2017-09-02T00:00:00-06:00,134.77894736842106 A
2017-09-03T00:00:00-06:00,141.79166666666666 A
2017-09-04T00:00:00-06:00,144.58333333333334 A
2017-09-05T00:00:00-06:00,152.95833333333334 A
2017-09-06T00:00:00-06:00,153.94736842105263 A
2017-09-07T00:00:00-06:00,152.57291666666666 A
2017-09-08T00:00:00-06:00,156.55789473684212 A
2017-09-09T00:00:00-06:00,139.625 A
2017-09-10T00:00:00-06:00,137.48958333333334 A
2017-09-11T00:00:00-06:00,144.73958333333334 A
2017-09-12T00:00:00-06:00,144.98958333333334 A
2017-09-13T00:00:00-06:00,147.72916666666666 A
2017-09-14T00:00:00-06:00,149.83333333333334 A
2017-09-15T00:00:00-06:00,150.40625 A
2017-09-16T00:00:00-06:00,136.92708333333334 A
2017-09-17T00:00:00-06:00,134.96875 A
2017-09-18T00:00:00-06:00,147 A
2017-09-19T00:00:00-06:00,149.0625 A
2017-09-20T00:00:00-06:00,153.25 A
2017-09-21T00:00:00-06:00,146.91666666666666 A
2017-09-22T00:00:00-06:00,152.70833333333334 A
2017-09-23T00:00:00-06:00,139.07291666666666 A
2017-09-24T00:00:00-06:00,133.34375 A
2017-09-25T00:00:00-06:00,146.53125 A
2017-09-26T00:00:00-06:00,152.875 A
2017-09-27T00:00:00-06:00,159.33333333333334 A
2017-09-28T00:00:00-06:00,148.88541666666666 A
2017-09-29T00:00:00-06:00,147.36458333333334 A
2017-09-30T00:00:00-06:00,132.20833333333334 A
2017-10-01T00:00:00-06:00,131.69791666666666 A
2017-10-02T00:00:00-06:00,142.31578947368422 A
2017-10-03T00:00:00-06:00,149.47916666666666 A
2017-10-04T00:00:00-06:00,152.53125 A
2017-10-05T00:00:00-06:00,148.36458333333334 A
2017-10-06T00:00:00-06:00,151.46875 A
2017-10-07T00:00:00-06:00,137.3125 A
2017-10-08T00:00:00-06:00,134.79166666666666 A
2017-10-09T00:00:00-06:00,138.51041666666666 A
2017-10-10T00:00:00-06:00,140.39583333333334 A
2017-10-11T00:00:00-06:00,148.10416666666666 A
2017-10-12T00:00:00-06:00,153.16666666666666 A
2017-10-13T00:00:00-06:00,142.28125 A
2017-10-14T00:00:00-06:00,139.44791666666666 A
2017-10-15T00:00:00-06:00,140.44791666666666 A
2017-10-16T00:00:00-06:00,147.375 A
2017-10-17T00:00:00-06:00,149.0625 A
2017-10-18T00:00:00-06:00,151.07291666666666 A
2017-10-19T00:00:00-06:00,146.33333333333334 A
2017-10-20T00:00:00-06:00,150.5625 A
2017-10-21T00:00:00-06:00,138.63541666666666 A
2017-10-22T00:00:00-06:00,137.26041666666666 A
2017-10-23T00:00:00-06:00,142.77083333333334 A
2017-10-24T00:00:00-06:00,139.76041666666666 A
2017-10-25T00:00:00-06:00,141.73958333333334 A
2017-10-26T00:00:00-06:00,148.23958333333334 A
2017-10-27T00:00:00-06:00,148.45833333333334 A
2017-10-28T00:00:00-06:00,129.97916666666666 A
2017-10-29T00:00:00-06:00,129.90625 A
2017-10-30T00:00:00-06:00,141.67708333333334 A
2017-10-31T00:00:00-06:00,136.41666666666666 A
2017-11-01T00:00:00-06:00,151.65625 A
2017-11-02T00:00:00-06:00,148.1875 A
2017-11-03T00:00:00-06:00,138.32291666666666 A
2017-11-04T00:00:00-06:00,128.23958333333334 A
2017-11-05T00:00:00-06:00,126.86 A
2017-11-06T00:00:00-07:00,143.11458333333334 A
2017-11-07T00:00:00-07:00,143.38541666666666 A
2017-11-08T00:00:00-07:00,142.70526315789473 A
2017-11-09T00:00:00-07:00,146.01041666666666 A
2017-11-10T00:00:00-07:00,141.85416666666666 A
2017-11-11T00:00:00-07:00,129.73958333333334 A
2017-11-12T00:00:00-07:00,132.92708333333334 A
2017-11-13T00:00:00-07:00,143.58333333333334 A
2017-11-14T00:00:00-07:00,146.02083333333334 A
2017-11-15T00:00:00-07:00,140.73958333333334 A
2017-11-16T00:00:00-07:00,136.28125 A
2017-11-17T00:00:00-07:00,141.70833333333334 A
2017-11-18T00:00:00-07:00,131.89583333333334 A
2017-11-19T00:00:00-07:00,131.70526315789473 A
2017-11-20T00:00:00-07:00,138.89583333333334 A
2017-11-21T00:00:00-07:00,135.25 A
2017-11-22T00:00:00-07:00,135.40625 A
2017-11-23T00:00:00-07:00,130.14583333333334 A
2017-11-24T00:00:00-07:00,129.46875 A
2017-11-25T00:00:00-07:00,129.5 A
2017-11-26T00:00:00-07:00,129.29166666666666 A
2017-11-27T00:00:00-07:00,143.13541666666666 A
2017-11-28T00:00:00-07:00,152.625 A
2017-11-29T00:00:00-07:00,149.10416666666666 A
2017-11-30T00:00:00-07:00,140.17708333333334 A
2017-12-01T00:00:00-07:00,138.13541666666666 A
2017-12-02T00:00:00-07:00,127.45833333333333 A
2017-12-03T00:00:00-07:00,127.35416666666667 A
2017-12-04T00:00:00-07:00,144.73958333333334 A
2017-12-05T00:00:00-07:00,140.92708333333334 A
2017-12-06T00:00:00-07:00,143.30208333333334 A
2017-12-07T00:00:00-07:00,140.375 A
2017-12-08T00:00:00-07:00,147.59375 A
2017-12-09T00:00:00-07:00,136.625 A
2017-12-10T00:00:00-07:00,131.94791666666666 A
2017-12-11T00:00:00-07:00,142.11458333333334 A
2017-12-12T00:00:00-07:00,142.1157894736842 A
2017-12-13T00:00:00-07:00,135.03125 A
2017-12-14T00:00:00-07:00,133.44210526315788 A
2017-12-15T00:00:00-07:00,132.36458333333334 A
2017-12-16T00:00:00-07:00,127.38541666666667 A
2017-12-17T00:00:00-07:00,127.60416666666667 A
2017-12-18T00:00:00-07:00,133.25806451612902 A
2017-12-19T00:00:00-07:00,134.60416666666666 A
2017-12-20T00:00:00-07:00,134.23958333333334 A
2017-12-21T00:00:00-07:00,135.32291666666666 A
2017-12-22T00:00:00-07:00,129.40625 A
2017-12-23T00:00:00-07:00,122.26041666666667 A
2017-12-24T00:00:00-07:00,123.78125 A
2017-12-25T00:00:00-07:00,121.5625 A
2017-12-26T00:00:00-07:00,124.83333333333333 A
2017-12-27T00:00:00-07:00,125.21875 A
2017-12-28T00:00:00-07:00,126.80208333333333 A
2017-12-29T00:00:00-07:00,127.19791666666667 A
2017-12-30T00:00:00-07:00,124.76041666666667 A
2017-12-31T00:00:00-07:00,126.40625 A
