Timestamp,"['1ef4687c-125a21f1 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Watts, 3-Ph total']"
2017-10-22T00:00:00-06:00,84.9775161743164 kW
2017-10-23T00:00:00-06:00,116.49011993408203 kW
2017-10-24T00:00:00-06:00,118.09463500976562 kW
2017-10-25T00:00:00-06:00,124.1963882446289 kW
2017-10-26T00:00:00-06:00,115.91609954833984 kW
2017-10-27T00:00:00-06:00,106.03575897216797 kW
2017-10-28T00:00:00-06:00,85.24720764160156 kW
2017-10-29T00:00:00-06:00,89.88005828857422 kW
2017-10-30T00:00:00-06:00,122.36548614501953 kW
2017-10-31T00:00:00-06:00,113.4916763305664 kW
2017-11-01T00:00:00-06:00,125.07206726074219 kW
2017-11-02T00:00:00-06:00,133.20419311523438 kW
2017-11-03T00:00:00-06:00,131.6788330078125 kW
2017-11-04T00:00:00-06:00,110.04405975341797 kW
2017-11-05T00:00:00-06:00,101.2060546875 kW
2017-11-06T00:00:00-07:00,131.916259765625 kW
2017-11-07T00:00:00-07:00,126.42668914794922 kW
2017-11-08T00:00:00-07:00,128.40704345703125 kW
2017-11-09T00:00:00-07:00,119.71782684326172 kW
2017-11-10T00:00:00-07:00,112.7618637084961 kW
2017-11-11T00:00:00-07:00,104.29959869384766 kW
2017-11-12T00:00:00-07:00,103.87269592285156 kW
2017-11-13T00:00:00-07:00,127.5792465209961 kW
2017-11-14T00:00:00-07:00,124.1143569946289 kW
2017-11-15T00:00:00-07:00,125.60917663574219 kW
2017-11-16T00:00:00-07:00,142.77894592285156 kW
2017-11-17T00:00:00-07:00,139.46385192871094 kW
2017-11-18T00:00:00-07:00,119.12787628173828 kW
2017-11-19T00:00:00-07:00,81.99095153808594 kW
2017-11-20T00:00:00-07:00,137.2339324951172 kW
2017-11-21T00:00:00-07:00,130.26416015625 kW
2017-11-22T00:00:00-07:00,118.7865219116211 kW
2017-11-23T00:00:00-07:00,108.8720474243164 kW
2017-11-24T00:00:00-07:00,109.69534301757812 kW
2017-11-25T00:00:00-07:00,97.28916931152344 kW
2017-11-26T00:00:00-07:00,68.80410766601562 kW
2017-11-27T00:00:00-07:00,141.9559783935547 kW
2017-11-28T00:00:00-07:00,134.35296630859375 kW
2017-11-29T00:00:00-07:00,138.14353942871094 kW
2017-11-30T00:00:00-07:00,126.13188934326172 kW
2017-12-01T00:00:00-07:00,139.1993865966797 kW
2017-12-02T00:00:00-07:00,122.19544982910156 kW
2017-12-03T00:00:00-07:00,123.3275146484375 kW
2017-12-04T00:00:00-07:00,137.90573120117188 kW
2017-12-05T00:00:00-07:00,138.07022094726562 kW
2017-12-06T00:00:00-07:00,138.07481384277344 kW
2017-12-07T00:00:00-07:00,138.8120574951172 kW
2017-12-08T00:00:00-07:00,135.80091857910156 kW
2017-12-09T00:00:00-07:00,127.98243713378906 kW
2017-12-10T00:00:00-07:00,130.02679443359375 kW
2017-12-11T00:00:00-07:00,133.07730102539062 kW
2017-12-12T00:00:00-07:00,141.40635681152344 kW
2017-12-13T00:00:00-07:00,139.39683532714844 kW
2017-12-14T00:00:00-07:00,132.30616760253906 kW
2017-12-15T00:00:00-07:00,132.8291778564453 kW
2017-12-16T00:00:00-07:00,119.28839874267578 kW
2017-12-17T00:00:00-07:00,118.89163208007812 kW
2017-12-18T00:00:00-07:00,119.53948974609375 kW
2017-12-19T00:00:00-07:00,120.02438354492188 kW
2017-12-20T00:00:00-07:00,132.14901733398438 kW
2017-12-21T00:00:00-07:00,127.60865783691406 kW
2017-12-22T00:00:00-07:00,116.85070037841797 kW
2017-12-23T00:00:00-07:00,116.05038452148438 kW
2017-12-24T00:00:00-07:00,115.33290100097656 kW
2017-12-25T00:00:00-07:00,107.17484283447266 kW
2017-12-26T00:00:00-07:00,112.16512298583984 kW
2017-12-27T00:00:00-07:00,118.08734130859375 kW
2017-12-28T00:00:00-07:00,119.19044494628906 kW
2017-12-29T00:00:00-07:00,117.39637756347656 kW
2017-12-30T00:00:00-07:00,104.62638092041016 kW
2017-12-31T00:00:00-07:00,109.0279312133789 kW
