Timestamp,['1d0db163-1d117b31 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 KW Total']
2017-11-06T00:00:00-07:00,115.32659912109375 kW
2017-11-07T00:00:00-07:00,118.66077423095703 kW
2017-11-08T00:00:00-07:00,109.9013671875 kW
2017-11-09T00:00:00-07:00,115.43732452392578 kW
2017-11-10T00:00:00-07:00,106.54019165039062 kW
2017-11-11T00:00:00-07:00,103.2414321899414 kW
2017-11-12T00:00:00-07:00,104.4144515991211 kW
2017-11-13T00:00:00-07:00,124.45036315917969 kW
2017-11-14T00:00:00-07:00,116.27450561523438 kW
2017-11-15T00:00:00-07:00,126.03994750976562 kW
2017-11-16T00:00:00-07:00,119.35685729980469 kW
2017-11-17T00:00:00-07:00,116.79682922363281 kW
2017-11-18T00:00:00-07:00,117.80071258544922 kW
2017-11-19T00:00:00-07:00,106.1690444946289 kW
2017-11-20T00:00:00-07:00,115.13572692871094 kW
2017-11-21T00:00:00-07:00,122.58954620361328 kW
2017-11-22T00:00:00-07:00,121.5208969116211 kW
2017-11-23T00:00:00-07:00,108.07837677001953 kW
2017-11-24T00:00:00-07:00,120.69976043701172 kW
2017-11-25T00:00:00-07:00,109.73013305664062 kW
2017-11-26T00:00:00-07:00,114.09774017333984 kW
2017-11-27T00:00:00-07:00,132.62210083007812 kW
2017-11-28T00:00:00-07:00,121.19300079345703 kW
2017-11-29T00:00:00-07:00,118.44517517089844 kW
2017-11-30T00:00:00-07:00,120.85669708251953 kW
2017-12-01T00:00:00-07:00,123.5796127319336 kW
2017-12-02T00:00:00-07:00,111.87413787841797 kW
2017-12-03T00:00:00-07:00,125.43307495117188 kW
2017-12-04T00:00:00-07:00,146.82916259765625 kW
2017-12-05T00:00:00-07:00,122.28026580810547 kW
2017-12-06T00:00:00-07:00,121.56633758544922 kW
2017-12-07T00:00:00-07:00,112.9177474975586 kW
2017-12-08T00:00:00-07:00,106.27323913574219 kW
2017-12-09T00:00:00-07:00,103.15315246582031 kW
2017-12-10T00:00:00-07:00,110.48448944091797 kW
2017-12-11T00:00:00-07:00,103.31903076171875 kW
2017-12-12T00:00:00-07:00,86.5006103515625 kW
2017-12-13T00:00:00-07:00,95.91997528076172 kW
2017-12-14T00:00:00-07:00,86.66043853759766 kW
2017-12-15T00:00:00-07:00,92.36257934570312 kW
2017-12-16T00:00:00-07:00,73.66374206542969 kW
2017-12-17T00:00:00-07:00,75.4697494506836 kW
2017-12-18T00:00:00-07:00,86.95634460449219 kW
2017-12-19T00:00:00-07:00,78.24063873291016 kW
2017-12-20T00:00:00-07:00,89.7842788696289 kW
2017-12-21T00:00:00-07:00,88.72050476074219 kW
2017-12-22T00:00:00-07:00,96.37000274658203 kW
2017-12-23T00:00:00-07:00,75.9212417602539 kW
2017-12-24T00:00:00-07:00,76.18785858154297 kW
2017-12-25T00:00:00-07:00,75.31788635253906 kW
2017-12-26T00:00:00-07:00,84.5559310913086 kW
2017-12-27T00:00:00-07:00,81.28152465820312 kW
2017-12-28T00:00:00-07:00,83.50121307373047 kW
2017-12-29T00:00:00-07:00,81.16725158691406 kW
2017-12-30T00:00:00-07:00,85.53465270996094 kW
2017-12-31T00:00:00-07:00,73.68273162841797 kW
