Timestamp,['1cca74bc-d05b4ffd 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts CA']
2017-11-22T00:00:00-07:00,212.92708333333334 V
2017-11-23T00:00:00-07:00,213.53125 V
2017-11-24T00:00:00-07:00,213.30208333333334 V
2017-11-25T00:00:00-07:00,213.22916666666666 V
2017-11-26T00:00:00-07:00,213.40625 V
2017-11-27T00:00:00-07:00,213.07291666666666 V
2017-11-28T00:00:00-07:00,213.1875 V
2017-11-29T00:00:00-07:00,213.30208333333334 V
2017-11-30T00:00:00-07:00,213.34375 V
2017-12-01T00:00:00-07:00,213.03125 V
2017-12-02T00:00:00-07:00,213.125 V
2017-12-03T00:00:00-07:00,213.23958333333334 V
2017-12-04T00:00:00-07:00,213.29166666666666 V
2017-12-05T00:00:00-07:00,213.03125 V
2017-12-06T00:00:00-07:00,212.89583333333334 V
2017-12-07T00:00:00-07:00,212.78125 V
2017-12-08T00:00:00-07:00,212.89583333333334 V
2017-12-09T00:00:00-07:00,213.28125 V
2017-12-10T00:00:00-07:00,213.27083333333334 V
2017-12-11T00:00:00-07:00,213.30208333333334 V
2017-12-12T00:00:00-07:00,212.86458333333334 V
2017-12-13T00:00:00-07:00,213.375 V
2017-12-14T00:00:00-07:00,213.21875 V
2017-12-15T00:00:00-07:00,213.13541666666666 V
2017-12-16T00:00:00-07:00,213.22916666666666 V
2017-12-17T00:00:00-07:00,213.3125 V
2017-12-18T00:00:00-07:00,213.35555555555555 V
2017-12-19T00:00:00-07:00,213.26041666666666 V
2017-12-20T00:00:00-07:00,213.20833333333334 V
2017-12-21T00:00:00-07:00,213.40625 V
2017-12-22T00:00:00-07:00,213.47916666666666 V
2017-12-23T00:00:00-07:00,213.16666666666666 V
2017-12-24T00:00:00-07:00,213.4375 V
2017-12-25T00:00:00-07:00,213.375 V
2017-12-26T00:00:00-07:00,213.41666666666666 V
2017-12-27T00:00:00-07:00,213.375 V
2017-12-28T00:00:00-07:00,213.41666666666666 V
2017-12-29T00:00:00-07:00,213.26041666666666 V
2017-12-30T00:00:00-07:00,213.23958333333334 V
2017-12-31T00:00:00-07:00,213.1875 V
