Timestamp,"['203f26c8-b7736689 0097-DUMKE GYMNASTICS CNTR Power Meter Watts, 3-Ph total']"
2017-09-20T00:00:00-06:00,39.92863464355469 kW
2017-09-21T00:00:00-06:00,44.563053131103516 kW
2017-09-22T00:00:00-06:00,48.000431060791016 kW
2017-09-23T00:00:00-06:00,29.809446334838867 kW
2017-09-24T00:00:00-06:00,32.13047790527344 kW
2017-09-25T00:00:00-06:00,51.350791931152344 kW
2017-09-26T00:00:00-06:00,55.135414123535156 kW
2017-09-27T00:00:00-06:00,46.337589263916016 kW
2017-09-28T00:00:00-06:00,48.81387710571289 kW
2017-09-29T00:00:00-06:00,54.277198791503906 kW
2017-09-30T00:00:00-06:00,35.51530456542969 kW
2017-10-01T00:00:00-06:00,31.446561813354492 kW
2017-10-02T00:00:00-06:00,48.749385833740234 kW
2017-10-03T00:00:00-06:00,48.00505828857422 kW
2017-10-04T00:00:00-06:00,47.095436096191406 kW
2017-10-05T00:00:00-06:00,45.67512893676758 kW
2017-10-06T00:00:00-06:00,53.5161018371582 kW
2017-10-07T00:00:00-06:00,37.860225677490234 kW
2017-10-08T00:00:00-06:00,36.17951583862305 kW
2017-10-09T00:00:00-06:00,35.50757598876953 kW
2017-10-10T00:00:00-06:00,44.212745666503906 kW
2017-10-11T00:00:00-06:00,42.70951843261719 kW
2017-10-12T00:00:00-06:00,36.023433685302734 kW
2017-10-13T00:00:00-06:00,31.416261672973633 kW
2017-10-14T00:00:00-06:00,27.80516815185547 kW
2017-10-15T00:00:00-06:00,27.814348220825195 kW
2017-10-16T00:00:00-06:00,50.22738265991211 kW
2017-10-17T00:00:00-06:00,62.65119934082031 kW
2017-10-18T00:00:00-06:00,40.578025817871094 kW
2017-10-19T00:00:00-06:00,57.651885986328125 kW
2017-10-20T00:00:00-06:00,42.10049057006836 kW
2017-10-21T00:00:00-06:00,28.326396942138672 kW
2017-10-22T00:00:00-06:00,29.979698181152344 kW
2017-10-23T00:00:00-06:00,47.706398010253906 kW
2017-10-24T00:00:00-06:00,48.87017822265625 kW
2017-10-25T00:00:00-06:00,42.6268424987793 kW
2017-10-26T00:00:00-06:00,45.91992950439453 kW
2017-10-27T00:00:00-06:00,48.16942596435547 kW
2017-10-28T00:00:00-06:00,27.26653289794922 kW
2017-10-29T00:00:00-06:00,40.600425720214844 kW
2017-10-30T00:00:00-06:00,45.93451690673828 kW
2017-10-31T00:00:00-06:00,45.81168746948242 kW
2017-11-01T00:00:00-06:00,41.33283233642578 kW
2017-11-02T00:00:00-06:00,51.19448471069336 kW
2017-11-03T00:00:00-06:00,41.73830032348633 kW
