Timestamp,['1ef467c9-78558dc5 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current A']
2017-07-16T00:00:00-06:00,84.67673293749492 A
2017-07-17T00:00:00-06:00,109.27251863479614 A
2017-07-18T00:00:00-06:00,117.55747842788696 A
2017-07-19T00:00:00-06:00,105.35699343681335 A
2017-07-20T00:00:00-06:00,107.7098925113678 A
2017-07-21T00:00:00-06:00,91.36247396469116 A
2017-07-22T00:00:00-06:00,79.61805287996928 A
2017-07-23T00:00:00-06:00,81.10045381387074 A
2017-07-24T00:00:00-06:00,77.25527739524841 A
2017-07-25T00:00:00-06:00,98.50140237808228 A
2017-07-26T00:00:00-06:00,102.1533621152242 A
2017-07-27T00:00:00-06:00,108.36171154181163 A
2017-07-28T00:00:00-06:00,96.51501945654552 A
2017-07-29T00:00:00-06:00,81.36432846387227 A
2017-07-30T00:00:00-06:00,80.1448894739151 A
2017-07-31T00:00:00-06:00,95.88060196240743 A
2017-08-01T00:00:00-06:00,93.61531988779704 A
2017-08-02T00:00:00-06:00,98.112975080808 A
2017-08-03T00:00:00-06:00,91.23299157619476 A
2017-08-04T00:00:00-06:00,95.88576914189936 A
2017-08-05T00:00:00-06:00,82.16926383972168 A
2017-08-06T00:00:00-06:00,84.13449080785115 A
2017-08-07T00:00:00-06:00,102.4790389140447 A
2017-08-08T00:00:00-06:00,103.63513724009196 A
2017-08-09T00:00:00-06:00,98.26520284016927 A
2017-08-10T00:00:00-06:00,94.20327779080006 A
2017-08-11T00:00:00-06:00,101.15497740109761 A
2017-08-12T00:00:00-06:00,79.47497832775116 A
2017-08-13T00:00:00-06:00,81.6268694003423 A
2017-08-14T00:00:00-06:00,102.7566173473994 A
2017-08-15T00:00:00-06:00,103.92284095287323 A
2017-08-16T00:00:00-06:00,109.5356403986613 A
2017-08-17T00:00:00-06:00,106.83352057139079 A
2017-08-18T00:00:00-06:00,104.51043685277303 A
2017-08-19T00:00:00-06:00,84.73954872290294 A
2017-08-20T00:00:00-06:00,81.6637167930603 A
2017-08-21T00:00:00-06:00,117.72613302866618 A
2017-08-22T00:00:00-06:00,118.40684088071187 A
