Timestamp,['1ce63d72-ac8b434c 0028-MARRIOTT CENTER FOR DANCE Power Meter Current B']
2017-07-05T00:00:00-06:00,241.87785482406616 A
2017-07-06T00:00:00-06:00,248.07844066619873 A
2017-07-07T00:00:00-06:00,254.36976114908853 A
2017-07-08T00:00:00-06:00,214.86489232381186 A
2017-07-09T00:00:00-06:00,195.20807059605917 A
2017-07-10T00:00:00-06:00,243.8505458831787 A
2017-07-11T00:00:00-06:00,231.99051682154337 A
2017-07-12T00:00:00-06:00,225.10705359776816 A
2017-07-13T00:00:00-06:00,250.43242247899374 A
2017-07-14T00:00:00-06:00,264.05016469955444 A
2017-07-15T00:00:00-06:00,208.3090035120646 A
2017-07-16T00:00:00-06:00,196.1086451212565 A
2017-07-17T00:00:00-06:00,207.03164307276407 A
2017-07-18T00:00:00-06:00,207.1536339124044 A
2017-07-19T00:00:00-06:00,200.82374238967896 A
2017-07-20T00:00:00-06:00,204.8457226753235 A
2017-07-21T00:00:00-06:00,213.1514746348063 A
2017-07-22T00:00:00-06:00,195.82991202672324 A
2017-07-23T00:00:00-06:00,186.6071538925171 A
2017-07-24T00:00:00-06:00,199.30875619252524 A
2017-07-25T00:00:00-06:00,204.89101799329123 A
2017-07-26T00:00:00-06:00,209.29958836237589 A
2017-07-27T00:00:00-06:00,226.71320597330728 A
2017-07-28T00:00:00-06:00,227.80705706278482 A
2017-07-29T00:00:00-06:00,207.8649616241455 A
2017-07-30T00:00:00-06:00,192.27647399902344 A
2017-07-31T00:00:00-06:00,208.97781960169473 A
2017-08-01T00:00:00-06:00,208.3939929008484 A
2017-08-02T00:00:00-06:00,211.36177984873453 A
2017-08-03T00:00:00-06:00,211.18257665634155 A
2017-08-04T00:00:00-06:00,214.44675377739802 A
2017-08-05T00:00:00-06:00,214.08275445302328 A
2017-08-06T00:00:00-06:00,196.6896766026815 A
2017-08-07T00:00:00-06:00,208.56576553980508 A
2017-08-08T00:00:00-06:00,212.21013371149698 A
2017-08-09T00:00:00-06:00,244.75040515263876 A
2017-08-10T00:00:00-06:00,233.9070021106351 A
2017-08-11T00:00:00-06:00,218.05893596013388 A
2017-08-12T00:00:00-06:00,212.55121755599976 A
2017-08-13T00:00:00-06:00,192.79466231664023 A
2017-08-14T00:00:00-06:00,214.02496751149496 A
2017-08-15T00:00:00-06:00,213.1809285481771 A
2017-08-16T00:00:00-06:00,225.5535624821981 A
2017-08-17T00:00:00-06:00,215.03135935465494 A
2017-08-18T00:00:00-06:00,239.10081084569296 A
2017-08-19T00:00:00-06:00,220.93236907323202 A
2017-08-20T00:00:00-06:00,204.66372044881186 A
2017-08-21T00:00:00-06:00,271.1980417569478 A
2017-08-22T00:00:00-06:00,267.773712793986 A
2017-08-23T00:00:00-06:00,284.5707378387451 A
2017-08-24T00:00:00-06:00,288.37069876988727 A
2017-08-25T00:00:00-06:00,278.32806555430096 A
2017-08-26T00:00:00-06:00,220.65596103668213 A
2017-08-27T00:00:00-06:00,201.06429704030356 A
2017-08-28T00:00:00-06:00,293.43988500016457 A
2017-08-29T00:00:00-06:00,301.6545131809109 A
2017-08-30T00:00:00-06:00,296.54279200236004 A
2017-08-31T00:00:00-06:00,290.8394576708476 A
2017-09-01T00:00:00-06:00,287.7831036249797 A
2017-09-02T00:00:00-06:00,216.25132338205972 A
2017-09-03T00:00:00-06:00,196.41021712621054 A
2017-09-04T00:00:00-06:00,216.59382343292236 A
2017-09-05T00:00:00-06:00,308.69948355356854 A
2017-09-06T00:00:00-06:00,320.04424142837524 A
2017-09-07T00:00:00-06:00,302.93662484486896 A
2017-09-08T00:00:00-06:00,288.9508530989937 A
2017-09-09T00:00:00-06:00,264.47740904490155 A
2017-09-10T00:00:00-06:00,208.43349742889404 A
2017-09-11T00:00:00-06:00,296.7038246790568 A
2017-09-12T00:00:00-06:00,316.0695343017578 A
2017-09-13T00:00:00-06:00,309.11935488382977 A
2017-09-14T00:00:00-06:00,303.9046257336934 A
2017-09-15T00:00:00-06:00,288.34621747334796 A
2017-09-16T00:00:00-06:00,254.15184052785239 A
2017-09-17T00:00:00-06:00,239.15832583109537 A
2017-09-18T00:00:00-06:00,268.2777338027954 A
2017-09-19T00:00:00-06:00,284.93940019607544 A
2017-09-20T00:00:00-06:00,280.8970546722412 A
2017-09-21T00:00:00-06:00,287.4230186144511 A
2017-09-22T00:00:00-06:00,294.85066413879395 A
2017-09-23T00:00:00-06:00,269.06406863530475 A
2017-09-24T00:00:00-06:00,253.68238655726114 A
2017-09-25T00:00:00-06:00,278.05038086573285 A
2017-09-26T00:00:00-06:00,285.09526538848877 A
2017-09-27T00:00:00-06:00,274.29867426554364 A
2017-09-28T00:00:00-06:00,267.4513602256775 A
2017-09-29T00:00:00-06:00,265.3686680793762 A
2017-09-30T00:00:00-06:00,253.41784381866455 A
2017-10-01T00:00:00-06:00,232.848735332489 A
2017-10-02T00:00:00-06:00,279.4535592397054 A
2017-10-03T00:00:00-06:00,284.5082901318868 A
2017-10-04T00:00:00-06:00,280.0508602460225 A
2017-10-05T00:00:00-06:00,280.83700609207153 A
2017-10-06T00:00:00-06:00,283.38395738601685 A
2017-10-07T00:00:00-06:00,224.195365746816 A
2017-10-08T00:00:00-06:00,195.9171814918518 A
