Timestamp,['1d0b1bf5-c3c612a3 0084-BIOLOGY BLDG Power Meter 316500 Current C']
2017-09-25T00:00:00-06:00,172.5143086360051 A
2017-09-26T00:00:00-06:00,171.79248470730252 A
2017-09-27T00:00:00-06:00,178.09753889604048 A
2017-09-28T00:00:00-06:00,176.17226744534676 A
2017-09-29T00:00:00-06:00,177.36287865271936 A
2017-09-30T00:00:00-06:00,173.158541140349 A
2017-10-01T00:00:00-06:00,166.4861910893367 A
2017-10-02T00:00:00-06:00,162.75906599328874 A
2017-10-03T00:00:00-06:00,168.92066233866925 A
2017-10-04T00:00:00-06:00,181.13046439749294 A
2017-10-05T00:00:00-06:00,172.41141157883865 A
2017-10-06T00:00:00-06:00,169.26710598967796 A
2017-10-07T00:00:00-06:00,167.62677451685855 A
2017-10-08T00:00:00-06:00,166.67309602101645 A
2017-10-09T00:00:00-06:00,163.53281283908422 A
2017-10-10T00:00:00-06:00,169.57192473715924 A
2017-10-11T00:00:00-06:00,172.33313972719253 A
2017-10-12T00:00:00-06:00,171.23160568873087 A
2017-10-13T00:00:00-06:00,167.99008989334106 A
2017-10-14T00:00:00-06:00,159.70552079050165 A
2017-10-15T00:00:00-06:00,156.54355017344156 A
2017-10-16T00:00:00-06:00,169.52267026901245 A
2017-10-17T00:00:00-06:00,174.9215556780497 A
2017-10-18T00:00:00-06:00,176.54194402694702 A
2017-10-19T00:00:00-06:00,178.04226556075247 A
2017-10-20T00:00:00-06:00,173.85430272420248 A
2017-10-21T00:00:00-06:00,158.63439798355103 A
2017-10-22T00:00:00-06:00,164.34802516301474 A
2017-10-23T00:00:00-06:00,180.99969673156738 A
2017-10-24T00:00:00-06:00,175.8571419163754 A
2017-10-25T00:00:00-06:00,176.14627520243326 A
2017-10-26T00:00:00-06:00,173.88729961847855 A
