Timestamp,['1da98341-11a87245 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Volts B-N']
2017-06-30T00:00:00-06:00,282.6375773747762 V
2017-07-01T00:00:00-06:00,282.5161329905192 V
2017-07-02T00:00:00-06:00,282.75669155325943 V
2017-07-03T00:00:00-06:00,282.5710509618123 V
2017-07-04T00:00:00-06:00,282.9977623621623 V
2017-07-05T00:00:00-06:00,282.72096729278564 V
2017-07-06T00:00:00-06:00,282.8559039433797 V
2017-07-07T00:00:00-06:00,282.66197872161865 V
2017-07-08T00:00:00-06:00,282.70634778340656 V
2017-07-09T00:00:00-06:00,282.7139148712158 V
2017-07-10T00:00:00-06:00,282.6999594370524 V
2017-07-11T00:00:00-06:00,282.7425362269084 V
2017-07-12T00:00:00-06:00,282.65865898132324 V
2017-07-13T00:00:00-06:00,282.9900067647298 V
2017-07-14T00:00:00-06:00,282.7563597361247 V
2017-07-15T00:00:00-06:00,282.73764673868817 V
2017-07-16T00:00:00-06:00,282.68606726328534 V
2017-07-17T00:00:00-06:00,282.6197269520861 V
2017-07-18T00:00:00-06:00,282.69702847798663 V
2017-07-19T00:00:00-06:00,282.75962257385254 V
2017-07-20T00:00:00-06:00,282.7437203725179 V
2017-07-21T00:00:00-06:00,282.6216990152995 V
2017-07-22T00:00:00-06:00,282.6115193468459 V
2017-07-23T00:00:00-06:00,282.76200771331787 V
2017-07-24T00:00:00-06:00,282.8991107940674 V
2017-07-25T00:00:00-06:00,282.7856527964274 V
2017-07-26T00:00:00-06:00,282.6466811498006 V
2017-07-27T00:00:00-06:00,282.95908705393475 V
2017-07-28T00:00:00-06:00,282.64225737253827 V
2017-07-29T00:00:00-06:00,282.72654787699383 V
2017-07-30T00:00:00-06:00,282.89652093251544 V
2017-07-31T00:00:00-06:00,282.8036257425944 V
2017-08-01T00:00:00-06:00,282.8240559895833 V
2017-08-02T00:00:00-06:00,282.5421082178752 V
2017-08-03T00:00:00-06:00,282.57570775349933 V
2017-08-04T00:00:00-06:00,282.6031171820137 V
2017-08-05T00:00:00-06:00,282.52804470062256 V
2017-08-06T00:00:00-06:00,282.6078186035156 V
2017-08-07T00:00:00-06:00,282.5278962453206 V
2017-08-08T00:00:00-06:00,282.7237555185954 V
2017-08-09T00:00:00-06:00,282.61841138203937 V
2017-08-10T00:00:00-06:00,282.71988080895466 V
2017-08-11T00:00:00-06:00,282.9006401697795 V
2017-08-12T00:00:00-06:00,282.69181124369305 V
2017-08-13T00:00:00-06:00,283.0109338760376 V
2017-08-14T00:00:00-06:00,282.77291107177734 V
2017-08-15T00:00:00-06:00,282.8948205312093 V
2017-08-16T00:00:00-06:00,282.55760955810547 V
2017-08-17T00:00:00-06:00,282.7415482203166 V
2017-08-18T00:00:00-06:00,282.79036808013916 V
2017-08-19T00:00:00-06:00,282.59081776936847 V
2017-08-20T00:00:00-06:00,282.9205592473348 V
2017-08-21T00:00:00-06:00,282.7763245900472 V
2017-08-22T00:00:00-06:00,282.691224416097 V
