Timestamp,['1eb2a05c-b4d54fe7 0074-BUSINESS CLASSROOM BLDG Power Meter (480V) Current B']
2017-09-29T00:00:00-06:00,89.92190710703532 A
2017-09-30T00:00:00-06:00,84.96713741620381 A
2017-10-01T00:00:00-06:00,84.3403578599294 A
2017-10-02T00:00:00-06:00,95.24612506230672 A
2017-10-03T00:00:00-06:00,96.28023751576741 A
2017-10-04T00:00:00-06:00,94.49545780817668 A
2017-10-05T00:00:00-06:00,97.74044140179952 A
2017-10-06T00:00:00-06:00,90.92199436823527 A
2017-10-07T00:00:00-06:00,89.92749897638957 A
2017-10-08T00:00:00-06:00,89.9926466147105 A
2017-10-09T00:00:00-06:00,85.58566482861836 A
2017-10-10T00:00:00-06:00,82.9687895377477 A
2017-10-11T00:00:00-06:00,57.87244768937429 A
2017-10-12T00:00:00-06:00,32.84543255964915 A
2017-10-13T00:00:00-06:00,59.981293638547264 A
2017-10-14T00:00:00-06:00,83.94811360041301 A
2017-10-15T00:00:00-06:00,82.61135633786519 A
2017-10-16T00:00:00-06:00,94.93129269282024 A
2017-10-17T00:00:00-06:00,83.59625653425853 A
2017-10-18T00:00:00-06:00,92.76992416381836 A
2017-10-19T00:00:00-06:00,94.99465982119243 A
2017-10-20T00:00:00-06:00,88.28759296735127 A
2017-10-21T00:00:00-06:00,84.81927625338237 A
2017-10-22T00:00:00-06:00,84.71590097745259 A
2017-10-23T00:00:00-06:00,93.68308321634929 A
2017-10-24T00:00:00-06:00,94.26762064297994 A
2017-10-25T00:00:00-06:00,91.69225637118022 A
2017-10-26T00:00:00-06:00,92.67235088348389 A
2017-10-27T00:00:00-06:00,87.83127061525981 A
2017-10-28T00:00:00-06:00,80.60041546821594 A
2017-10-29T00:00:00-06:00,80.08940013249715 A
2017-10-30T00:00:00-06:00,90.6544479529063 A
2017-10-31T00:00:00-06:00,87.66516224543254 A
2017-11-01T00:00:00-06:00,91.69477558135986 A
2017-11-02T00:00:00-06:00,93.93050193786621 A
2017-11-03T00:00:00-06:00,88.0666557153066 A
2017-11-04T00:00:00-06:00,81.71282593409221 A
2017-11-05T00:00:00-06:00,82.44110893249511 A
2017-11-06T00:00:00-07:00,93.57376805941264 A
2017-11-07T00:00:00-07:00,95.46433424949646 A
2017-11-08T00:00:00-07:00,92.79844935735066 A
2017-11-09T00:00:00-07:00,92.4446792602539 A
2017-11-10T00:00:00-07:00,89.96070218086243 A
2017-11-11T00:00:00-07:00,85.14912668863933 A
2017-11-12T00:00:00-07:00,85.49408650398254 A
2017-11-13T00:00:00-07:00,91.00131448109944 A
2017-11-14T00:00:00-07:00,90.55154299736023 A
2017-11-15T00:00:00-07:00,92.23628377914429 A
2017-11-16T00:00:00-07:00,91.47826480865479 A
2017-11-17T00:00:00-07:00,88.52475150426228 A
2017-11-18T00:00:00-07:00,86.80755527814229 A
2017-11-19T00:00:00-07:00,86.7142288684845 A
2017-11-20T00:00:00-07:00,95.07842580477397 A
2017-11-21T00:00:00-07:00,92.22515026728313 A
2017-11-22T00:00:00-07:00,90.17680803934734 A
2017-11-23T00:00:00-07:00,88.39914608001709 A
2017-11-24T00:00:00-07:00,88.9161905447642 A
2017-11-25T00:00:00-07:00,88.49459354082744 A
2017-11-26T00:00:00-07:00,88.1774754524231 A
2017-11-27T00:00:00-07:00,90.22954614957173 A
2017-11-28T00:00:00-07:00,95.43481914202373 A
2017-11-29T00:00:00-07:00,92.03494914372762 A
2017-11-30T00:00:00-07:00,93.62916612625122 A
2017-12-01T00:00:00-07:00,90.21643455823262 A
2017-12-02T00:00:00-07:00,84.72585550944011 A
2017-12-03T00:00:00-07:00,84.86606971422832 A
2017-12-04T00:00:00-07:00,96.32831613222758 A
2017-12-05T00:00:00-07:00,95.7493401368459 A
2017-12-06T00:00:00-07:00,96.88269527753194 A
2017-12-07T00:00:00-07:00,94.27846344312032 A
2017-12-08T00:00:00-07:00,87.57078242301941 A
2017-12-09T00:00:00-07:00,83.48873162269592 A
2017-12-10T00:00:00-07:00,83.82758506139119 A
2017-12-11T00:00:00-07:00,89.2556738058726 A
2017-12-12T00:00:00-07:00,90.22883995374043 A
2017-12-13T00:00:00-07:00,95.57487432161967 A
2017-12-14T00:00:00-07:00,102.06794659296672 A
2017-12-15T00:00:00-07:00,94.71363147099812 A
2017-12-16T00:00:00-07:00,89.59008049964905 A
2017-12-17T00:00:00-07:00,87.90810386339824 A
2017-12-18T00:00:00-07:00,89.67436160836168 A
2017-12-19T00:00:00-07:00,92.89316900571187 A
2017-12-20T00:00:00-07:00,88.81672008832295 A
2017-12-21T00:00:00-07:00,88.84885271390279 A
2017-12-22T00:00:00-07:00,90.43536480267842 A
2017-12-23T00:00:00-07:00,87.40494434038798 A
2017-12-24T00:00:00-07:00,88.6110889116923 A
2017-12-25T00:00:00-07:00,87.51086195309956 A
2017-12-26T00:00:00-07:00,87.77694272994995 A
2017-12-27T00:00:00-07:00,88.86571661631267 A
2017-12-28T00:00:00-07:00,87.67894371350606 A
2017-12-29T00:00:00-07:00,83.83201225598653 A
2017-12-30T00:00:00-07:00,82.41749723752339 A
2017-12-31T00:00:00-07:00,84.95547159512837 A
