Timestamp,"['1ef46860-c81c5da5 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Watts, 3-Ph total']"
2017-06-03T00:00:00-06:00,32.03265380859375 kW
2017-06-04T00:00:00-06:00,29.18988800048828 kW
2017-06-05T00:00:00-06:00,43.18244552612305 kW
2017-06-06T00:00:00-06:00,43.09043502807617 kW
2017-06-07T00:00:00-06:00,45.238155364990234 kW
2017-06-08T00:00:00-06:00,44.17748260498047 kW
2017-06-09T00:00:00-06:00,41.40450668334961 kW
2017-06-10T00:00:00-06:00,32.123497009277344 kW
2017-06-11T00:00:00-06:00,29.115407943725586 kW
2017-06-12T00:00:00-06:00,45.77598190307617 kW
2017-06-13T00:00:00-06:00,49.155635833740234 kW
2017-06-14T00:00:00-06:00,44.341835021972656 kW
2017-06-15T00:00:00-06:00,44.8237190246582 kW
2017-06-16T00:00:00-06:00,40.39363098144531 kW
2017-06-17T00:00:00-06:00,30.998027801513672 kW
2017-06-18T00:00:00-06:00,31.332740783691406 kW
2017-06-19T00:00:00-06:00,42.52500915527344 kW
2017-06-20T00:00:00-06:00,44.78294372558594 kW
2017-06-21T00:00:00-06:00,40.564727783203125 kW
2017-06-22T00:00:00-06:00,43.356292724609375 kW
2017-06-23T00:00:00-06:00,43.15934753417969 kW
2017-06-24T00:00:00-06:00,33.821983337402344 kW
2017-06-25T00:00:00-06:00,30.87179183959961 kW
2017-06-26T00:00:00-06:00,45.131507873535156 kW
2017-06-27T00:00:00-06:00,45.093910217285156 kW
2017-06-28T00:00:00-06:00,43.2826042175293 kW
2017-06-29T00:00:00-06:00,43.80176544189453 kW
2017-06-30T00:00:00-06:00,41.732391357421875 kW
2017-07-01T00:00:00-06:00,34.48691177368164 kW
2017-07-02T00:00:00-06:00,32.50054931640625 kW
2017-07-03T00:00:00-06:00,44.91624450683594 kW
2017-07-04T00:00:00-06:00,46.120750427246094 kW
2017-07-05T00:00:00-06:00,45.03224182128906 kW
2017-07-06T00:00:00-06:00,47.792579650878906 kW
2017-07-07T00:00:00-06:00,41.67592239379883 kW
2017-07-08T00:00:00-06:00,33.74283218383789 kW
2017-07-09T00:00:00-06:00,31.969749450683594 kW
2017-07-10T00:00:00-06:00,46.14784240722656 kW
2017-07-11T00:00:00-06:00,46.461830139160156 kW
2017-07-12T00:00:00-06:00,46.3078498840332 kW
2017-07-13T00:00:00-06:00,43.17493438720703 kW
2017-07-14T00:00:00-06:00,42.84379959106445 kW
2017-07-15T00:00:00-06:00,31.66488265991211 kW
2017-07-16T00:00:00-06:00,29.510652542114258 kW
2017-07-17T00:00:00-06:00,46.41679763793945 kW
2017-07-18T00:00:00-06:00,43.562313079833984 kW
2017-07-19T00:00:00-06:00,44.133602142333984 kW
2017-07-20T00:00:00-06:00,42.237403869628906 kW
2017-07-21T00:00:00-06:00,42.52776336669922 kW
2017-07-22T00:00:00-06:00,32.32807540893555 kW
2017-07-23T00:00:00-06:00,28.010133743286133 kW
2017-07-24T00:00:00-06:00,40.14344024658203 kW
2017-07-25T00:00:00-06:00,41.6766357421875 kW
2017-07-26T00:00:00-06:00,39.71050262451172 kW
2017-07-27T00:00:00-06:00,41.635746002197266 kW
2017-07-28T00:00:00-06:00,40.897918701171875 kW
2017-07-29T00:00:00-06:00,31.898799896240234 kW
2017-07-30T00:00:00-06:00,30.50820541381836 kW
2017-07-31T00:00:00-06:00,40.775997161865234 kW
2017-08-01T00:00:00-06:00,43.74826431274414 kW
2017-08-02T00:00:00-06:00,42.036529541015625 kW
2017-08-03T00:00:00-06:00,41.079490661621094 kW
2017-08-04T00:00:00-06:00,41.74262619018555 kW
2017-08-05T00:00:00-06:00,32.62706756591797 kW
2017-08-06T00:00:00-06:00,30.65880012512207 kW
2017-08-07T00:00:00-06:00,42.82239532470703 kW
2017-08-08T00:00:00-06:00,40.81190872192383 kW
2017-08-09T00:00:00-06:00,43.84083557128906 kW
2017-08-10T00:00:00-06:00,41.51784133911133 kW
2017-08-11T00:00:00-06:00,38.7303466796875 kW
2017-08-12T00:00:00-06:00,31.130599975585938 kW
2017-08-13T00:00:00-06:00,28.918134689331055 kW
2017-08-14T00:00:00-06:00,43.11740493774414 kW
2017-08-15T00:00:00-06:00,42.899566650390625 kW
2017-08-16T00:00:00-06:00,40.65435791015625 kW
2017-08-17T00:00:00-06:00,40.790489196777344 kW
2017-08-18T00:00:00-06:00,39.17117691040039 kW
2017-08-19T00:00:00-06:00,32.43232727050781 kW
2017-08-20T00:00:00-06:00,29.053468704223633 kW
2017-08-21T00:00:00-06:00,43.588871002197266 kW
2017-08-22T00:00:00-06:00,48.31376647949219 kW
2017-08-23T00:00:00-06:00,49.49352264404297 kW
2017-08-24T00:00:00-06:00,42.205078125 kW
2017-08-25T00:00:00-06:00,43.1489372253418 kW
2017-08-26T00:00:00-06:00,33.428123474121094 kW
2017-08-27T00:00:00-06:00,28.100914001464844 kW
2017-08-28T00:00:00-06:00,43.892398834228516 kW
2017-08-29T00:00:00-06:00,47.095462799072266 kW
2017-08-30T00:00:00-06:00,49.058929443359375 kW
2017-08-31T00:00:00-06:00,45.7967529296875 kW
2017-09-01T00:00:00-06:00,41.93358612060547 kW
2017-09-02T00:00:00-06:00,32.252037048339844 kW
2017-09-03T00:00:00-06:00,27.733516693115234 kW
2017-09-04T00:00:00-06:00,39.66840744018555 kW
2017-09-05T00:00:00-06:00,47.17564010620117 kW
2017-09-06T00:00:00-06:00,52.379310607910156 kW
2017-09-07T00:00:00-06:00,44.612247467041016 kW
2017-09-08T00:00:00-06:00,48.28303146362305 kW
2017-09-09T00:00:00-06:00,35.75497817993164 kW
2017-09-10T00:00:00-06:00,28.311912536621094 kW
2017-09-11T00:00:00-06:00,49.038002014160156 kW
2017-09-12T00:00:00-06:00,50.17051696777344 kW
2017-09-13T00:00:00-06:00,49.487518310546875 kW
2017-09-14T00:00:00-06:00,47.45420837402344 kW
2017-09-15T00:00:00-06:00,61.877174377441406 kW
2017-09-16T00:00:00-06:00,33.16611862182617 kW
2017-09-17T00:00:00-06:00,36.54474639892578 kW
2017-09-18T00:00:00-06:00,48.46217727661133 kW
2017-09-19T00:00:00-06:00,56.5865364074707 kW
2017-09-20T00:00:00-06:00,49.092247009277344 kW
2017-09-21T00:00:00-06:00,55.64278030395508 kW
2017-09-22T00:00:00-06:00,49.222381591796875 kW
2017-09-23T00:00:00-06:00,36.192230224609375 kW
2017-09-24T00:00:00-06:00,44.80056381225586 kW
2017-09-25T00:00:00-06:00,51.71941375732422 kW
2017-09-26T00:00:00-06:00,49.16793441772461 kW
2017-09-27T00:00:00-06:00,51.82136154174805 kW
2017-09-28T00:00:00-06:00,49.702476501464844 kW
2017-09-29T00:00:00-06:00,45.08013916015625 kW
2017-09-30T00:00:00-06:00,33.05628967285156 kW
2017-10-01T00:00:00-06:00,34.086647033691406 kW
2017-10-02T00:00:00-06:00,54.07305145263672 kW
2017-10-03T00:00:00-06:00,50.931392669677734 kW
2017-10-04T00:00:00-06:00,51.621803283691406 kW
2017-10-05T00:00:00-06:00,50.09423065185547 kW
2017-10-06T00:00:00-06:00,46.20576477050781 kW
2017-10-07T00:00:00-06:00,36.30562973022461 kW
2017-10-08T00:00:00-06:00,38.278629302978516 kW
2017-10-09T00:00:00-06:00,47.08790588378906 kW
2017-10-10T00:00:00-06:00,52.473812103271484 kW
2017-10-11T00:00:00-06:00,45.61143112182617 kW
2017-10-12T00:00:00-06:00,48.799652099609375 kW
2017-10-13T00:00:00-06:00,45.43382263183594 kW
2017-10-14T00:00:00-06:00,42.13570022583008 kW
2017-10-15T00:00:00-06:00,39.4126091003418 kW
2017-10-16T00:00:00-06:00,54.41630172729492 kW
2017-10-17T00:00:00-06:00,50.97483444213867 kW
2017-10-18T00:00:00-06:00,52.068138122558594 kW
2017-10-19T00:00:00-06:00,49.279762268066406 kW
2017-10-20T00:00:00-06:00,57.5186653137207 kW
2017-10-21T00:00:00-06:00,35.35374069213867 kW
2017-10-22T00:00:00-06:00,33.47216796875 kW
2017-10-23T00:00:00-06:00,51.297752380371094 kW
2017-10-24T00:00:00-06:00,51.74224853515625 kW
2017-10-25T00:00:00-06:00,52.39724349975586 kW
2017-10-26T00:00:00-06:00,50.830440521240234 kW
2017-10-27T00:00:00-06:00,47.74439239501953 kW
2017-10-28T00:00:00-06:00,31.026554107666016 kW
2017-10-29T00:00:00-06:00,34.80299377441406 kW
