Timestamp,['1cd68681-b28d97ad Power Meter (4160V) 316611 Voltage A-B']
2017-07-03T00:00:00-06:00,4139.43661971831 V
2017-07-04T00:00:00-06:00,4148.617021276596 V
2017-07-05T00:00:00-06:00,4138.45652173913 V
2017-07-06T00:00:00-06:00,4149.2 V
2017-07-07T00:00:00-06:00,4120.5 V
2017-07-08T00:00:00-06:00,4138.285714285715 V
2017-07-09T00:00:00-06:00,4132 V
2017-07-10T00:00:00-06:00,4126 V
2017-07-11T00:00:00-06:00,4155.818181818182 V
2017-07-12T00:00:00-06:00,4158.8 V
2017-07-14T00:00:00-06:00,4130.333333333333 V
2017-07-15T00:00:00-06:00,4155.058823529412 V
2017-07-16T00:00:00-06:00,4115.444444444444 V
2017-07-17T00:00:00-06:00,4136.5 V
2017-07-18T00:00:00-06:00,4141 V
2017-07-19T00:00:00-06:00,4133.666666666667 V
2017-07-20T00:00:00-06:00,4125.727272727273 V
2017-07-21T00:00:00-06:00,4140.411764705882 V
2017-07-22T00:00:00-06:00,4142.1578947368425 V
2017-07-23T00:00:00-06:00,4160.222222222223 V
2017-07-24T00:00:00-06:00,4138 V
2017-07-25T00:00:00-06:00,4127.8 V
2017-07-26T00:00:00-06:00,4139.3 V
2017-07-27T00:00:00-06:00,4156 V
2017-07-28T00:00:00-06:00,4175.428571428572 V
2017-07-29T00:00:00-06:00,4169.555555555556 V
2017-07-30T00:00:00-06:00,4147.25 V
2017-07-31T00:00:00-06:00,4145.75 V
2017-08-01T00:00:00-06:00,4133.466666666666 V
2017-08-02T00:00:00-06:00,4138 V
2017-08-03T00:00:00-06:00,4149.75 V
2017-08-04T00:00:00-06:00,4137.714285714285 V
2017-08-05T00:00:00-06:00,4148 V
2017-08-06T00:00:00-06:00,4150.777777777777 V
2017-08-07T00:00:00-06:00,4138.25 V
2017-08-08T00:00:00-06:00,4140.75 V
2017-08-09T00:00:00-06:00,4163.357142857143 V
2017-08-10T00:00:00-06:00,4129.714285714285 V
2017-08-11T00:00:00-06:00,4164.5 V
2017-08-12T00:00:00-06:00,4145 V
2017-08-13T00:00:00-06:00,4164.285714285715 V
2017-08-14T00:00:00-06:00,4155.5 V
2017-08-15T00:00:00-06:00,4198.2 V
2017-08-16T00:00:00-06:00,4149.375 V
2017-08-17T00:00:00-06:00,4132.166666666667 V
2017-08-18T00:00:00-06:00,4193.666666666667 V
2017-08-19T00:00:00-06:00,4145.5 V
2017-08-20T00:00:00-06:00,4172.9375 V
2017-08-21T00:00:00-06:00,4150.833333333333 V
2017-08-22T00:00:00-06:00,4127 V
2017-08-23T00:00:00-06:00,4144.875 V
2017-08-24T00:00:00-06:00,4143.4 V
2017-08-25T00:00:00-06:00,4147.8 V
