Timestamp,['1cac272a-04cde8b7 0077-CHRISTENSEN CNTR Power Meter (300172) KWH Received']
2017-03-27T00:00:00-06:00,1707.91015625 kWh
2017-03-28T00:00:00-06:00,1870.73828125 kWh
2017-03-29T00:00:00-06:00,2833.30859375 kWh
2017-03-30T00:00:00-06:00,976.890625 kWh
2017-03-31T00:00:00-06:00,1755.76171875 kWh
2017-04-01T00:00:00-06:00,1627.02734375 kWh
2017-04-02T00:00:00-06:00,1502.609375 kWh
2017-04-03T00:00:00-06:00,1818.8046875 kWh
2017-04-04T00:00:00-06:00,1871.1484375 kWh
2017-04-05T00:00:00-06:00,1855.8359375 kWh
2017-04-06T00:00:00-06:00,1819.4609375 kWh
2017-04-07T00:00:00-06:00,1627.8828125 kWh
2017-04-08T00:00:00-06:00,1583.1875 kWh
2017-04-09T00:00:00-06:00,1538.46875 kWh
2017-04-10T00:00:00-06:00,1880.7734375 kWh
2017-04-11T00:00:00-06:00,1877.0625 kWh
2017-04-12T00:00:00-06:00,1939.96875 kWh
2017-04-13T00:00:00-06:00,1953.5078125 kWh
2017-04-14T00:00:00-06:00,1766.2109375 kWh
2017-04-15T00:00:00-06:00,1428.2578125 kWh
2017-04-16T00:00:00-06:00,1450.71875 kWh
2017-04-17T00:00:00-06:00,1854.8203125 kWh
2017-04-18T00:00:00-06:00,1909.6015625 kWh
2017-04-19T00:00:00-06:00,1944.421875 kWh
2017-04-20T00:00:00-06:00,1933.0703125 kWh
2017-04-21T00:00:00-06:00,1723.421875 kWh
2017-04-22T00:00:00-06:00,1682.2265625 kWh
2017-04-23T00:00:00-06:00,1605.2109375 kWh
2017-04-24T00:00:00-06:00,1945.359375 kWh
2017-04-25T00:00:00-06:00,1861.84375 kWh
2017-04-26T00:00:00-06:00,1826.1875 kWh
2017-04-27T00:00:00-06:00,1869.6171875 kWh
2017-04-28T00:00:00-06:00,1672.0234375 kWh
2017-04-29T00:00:00-06:00,1464.515625 kWh
2017-04-30T00:00:00-06:00,1402.53125 kWh
2017-05-01T00:00:00-06:00,1784.34375 kWh
2017-05-02T00:00:00-06:00,1711.2890625 kWh
2017-05-03T00:00:00-06:00,1782.5 kWh
2017-05-04T00:00:00-06:00,1744.21875 kWh
2017-05-05T00:00:00-06:00,1687.1875 kWh
2017-05-06T00:00:00-06:00,1634.3359375 kWh
2017-05-07T00:00:00-06:00,1644.984375 kWh
2017-05-08T00:00:00-06:00,1692.765625 kWh
2017-05-09T00:00:00-06:00,1640.8671875 kWh
2017-05-10T00:00:00-06:00,1610.53125 kWh
2017-05-11T00:00:00-06:00,1753.71875 kWh
2017-05-12T00:00:00-06:00,1828.5625 kWh
2017-05-13T00:00:00-06:00,1820.171875 kWh
2017-05-14T00:00:00-06:00,1807.21875 kWh
2017-05-15T00:00:00-06:00,1752.734375 kWh
2017-05-16T00:00:00-06:00,1816.84375 kWh
2017-05-17T00:00:00-06:00,1708.921875 kWh
2017-05-18T00:00:00-06:00,1760.96875 kWh
