Timestamp,['1eb2a100-c4a3e0b7 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Current C']
2017-08-21T00:00:00-06:00,18.855897227923077 A
2017-08-22T00:00:00-06:00,19.0926732023557 A
2017-08-23T00:00:00-06:00,19.278657118479412 A
2017-08-24T00:00:00-06:00,18.56836634874344 A
2017-08-25T00:00:00-06:00,18.65846558411916 A
2017-08-26T00:00:00-06:00,16.8575657804807 A
2017-08-27T00:00:00-06:00,16.791926840941112 A
2017-08-28T00:00:00-06:00,18.297550406507266 A
2017-08-29T00:00:00-06:00,18.113332030593707 A
2017-08-30T00:00:00-06:00,18.826539278030396 A
2017-08-31T00:00:00-06:00,18.366483410199482 A
2017-09-01T00:00:00-06:00,18.252104222774506 A
2017-09-02T00:00:00-06:00,16.86095331112544 A
2017-09-03T00:00:00-06:00,16.79256796585886 A
2017-09-04T00:00:00-06:00,17.12870552142461 A
2017-09-05T00:00:00-06:00,19.037912090619404 A
2017-09-06T00:00:00-06:00,18.23058581352234 A
2017-09-07T00:00:00-06:00,18.550675570964813 A
2017-09-08T00:00:00-06:00,18.053620027240953 A
2017-09-09T00:00:00-06:00,16.668136139710743 A
2017-09-10T00:00:00-06:00,16.541015028953552 A
2017-09-11T00:00:00-06:00,17.348622004191082 A
2017-09-12T00:00:00-06:00,18.467485388120014 A
2017-09-13T00:00:00-06:00,18.697416106859844 A
2017-09-14T00:00:00-06:00,18.587864061196644 A
2017-09-15T00:00:00-06:00,18.24263181289037 A
2017-09-16T00:00:00-06:00,18.072197536627453 A
2017-09-17T00:00:00-06:00,18.055940628051758 A
2017-09-18T00:00:00-06:00,19.364011347293854 A
2017-09-19T00:00:00-06:00,19.12287100156148 A
2017-09-20T00:00:00-06:00,18.72108123699824 A
2017-09-21T00:00:00-06:00,18.455864707628887 A
2017-09-22T00:00:00-06:00,17.98352615038554 A
2017-09-23T00:00:00-06:00,16.621825098991394 A
2017-09-24T00:00:00-06:00,16.861316323280334 A
2017-09-25T00:00:00-06:00,18.04163231452306 A
2017-09-26T00:00:00-06:00,17.772058725357056 A
2017-09-27T00:00:00-06:00,17.671934465567272 A
2017-09-28T00:00:00-06:00,18.42010849714279 A
2017-09-29T00:00:00-06:00,18.295628289381664 A
2017-09-30T00:00:00-06:00,16.846421480178833 A
2017-10-01T00:00:00-06:00,17.012217303117115 A
2017-10-02T00:00:00-06:00,18.180553078651428 A
2017-10-03T00:00:00-06:00,18.566489696502686 A
2017-10-04T00:00:00-06:00,18.675720532735188 A
2017-10-05T00:00:00-06:00,18.650508920351665 A
2017-10-06T00:00:00-06:00,17.80690733257093 A
2017-10-07T00:00:00-06:00,17.00128424167633 A
2017-10-08T00:00:00-06:00,17.291377822558086 A
2017-10-09T00:00:00-06:00,18.48101343711217 A
2017-10-10T00:00:00-06:00,18.4543612798055 A
2017-10-11T00:00:00-06:00,18.791774133841198 A
2017-10-12T00:00:00-06:00,18.213949501514435 A
2017-10-13T00:00:00-06:00,17.89368470509847 A
2017-10-14T00:00:00-06:00,16.75940654675166 A
2017-10-15T00:00:00-06:00,16.690083920955658 A
2017-10-16T00:00:00-06:00,18.61651877562205 A
2017-10-17T00:00:00-06:00,18.41668500502904 A
2017-10-18T00:00:00-06:00,19.249178330103557 A
2017-10-19T00:00:00-06:00,19.658214847246807 A
2017-10-20T00:00:00-06:00,18.55475566784541 A
2017-10-21T00:00:00-06:00,17.333129445711773 A
2017-10-22T00:00:00-06:00,17.430050631364185 A
2017-10-23T00:00:00-06:00,18.6863911151886 A
2017-10-24T00:00:00-06:00,18.956098397572834 A
2017-10-25T00:00:00-06:00,18.9482178290685 A
2017-10-26T00:00:00-06:00,19.254395564397175 A
2017-10-27T00:00:00-06:00,18.041023294130962 A
2017-10-28T00:00:00-06:00,16.95549827814102 A
2017-10-29T00:00:00-06:00,16.938213725884754 A
2017-10-30T00:00:00-06:00,17.62190905213356 A
2017-10-31T00:00:00-06:00,16.98972926537196 A
2017-11-01T00:00:00-06:00,17.69890210032463 A
2017-11-02T00:00:00-06:00,18.285140971342724 A
2017-11-03T00:00:00-06:00,17.446495234966278 A
2017-11-04T00:00:00-06:00,16.674258331457775 A
2017-11-05T00:00:00-06:00,16.79479721069336 A
2017-11-06T00:00:00-07:00,18.552388807137806 A
2017-11-07T00:00:00-07:00,18.465900381406147 A
2017-11-08T00:00:00-07:00,18.91909505923589 A
2017-11-09T00:00:00-07:00,18.149782598018646 A
2017-11-10T00:00:00-07:00,18.196937322616577 A
2017-11-11T00:00:00-07:00,17.04174808661143 A
2017-11-12T00:00:00-07:00,16.912685414155323 A
2017-11-13T00:00:00-07:00,18.278339048226673 A
2017-11-14T00:00:00-07:00,17.48939835031827 A
2017-11-15T00:00:00-07:00,17.981279810269672 A
2017-11-16T00:00:00-07:00,18.327771961688995 A
2017-11-17T00:00:00-07:00,17.80192373196284 A
2017-11-18T00:00:00-07:00,16.783508161703747 A
2017-11-19T00:00:00-07:00,16.739271819591522 A
2017-11-20T00:00:00-07:00,17.684939086437225 A
2017-11-21T00:00:00-07:00,17.79902110497157 A
2017-11-22T00:00:00-07:00,17.94676210482915 A
2017-11-23T00:00:00-07:00,17.344778339068096 A
2017-11-24T00:00:00-07:00,17.619553367296856 A
2017-11-25T00:00:00-07:00,17.39609028895696 A
2017-11-26T00:00:00-07:00,17.4184805949529 A
2017-11-27T00:00:00-07:00,18.342901865641277 A
2017-11-28T00:00:00-07:00,17.36557912826538 A
2017-11-29T00:00:00-07:00,17.909723202387493 A
2017-11-30T00:00:00-07:00,17.266719837983448 A
2017-12-01T00:00:00-07:00,17.241105596224468 A
2017-12-02T00:00:00-07:00,16.461554418007534 A
2017-12-03T00:00:00-07:00,16.2749569217364 A
2017-12-04T00:00:00-07:00,17.44036866227786 A
2017-12-05T00:00:00-07:00,17.285057703653973 A
2017-12-06T00:00:00-07:00,17.402410686016083 A
2017-12-07T00:00:00-07:00,17.329523970683415 A
2017-12-08T00:00:00-07:00,17.3960133989652 A
2017-12-09T00:00:00-07:00,16.33419605096181 A
2017-12-10T00:00:00-07:00,16.10313020149867 A
2017-12-11T00:00:00-07:00,17.665873954693478 A
2017-12-12T00:00:00-07:00,17.376570264498394 A
2017-12-13T00:00:00-07:00,17.668816934029262 A
2017-12-14T00:00:00-07:00,17.62149382630984 A
2017-12-15T00:00:00-07:00,17.9705890417099 A
2017-12-16T00:00:00-07:00,16.90421998500824 A
2017-12-17T00:00:00-07:00,16.818439344565075 A
2017-12-18T00:00:00-07:00,17.785720435521934 A
2017-12-19T00:00:00-07:00,17.392417311668396 A
2017-12-20T00:00:00-07:00,17.549108276764553 A
2017-12-21T00:00:00-07:00,17.569666524728138 A
2017-12-22T00:00:00-07:00,16.8174331287543 A
2017-12-23T00:00:00-07:00,16.510634422302246 A
2017-12-24T00:00:00-07:00,16.494557956854504 A
2017-12-25T00:00:00-07:00,16.5149072209994 A
2017-12-26T00:00:00-07:00,16.483658532301586 A
2017-12-27T00:00:00-07:00,17.42089029153188 A
2017-12-28T00:00:00-07:00,17.198268870512646 A
2017-12-29T00:00:00-07:00,16.350953221321106 A
2017-12-30T00:00:00-07:00,16.577353060245514 A
2017-12-31T00:00:00-07:00,16.474724978208542 A
