Timestamp,['1d0b1be1-30af34f9 0084-BIOLOGY BLDG Power Meter 316500 Current B']
2017-09-19T00:00:00-06:00,196.79950625397439 A
2017-09-20T00:00:00-06:00,195.68134703459563 A
2017-09-21T00:00:00-06:00,192.02533652565697 A
2017-09-22T00:00:00-06:00,177.1298914728938 A
2017-09-23T00:00:00-06:00,168.26862576133325 A
2017-09-24T00:00:00-06:00,165.3870526482077 A
2017-09-25T00:00:00-06:00,189.1435403090257 A
2017-09-26T00:00:00-06:00,188.36039168746382 A
2017-09-27T00:00:00-06:00,194.13229814009233 A
2017-09-28T00:00:00-06:00,193.95677051209566 A
2017-09-29T00:00:00-06:00,193.4767103928786 A
2017-09-30T00:00:00-06:00,185.94314741051716 A
2017-10-01T00:00:00-06:00,177.96352239755484 A
2017-10-02T00:00:00-06:00,179.3709664852061 A
2017-10-03T00:00:00-06:00,187.80139201396221 A
2017-10-04T00:00:00-06:00,199.90307642201907 A
2017-10-05T00:00:00-06:00,190.17040330935748 A
2017-10-06T00:00:00-06:00,186.50410283998002 A
2017-10-07T00:00:00-06:00,184.05897184673108 A
2017-10-08T00:00:00-06:00,180.93979167938232 A
2017-10-09T00:00:00-06:00,179.57557746039495 A
2017-10-10T00:00:00-06:00,188.75610189234956 A
2017-10-11T00:00:00-06:00,190.1493886311849 A
2017-10-12T00:00:00-06:00,187.59570662180582 A
2017-10-13T00:00:00-06:00,183.08334175745645 A
2017-10-14T00:00:00-06:00,172.21515518991572 A
2017-10-15T00:00:00-06:00,169.52140537897745 A
2017-10-16T00:00:00-06:00,186.64845577875772 A
2017-10-17T00:00:00-06:00,194.4856530825297 A
2017-10-18T00:00:00-06:00,194.28356329600015 A
2017-10-19T00:00:00-06:00,197.01581051475122 A
2017-10-20T00:00:00-06:00,192.31506315867105 A
2017-10-21T00:00:00-06:00,171.81676562627158 A
2017-10-22T00:00:00-06:00,178.20787286758423 A
2017-10-23T00:00:00-06:00,198.71822309494019 A
2017-10-24T00:00:00-06:00,200.42958663137335 A
2017-10-25T00:00:00-06:00,202.3100824356079 A
2017-10-26T00:00:00-06:00,192.8773692502814 A
