Timestamp,['1ed62988-f5791a7a 0012-SUTTON BLDG POWER METER 208V (316602) Current A']
2017-06-30T00:00:00-06:00,160.52083333333334 A
2017-07-01T00:00:00-06:00,117.32291666666667 A
2017-07-02T00:00:00-06:00,109.90625 A
2017-07-03T00:00:00-06:00,135.05208333333334 A
2017-07-04T00:00:00-06:00,143.17708333333334 A
2017-07-05T00:00:00-06:00,146.21875 A
2017-07-06T00:00:00-06:00,149.83333333333334 A
2017-07-07T00:00:00-06:00,146.98958333333334 A
2017-07-08T00:00:00-06:00,135.47916666666666 A
2017-07-09T00:00:00-06:00,135.375 A
2017-07-10T00:00:00-06:00,152.36458333333334 A
2017-07-11T00:00:00-06:00,157.80208333333334 A
2017-07-12T00:00:00-06:00,158.55208333333334 A
2017-07-13T00:00:00-06:00,157.88541666666666 A
2017-07-14T00:00:00-06:00,149.71875 A
2017-07-15T00:00:00-06:00,136.14583333333334 A
2017-07-16T00:00:00-06:00,134.13541666666666 A
2017-07-17T00:00:00-06:00,147.55208333333334 A
2017-07-18T00:00:00-06:00,151.66666666666666 A
2017-07-19T00:00:00-06:00,157.26041666666666 A
2017-07-20T00:00:00-06:00,162.17708333333334 A
2017-07-21T00:00:00-06:00,167.65625 A
2017-07-22T00:00:00-06:00,154.54166666666666 A
2017-07-23T00:00:00-06:00,152.6875 A
2017-07-24T00:00:00-06:00,153.48958333333334 A
2017-07-25T00:00:00-06:00,162.71875 A
2017-07-26T00:00:00-06:00,161.02083333333334 A
2017-07-27T00:00:00-06:00,167.875 A
2017-07-28T00:00:00-06:00,156.13684210526316 A
2017-07-29T00:00:00-06:00,111.88541666666667 A
2017-07-30T00:00:00-06:00,111.01041666666667 A
2017-07-31T00:00:00-06:00,134.08333333333334 A
2017-08-01T00:00:00-06:00,143.26041666666666 A
2017-08-02T00:00:00-06:00,150.32291666666666 A
2017-08-03T00:00:00-06:00,172.40625 A
2017-08-04T00:00:00-06:00,163.46666666666667 A
2017-08-05T00:00:00-06:00,143.6875 A
2017-08-06T00:00:00-06:00,142.5 A
2017-08-07T00:00:00-06:00,158.27083333333334 A
2017-08-08T00:00:00-06:00,162.36458333333334 A
2017-08-09T00:00:00-06:00,159.69791666666666 A
2017-08-10T00:00:00-06:00,141.75531914893617 A
2017-08-11T00:00:00-06:00,117.21875 A
2017-08-12T00:00:00-06:00,109.94791666666667 A
2017-08-13T00:00:00-06:00,109.47368421052632 A
2017-08-14T00:00:00-06:00,151.625 A
2017-08-15T00:00:00-06:00,164.57291666666666 A
2017-08-16T00:00:00-06:00,162.2736842105263 A
2017-08-17T00:00:00-06:00,162.82291666666666 A
2017-08-18T00:00:00-06:00,159.76842105263157 A
2017-08-19T00:00:00-06:00,137.35416666666666 A
2017-08-20T00:00:00-06:00,137.0625 A
2017-08-21T00:00:00-06:00,158.40625 A
2017-08-22T00:00:00-06:00,158.8125 A
2017-08-23T00:00:00-06:00,157.98958333333334 A
2017-08-24T00:00:00-06:00,167.44791666666666 A
2017-08-25T00:00:00-06:00,150.28125 A
2017-08-26T00:00:00-06:00,103.96875 A
2017-08-27T00:00:00-06:00,102.89583333333333 A
2017-08-28T00:00:00-06:00,144.5268817204301 A
2017-08-29T00:00:00-06:00,161.70967741935485 A
2017-08-30T00:00:00-06:00,159.3125 A
2017-08-31T00:00:00-06:00,159.85416666666666 A
2017-09-01T00:00:00-06:00,160.85416666666666 A
2017-09-02T00:00:00-06:00,141.5157894736842 A
2017-09-03T00:00:00-06:00,142.58333333333334 A
2017-09-04T00:00:00-06:00,153.13541666666666 A
2017-09-05T00:00:00-06:00,166.71875 A
2017-09-06T00:00:00-06:00,167.1263157894737 A
2017-09-07T00:00:00-06:00,163.72916666666666 A
2017-09-08T00:00:00-06:00,159 A
2017-09-09T00:00:00-06:00,136.94791666666666 A
2017-09-10T00:00:00-06:00,136.60416666666666 A
2017-09-11T00:00:00-06:00,158.39583333333334 A
2017-09-12T00:00:00-06:00,162.45833333333334 A
2017-09-13T00:00:00-06:00,162.42708333333334 A
2017-09-14T00:00:00-06:00,163.25 A
2017-09-15T00:00:00-06:00,157.23958333333334 A
2017-09-16T00:00:00-06:00,134.38541666666666 A
2017-09-17T00:00:00-06:00,137.28125 A
2017-09-18T00:00:00-06:00,161.61458333333334 A
2017-09-19T00:00:00-06:00,166.70833333333334 A
2017-09-20T00:00:00-06:00,163.76041666666666 A
2017-09-21T00:00:00-06:00,153.63541666666666 A
2017-09-22T00:00:00-06:00,152.53125 A
2017-09-23T00:00:00-06:00,138.51041666666666 A
2017-09-24T00:00:00-06:00,137.47916666666666 A
2017-09-25T00:00:00-06:00,154.03125 A
2017-09-26T00:00:00-06:00,159.22916666666666 A
2017-09-27T00:00:00-06:00,152.67708333333334 A
2017-09-28T00:00:00-06:00,150.09375 A
2017-09-29T00:00:00-06:00,142.15625 A
2017-09-30T00:00:00-06:00,105.34375 A
2017-10-01T00:00:00-06:00,105.90625 A
2017-10-02T00:00:00-06:00,121.81052631578947 A
2017-10-03T00:00:00-06:00,138.28125 A
2017-10-04T00:00:00-06:00,140.875 A
2017-10-05T00:00:00-06:00,135.91666666666666 A
2017-10-06T00:00:00-06:00,125.66666666666667 A
2017-10-07T00:00:00-06:00,109.625 A
2017-10-08T00:00:00-06:00,114.95833333333333 A
2017-10-09T00:00:00-06:00,132.61458333333334 A
2017-10-10T00:00:00-06:00,130.1875 A
2017-10-11T00:00:00-06:00,134.71875 A
2017-10-12T00:00:00-06:00,136.01041666666666 A
2017-10-13T00:00:00-06:00,123.375 A
2017-10-14T00:00:00-06:00,103.01041666666667 A
2017-10-15T00:00:00-06:00,102.125 A
2017-10-16T00:00:00-06:00,119.73958333333333 A
2017-10-17T00:00:00-06:00,142.63541666666666 A
2017-10-18T00:00:00-06:00,158.51041666666666 A
2017-10-19T00:00:00-06:00,160.53125 A
2017-10-20T00:00:00-06:00,143.35416666666666 A
2017-10-21T00:00:00-06:00,105.70833333333333 A
2017-10-22T00:00:00-06:00,103.875 A
2017-10-23T00:00:00-06:00,135.52083333333334 A
2017-10-24T00:00:00-06:00,140.76041666666666 A
2017-10-25T00:00:00-06:00,146.96875 A
2017-10-26T00:00:00-06:00,159.84375 A
2017-10-27T00:00:00-06:00,153.36458333333334 A
2017-10-28T00:00:00-06:00,130.05208333333334 A
2017-10-29T00:00:00-06:00,128.45833333333334 A
