Timestamp,"['1eb2a07b-4b6a3d6a 0074-BUSINESS CLASSROOM BLDG Power Meter (480V) Watts, 3-Ph total']"
2017-07-31T00:00:00-06:00,79.9652328491211 kW
2017-08-01T00:00:00-06:00,78.0049057006836 kW
2017-08-02T00:00:00-06:00,77.57020568847656 kW
2017-08-03T00:00:00-06:00,75.46019744873047 kW
2017-08-04T00:00:00-06:00,74.15318298339844 kW
2017-08-05T00:00:00-06:00,68.71024322509766 kW
2017-08-06T00:00:00-06:00,65.91703796386719 kW
2017-08-07T00:00:00-06:00,78.24617767333984 kW
2017-08-08T00:00:00-06:00,68.83023071289062 kW
2017-08-09T00:00:00-06:00,77.19058227539062 kW
2017-08-10T00:00:00-06:00,73.87627410888672 kW
2017-08-11T00:00:00-06:00,71.30503845214844 kW
2017-08-12T00:00:00-06:00,76.48741149902344 kW
2017-08-13T00:00:00-06:00,66.77884674072266 kW
2017-08-14T00:00:00-06:00,73.09449005126953 kW
2017-08-15T00:00:00-06:00,68.405517578125 kW
2017-08-16T00:00:00-06:00,69.86138916015625 kW
2017-08-17T00:00:00-06:00,73.92769622802734 kW
2017-08-18T00:00:00-06:00,70.95136260986328 kW
2017-08-19T00:00:00-06:00,66.9017562866211 kW
2017-08-20T00:00:00-06:00,70.2861099243164 kW
2017-08-21T00:00:00-06:00,90.48860931396484 kW
2017-08-22T00:00:00-06:00,98.5572280883789 kW
2017-08-23T00:00:00-06:00,99.77336120605469 kW
2017-08-24T00:00:00-06:00,93.74398803710938 kW
2017-08-25T00:00:00-06:00,79.38790130615234 kW
2017-08-26T00:00:00-06:00,68.30023193359375 kW
2017-08-27T00:00:00-06:00,71.6247329711914 kW
2017-08-28T00:00:00-06:00,96.2834243774414 kW
2017-08-29T00:00:00-06:00,94.81626892089844 kW
2017-08-30T00:00:00-06:00,95.11199188232422 kW
2017-08-31T00:00:00-06:00,93.86650848388672 kW
2017-09-01T00:00:00-06:00,80.99065399169922 kW
2017-09-02T00:00:00-06:00,79.3756103515625 kW
2017-09-03T00:00:00-06:00,67.5530776977539 kW
2017-09-04T00:00:00-06:00,73.39238739013672 kW
2017-09-05T00:00:00-06:00,95.46052551269531 kW
2017-09-06T00:00:00-06:00,92.58525085449219 kW
2017-09-07T00:00:00-06:00,93.54942321777344 kW
2017-09-08T00:00:00-06:00,80.4460678100586 kW
2017-09-09T00:00:00-06:00,64.89192199707031 kW
2017-09-10T00:00:00-06:00,67.80330657958984 kW
2017-09-11T00:00:00-06:00,96.2722396850586 kW
2017-09-12T00:00:00-06:00,90.82914733886719 kW
2017-09-13T00:00:00-06:00,97.0317611694336 kW
2017-09-14T00:00:00-06:00,92.63916778564453 kW
2017-09-15T00:00:00-06:00,78.72158813476562 kW
2017-09-16T00:00:00-06:00,67.27025604248047 kW
2017-09-17T00:00:00-06:00,66.731689453125 kW
2017-09-18T00:00:00-06:00,89.33781433105469 kW
2017-09-19T00:00:00-06:00,94.3622055053711 kW
2017-09-20T00:00:00-06:00,92.62584686279297 kW
2017-09-21T00:00:00-06:00,102.4766616821289 kW
2017-09-22T00:00:00-06:00,83.91363525390625 kW
2017-09-23T00:00:00-06:00,66.15325164794922 kW
2017-09-24T00:00:00-06:00,72.7845458984375 kW
2017-09-25T00:00:00-06:00,91.04270935058594 kW
2017-09-26T00:00:00-06:00,91.3912582397461 kW
2017-09-27T00:00:00-06:00,91.07516479492188 kW
2017-09-28T00:00:00-06:00,92.8924789428711 kW
2017-09-29T00:00:00-06:00,94.2975845336914 kW
2017-09-30T00:00:00-06:00,67.22296905517578 kW
2017-10-01T00:00:00-06:00,64.12974548339844 kW
2017-10-02T00:00:00-06:00,90.08704376220703 kW
2017-10-03T00:00:00-06:00,91.86134338378906 kW
2017-10-04T00:00:00-06:00,87.8609848022461 kW
2017-10-05T00:00:00-06:00,96.45305633544922 kW
2017-10-06T00:00:00-06:00,95.4249267578125 kW
2017-10-07T00:00:00-06:00,82.56045532226562 kW
2017-10-08T00:00:00-06:00,73.42302703857422 kW
2017-10-09T00:00:00-06:00,68.16214752197266 kW
2017-10-10T00:00:00-06:00,72.6067123413086 kW
2017-10-11T00:00:00-06:00,74.0906753540039 kW
2017-10-12T00:00:00-06:00,35.83552551269531 kW
2017-10-13T00:00:00-06:00,72.18533325195312 kW
2017-10-14T00:00:00-06:00,65.95549011230469 kW
2017-10-15T00:00:00-06:00,64.07685852050781 kW
2017-10-16T00:00:00-06:00,94.34805297851562 kW
2017-10-17T00:00:00-06:00,89.5009994506836 kW
2017-10-18T00:00:00-06:00,88.0385513305664 kW
2017-10-19T00:00:00-06:00,91.1397476196289 kW
2017-10-20T00:00:00-06:00,77.05613708496094 kW
2017-10-21T00:00:00-06:00,65.90554809570312 kW
2017-10-22T00:00:00-06:00,65.48554992675781 kW
2017-10-23T00:00:00-06:00,93.68806457519531 kW
2017-10-24T00:00:00-06:00,93.09986114501953 kW
2017-10-25T00:00:00-06:00,90.08080291748047 kW
2017-10-26T00:00:00-06:00,91.03150939941406 kW
2017-10-27T00:00:00-06:00,76.76447296142578 kW
2017-10-28T00:00:00-06:00,62.12662887573242 kW
2017-10-29T00:00:00-06:00,61.07102584838867 kW
2017-10-30T00:00:00-06:00,89.11106872558594 kW
2017-10-31T00:00:00-06:00,71.59843444824219 kW
2017-11-01T00:00:00-06:00,88.81934356689453 kW
2017-11-02T00:00:00-06:00,88.73516082763672 kW
2017-11-03T00:00:00-06:00,79.76676940917969 kW
2017-11-04T00:00:00-06:00,63.35295104980469 kW
2017-11-05T00:00:00-06:00,67.75713348388672 kW
2017-11-06T00:00:00-07:00,90.34041595458984 kW
2017-11-07T00:00:00-07:00,89.4498291015625 kW
2017-11-08T00:00:00-07:00,93.11543273925781 kW
2017-11-09T00:00:00-07:00,89.12113952636719 kW
2017-11-10T00:00:00-07:00,87.67156982421875 kW
2017-11-11T00:00:00-07:00,66.52599334716797 kW
2017-11-12T00:00:00-07:00,65.81829071044922 kW
2017-11-13T00:00:00-07:00,83.8662338256836 kW
2017-11-14T00:00:00-07:00,90.93341064453125 kW
2017-11-15T00:00:00-07:00,86.36381530761719 kW
2017-11-16T00:00:00-07:00,89.20720672607422 kW
2017-11-17T00:00:00-07:00,78.20207977294922 kW
2017-11-18T00:00:00-07:00,70.60472869873047 kW
2017-11-19T00:00:00-07:00,70.7068099975586 kW
2017-11-20T00:00:00-07:00,88.61619567871094 kW
2017-11-21T00:00:00-07:00,86.62312316894531 kW
2017-11-22T00:00:00-07:00,82.53250885009766 kW
2017-11-23T00:00:00-07:00,67.03380584716797 kW
2017-11-24T00:00:00-07:00,69.0728759765625 kW
2017-11-25T00:00:00-07:00,66.77700805664062 kW
2017-11-26T00:00:00-07:00,64.85913848876953 kW
2017-11-27T00:00:00-07:00,85.65219116210938 kW
2017-11-28T00:00:00-07:00,97.4517593383789 kW
2017-11-29T00:00:00-07:00,87.56060791015625 kW
2017-11-30T00:00:00-07:00,89.50945281982422 kW
2017-12-01T00:00:00-07:00,81.41473388671875 kW
2017-12-02T00:00:00-07:00,64.76690673828125 kW
2017-12-03T00:00:00-07:00,68.81217193603516 kW
2017-12-04T00:00:00-07:00,86.77332305908203 kW
2017-12-05T00:00:00-07:00,85.78167724609375 kW
2017-12-06T00:00:00-07:00,93.47588348388672 kW
2017-12-07T00:00:00-07:00,86.30220794677734 kW
2017-12-08T00:00:00-07:00,77.0726318359375 kW
2017-12-09T00:00:00-07:00,66.56155395507812 kW
2017-12-10T00:00:00-07:00,65.60145568847656 kW
2017-12-11T00:00:00-07:00,76.3548355102539 kW
2017-12-12T00:00:00-07:00,72.85125732421875 kW
2017-12-13T00:00:00-07:00,78.19818878173828 kW
2017-12-14T00:00:00-07:00,87.5966796875 kW
2017-12-15T00:00:00-07:00,79.709228515625 kW
2017-12-16T00:00:00-07:00,65.98580169677734 kW
2017-12-17T00:00:00-07:00,76.95064544677734 kW
2017-12-18T00:00:00-07:00,72.67183685302734 kW
2017-12-19T00:00:00-07:00,75.21318054199219 kW
2017-12-20T00:00:00-07:00,72.89453125 kW
2017-12-21T00:00:00-07:00,72.70037841796875 kW
2017-12-22T00:00:00-07:00,65.8218765258789 kW
2017-12-23T00:00:00-07:00,64.40996551513672 kW
2017-12-24T00:00:00-07:00,60.44496154785156 kW
2017-12-25T00:00:00-07:00,62.728450775146484 kW
2017-12-26T00:00:00-07:00,60.76961898803711 kW
2017-12-27T00:00:00-07:00,66.68997192382812 kW
2017-12-28T00:00:00-07:00,82.5636978149414 kW
2017-12-29T00:00:00-07:00,61.86281967163086 kW
2017-12-30T00:00:00-07:00,59.59465408325195 kW
2017-12-31T00:00:00-07:00,59.37841796875 kW
