Timestamp,['1cdb9d34-78886e0f 0086-MARRIOTT LIBRARY Power Meter 4 Current C']
2017-10-09T00:00:00-06:00,59.45416649182638 A
2017-10-10T00:00:00-06:00,58.577083349227905 A
2017-10-11T00:00:00-06:00,58.527083237965904 A
2017-10-12T00:00:00-06:00,60.21875015894572 A
2017-10-13T00:00:00-06:00,59.61874985694885 A
2017-10-14T00:00:00-06:00,55.95937490463257 A
2017-10-15T00:00:00-06:00,55.70729160308838 A
2017-10-16T00:00:00-06:00,65.17812502384186 A
2017-10-17T00:00:00-06:00,65.09583334128062 A
2017-10-18T00:00:00-06:00,66.53645829359691 A
2017-10-19T00:00:00-06:00,64.39583293596904 A
2017-10-20T00:00:00-06:00,61.28749990463257 A
2017-10-21T00:00:00-06:00,56.598958333333336 A
2017-10-22T00:00:00-06:00,56.61249975363413 A
2017-10-23T00:00:00-06:00,65.23958313465118 A
2017-10-24T00:00:00-06:00,63.75208346048991 A
2017-10-25T00:00:00-06:00,62.10625024636587 A
2017-10-26T00:00:00-06:00,61.074999928474426 A
2017-10-27T00:00:00-06:00,59.13958330949148 A
2017-10-28T00:00:00-06:00,55.82083328564962 A
2017-10-29T00:00:00-06:00,55.78645865122477 A
2017-10-30T00:00:00-06:00,63.67708353201548 A
2017-10-31T00:00:00-06:00,58.207291762034096 A
2017-11-01T00:00:00-06:00,61.63645859559377 A
2017-11-02T00:00:00-06:00,61.09895849227905 A
2017-11-03T00:00:00-06:00,54.95000000794729 A
2017-11-04T00:00:00-06:00,52.69374970595042 A
2017-11-05T00:00:00-06:00,53.14100006103516 A
2017-11-06T00:00:00-07:00,61.67083330949148 A
2017-11-07T00:00:00-07:00,60.18958310286204 A
2017-11-08T00:00:00-07:00,60.31562475363413 A
2017-11-09T00:00:00-07:00,59.958333134651184 A
2017-11-10T00:00:00-07:00,57.719791650772095 A
2017-11-11T00:00:00-07:00,53.51041650772095 A
2017-11-12T00:00:00-07:00,53.871874968210854 A
2017-11-13T00:00:00-07:00,62.32812488079071 A
2017-11-14T00:00:00-07:00,59.75000003973643 A
2017-11-15T00:00:00-07:00,60.44895827770233 A
2017-11-16T00:00:00-07:00,58.60729189713796 A
2017-11-17T00:00:00-07:00,58.26770814259847 A
2017-11-18T00:00:00-07:00,53.77291659514109 A
2017-11-19T00:00:00-07:00,53.445833484331764 A
2017-11-20T00:00:00-07:00,60.43437500794729 A
2017-11-21T00:00:00-07:00,58.77187510331472 A
2017-11-22T00:00:00-07:00,57.806250055631004 A
2017-11-23T00:00:00-07:00,51.778124928474426 A
2017-11-24T00:00:00-07:00,51.458333253860474 A
2017-11-25T00:00:00-07:00,52.51145831743876 A
2017-11-26T00:00:00-07:00,52.72187519073486 A
2017-11-27T00:00:00-07:00,61.286457896232605 A
2017-11-28T00:00:00-07:00,60.67604168256124 A
2017-11-29T00:00:00-07:00,60.331250071525574 A
2017-11-30T00:00:00-07:00,60.60208316644033 A
2017-12-01T00:00:00-07:00,59.059374849001564 A
2017-12-02T00:00:00-07:00,54.90937491257986 A
2017-12-03T00:00:00-07:00,54.57500008742014 A
2017-12-04T00:00:00-07:00,62.810416420300804 A
2017-12-05T00:00:00-07:00,62.78958308696747 A
2017-12-06T00:00:00-07:00,63.47291652361552 A
2017-12-07T00:00:00-07:00,60.815625150998436 A
2017-12-08T00:00:00-07:00,57.891666650772095 A
2017-12-09T00:00:00-07:00,54.17395834128062 A
2017-12-10T00:00:00-07:00,56.24062498410543 A
2017-12-11T00:00:00-07:00,60.78958332538605 A
2017-12-12T00:00:00-07:00,60.00520841280619 A
2017-12-13T00:00:00-07:00,59.488541881243385 A
2017-12-14T00:00:00-07:00,59.668750166893005 A
2017-12-15T00:00:00-07:00,57.31874998410543 A
2017-12-16T00:00:00-07:00,52.67499999205271 A
2017-12-17T00:00:00-07:00,52.51770838101705 A
2017-12-18T00:00:00-07:00,55.38666682773166 A
2017-12-19T00:00:00-07:00,55.99999996026357 A
2017-12-20T00:00:00-07:00,55.715625047683716 A
2017-12-21T00:00:00-07:00,54.29270851612091 A
2017-12-22T00:00:00-07:00,53.83958315849304 A
2017-12-23T00:00:00-07:00,50.77291679382324 A
2017-12-24T00:00:00-07:00,50.601041634877525 A
2017-12-25T00:00:00-07:00,50.88437513510386 A
2017-12-26T00:00:00-07:00,50.30937500794729 A
2017-12-27T00:00:00-07:00,49.90416661898295 A
2017-12-28T00:00:00-07:00,49.827083349227905 A
2017-12-29T00:00:00-07:00,50.34062508742014 A
2017-12-30T00:00:00-07:00,50.77395844459534 A
2017-12-31T00:00:00-07:00,51.24791665871938 A
