Timestamp,['1cc972b2-eecd14d9 0051-STERLING SILL CNTR Power Meter Volts CA']
2017-04-24T00:00:00-06:00,210.73750003178915 V
2017-04-25T00:00:00-06:00,210.74375025431314 V
2017-04-26T00:00:00-06:00,210.5729169845581 V
2017-04-27T00:00:00-06:00,210.6739584604899 V
2017-04-28T00:00:00-06:00,210.61562538146973 V
2017-04-29T00:00:00-06:00,210.78229204813638 V
2017-04-30T00:00:00-06:00,210.66145833333334 V
2017-05-01T00:00:00-06:00,210.71354166666666 V
2017-05-02T00:00:00-06:00,210.47083377838135 V
2017-05-03T00:00:00-06:00,210.60312589009604 V
2017-05-04T00:00:00-06:00,210.53541580835977 V
2017-05-05T00:00:00-06:00,210.38125038146973 V
2017-05-06T00:00:00-06:00,210.51354185740152 V
2017-05-07T00:00:00-06:00,210.45208326975504 V
2017-05-08T00:00:00-06:00,210.72708368301392 V
2017-05-09T00:00:00-06:00,210.85624996821085 V
2017-05-10T00:00:00-06:00,210.9218751589457 V
2017-05-11T00:00:00-06:00,210.76666609446207 V
2017-05-12T00:00:00-06:00,210.7052084604899 V
2017-05-13T00:00:00-06:00,210.80520836512247 V
2017-05-14T00:00:00-06:00,210.49166695276895 V
2017-05-15T00:00:00-06:00,210.89270861943564 V
2017-05-16T00:00:00-06:00,210.73333342870077 V
2017-05-17T00:00:00-06:00,210.88854217529297 V
2017-05-18T00:00:00-06:00,210.85104195276895 V
2017-05-19T00:00:00-06:00,211.2062505086263 V
2017-05-20T00:00:00-06:00,210.62395842870077 V
2017-05-21T00:00:00-06:00,210.66458336512247 V
2017-05-22T00:00:00-06:00,210.88124958674112 V
2017-05-23T00:00:00-06:00,210.8958330154419 V
2017-05-24T00:00:00-06:00,210.5479162534078 V
2017-05-25T00:00:00-06:00,210.41979185740152 V
2017-05-26T00:00:00-06:00,210.74374993642172 V
2017-05-27T00:00:00-06:00,210.85416650772095 V
2017-05-28T00:00:00-06:00,210.78333314259848 V
2017-05-29T00:00:00-06:00,210.60624980926514 V
2017-05-30T00:00:00-06:00,210.5947912534078 V
2017-05-31T00:00:00-06:00,210.52291758855185 V
2017-06-01T00:00:00-06:00,210.51249901453653 V
2017-06-02T00:00:00-06:00,210.36354223887125 V
2017-06-03T00:00:00-06:00,210.54374980926514 V
2017-06-04T00:00:00-06:00,210.5468757947286 V
2017-06-05T00:00:00-06:00,210.5135416984558 V
2017-06-06T00:00:00-06:00,210.76458326975504 V
2017-06-07T00:00:00-06:00,210.61145861943564 V
2017-06-08T00:00:00-06:00,210.59062401453653 V
2017-06-09T00:00:00-06:00,210.5864578882853 V
2017-06-10T00:00:00-06:00,210.44583241144815 V
2017-06-11T00:00:00-06:00,210.51354217529297 V
2017-06-12T00:00:00-06:00,210.731250445048 V
2017-06-13T00:00:00-06:00,210.80729230244955 V
2017-06-14T00:00:00-06:00,210.99166584014893 V
2017-06-15T00:00:00-06:00,210.73854080835977 V
2017-06-16T00:00:00-06:00,210.74479134877524 V
2017-06-17T00:00:00-06:00,210.71666638056436 V
2017-06-18T00:00:00-06:00,210.8093744913737 V
2017-06-19T00:00:00-06:00,210.84479141235352 V
2017-06-20T00:00:00-06:00,210.71145820617676 V
2017-06-21T00:00:00-06:00,210.66145833333334 V
2017-06-22T00:00:00-06:00,210.57604217529297 V
2017-06-23T00:00:00-06:00,210.9166668256124 V
2017-06-24T00:00:00-06:00,210.97499990463257 V
2017-06-25T00:00:00-06:00,210.7624994913737 V
2017-06-26T00:00:00-06:00,210.64791663487753 V
2017-06-27T00:00:00-06:00,210.77395804723105 V
2017-06-28T00:00:00-06:00,210.56354204813638 V
2017-06-29T00:00:00-06:00,210.8312497138977 V
2017-06-30T00:00:00-06:00,211.0968755086263 V
2017-07-01T00:00:00-06:00,210.8052085240682 V
2017-07-02T00:00:00-06:00,210.8989578882853 V
2017-07-03T00:00:00-06:00,210.71041695276895 V
2017-07-04T00:00:00-06:00,210.72395833333334 V
2017-07-05T00:00:00-06:00,210.73229185740152 V
2017-07-06T00:00:00-06:00,210.6552087465922 V
2017-07-07T00:00:00-06:00,210.85937547683716 V
