Timestamp,"['1cf8d6ec-8c4d8433 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) Current A']"
2017-08-07T00:00:00-06:00,14.486653645833334 A
2017-08-08T00:00:00-06:00,14.343098958333334 A
2017-08-09T00:00:00-06:00,14.494181315104166 A
2017-08-10T00:00:00-06:00,14.240171370967742 A
2017-08-11T00:00:00-06:00,14.946533203125 A
2017-08-12T00:00:00-06:00,14.675089518229166 A
2017-08-13T00:00:00-06:00,14.005289713541666 A
2017-08-14T00:00:00-06:00,13.7552490234375 A
2017-08-15T00:00:00-06:00,13.125162760416666 A
2017-08-16T00:00:00-06:00,13.87646484375 A
2017-08-17T00:00:00-06:00,14.228841145833334 A
2017-08-18T00:00:00-06:00,14.6142578125 A
2017-08-19T00:00:00-06:00,14.307698567708334 A
2017-08-20T00:00:00-06:00,14.145914713541666 A
2017-08-21T00:00:00-06:00,14.9803466796875 A
2017-08-22T00:00:00-06:00,14.785074869791666 A
2017-08-23T00:00:00-06:00,14.667032877604166 A
2017-08-24T00:00:00-06:00,14.802083333333334 A
2017-08-25T00:00:00-06:00,15.226236979166666 A
2017-08-26T00:00:00-06:00,14.463094075520834 A
2017-08-27T00:00:00-06:00,13.7236328125 A
2017-08-28T00:00:00-06:00,15.39208984375 A
2017-08-29T00:00:00-06:00,16.191276041666665 A
2017-08-30T00:00:00-06:00,15.3677978515625 A
2017-08-31T00:00:00-06:00,14.3768310546875 A
2017-09-01T00:00:00-06:00,14.623453776041666 A
2017-09-02T00:00:00-06:00,13.89697265625 A
2017-09-03T00:00:00-06:00,14.192423502604166 A
2017-09-04T00:00:00-06:00,14.585205078125 A
2017-09-05T00:00:00-06:00,15.757731119791666 A
2017-09-06T00:00:00-06:00,16.350545247395832 A
2017-09-07T00:00:00-06:00,16.098958333333332 A
2017-09-08T00:00:00-06:00,15.512586805555555 A
2017-09-09T00:00:00-06:00,13.7288818359375 A
2017-09-10T00:00:00-06:00,14.077962239583334 A
2017-09-11T00:00:00-06:00,15.514729817708334 A
