Timestamp,['1ef4684b-d3e71c08 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Current A']
2017-05-28T00:00:00-06:00,37.64523983503643 A
2017-05-29T00:00:00-06:00,37.608299747266265 A
2017-05-30T00:00:00-06:00,36.4430702428023 A
2017-05-31T00:00:00-06:00,35.0266170501709 A
2017-06-01T00:00:00-06:00,38.37773468097051 A
2017-06-02T00:00:00-06:00,36.24914199113846 A
2017-06-03T00:00:00-06:00,30.473271384835243 A
2017-06-04T00:00:00-06:00,30.40695086121559 A
2017-06-05T00:00:00-06:00,36.07596176862717 A
2017-06-06T00:00:00-06:00,35.41035487254461 A
2017-06-07T00:00:00-06:00,34.56921317179998 A
2017-06-08T00:00:00-06:00,38.60371563831965 A
2017-06-09T00:00:00-06:00,36.27618939677874 A
2017-06-10T00:00:00-06:00,32.070451398690544 A
2017-06-11T00:00:00-06:00,34.68542451163133 A
2017-06-12T00:00:00-06:00,36.58066463470459 A
2017-06-13T00:00:00-06:00,41.06031539042791 A
2017-06-14T00:00:00-06:00,37.45279234647751 A
2017-06-15T00:00:00-06:00,36.69519682725271 A
2017-06-16T00:00:00-06:00,34.408409188191094 A
2017-06-17T00:00:00-06:00,31.19369873404503 A
2017-06-18T00:00:00-06:00,38.542917688687645 A
2017-06-19T00:00:00-06:00,36.2704159617424 A
2017-06-20T00:00:00-06:00,37.08504272500674 A
2017-06-21T00:00:00-06:00,36.41364789009094 A
2017-06-22T00:00:00-06:00,37.1131314833959 A
2017-06-23T00:00:00-06:00,36.19232356548309 A
2017-06-24T00:00:00-06:00,32.58026394248009 A
2017-06-25T00:00:00-06:00,34.85081200301647 A
2017-06-26T00:00:00-06:00,37.31252225240072 A
2017-06-27T00:00:00-06:00,36.85677622755369 A
2017-06-28T00:00:00-06:00,37.51038887103399 A
2017-06-29T00:00:00-06:00,41.41334864497185 A
2017-06-30T00:00:00-06:00,38.32491395870844 A
2017-07-01T00:00:00-06:00,29.800942490498226 A
2017-07-02T00:00:00-06:00,32.83514099319776 A
2017-07-03T00:00:00-06:00,36.2934939066569 A
2017-07-04T00:00:00-06:00,36.47068484624227 A
2017-07-05T00:00:00-06:00,38.57764947414398 A
2017-07-06T00:00:00-06:00,39.19376074274381 A
2017-07-07T00:00:00-06:00,34.828060348828636 A
2017-07-08T00:00:00-06:00,30.08934649825096 A
2017-07-09T00:00:00-06:00,29.48028179506461 A
2017-07-10T00:00:00-06:00,38.61438416441282 A
2017-07-11T00:00:00-06:00,34.89485424757004 A
2017-07-12T00:00:00-06:00,34.035274316867195 A
2017-07-13T00:00:00-06:00,33.49319510658582 A
2017-07-14T00:00:00-06:00,33.189260363578796 A
2017-07-15T00:00:00-06:00,24.78484245141347 A
2017-07-16T00:00:00-06:00,25.276383782426517 A
2017-07-17T00:00:00-06:00,37.52303034067154 A
2017-07-18T00:00:00-06:00,32.86276565988859 A
2017-07-19T00:00:00-06:00,41.28444144129753 A
2017-07-20T00:00:00-06:00,36.78612851103147 A
