Timestamp,['1ccd65ee-1da53bdc 0087-THATCHER BLDG Power Meter (301205) KWH Received']
2017-07-11T00:00:00-06:00,4470.375 kWh
2017-07-12T00:00:00-06:00,4454.84375 kWh
2017-07-13T00:00:00-06:00,4437 kWh
2017-07-14T00:00:00-06:00,4441.71875 kWh
2017-07-15T00:00:00-06:00,4311.40625 kWh
2017-07-16T00:00:00-06:00,4301.03125 kWh
2017-07-17T00:00:00-06:00,4458.84375 kWh
2017-07-18T00:00:00-06:00,4451.71875 kWh
2017-07-19T00:00:00-06:00,4464.5 kWh
2017-07-20T00:00:00-06:00,4450.96875 kWh
2017-07-21T00:00:00-06:00,4434.5 kWh
2017-07-22T00:00:00-06:00,4279.6875 kWh
2017-07-23T00:00:00-06:00,4234.5625 kWh
2017-07-24T00:00:00-06:00,4363.59375 kWh
2017-07-25T00:00:00-06:00,4412.1875 kWh
2017-07-26T00:00:00-06:00,4372.46875 kWh
2017-07-27T00:00:00-06:00,4341.8125 kWh
2017-07-28T00:00:00-06:00,4355.3125 kWh
2017-07-29T00:00:00-06:00,4232.3125 kWh
2017-07-30T00:00:00-06:00,4253.1875 kWh
2017-07-31T00:00:00-06:00,4382.59375 kWh
2017-08-01T00:00:00-06:00,4393.59375 kWh
2017-08-02T00:00:00-06:00,4384.09375 kWh
2017-08-03T00:00:00-06:00,4399.3125 kWh
2017-08-04T00:00:00-06:00,4425.875 kWh
2017-08-05T00:00:00-06:00,4302.25 kWh
2017-08-06T00:00:00-06:00,4238.03125 kWh
2017-08-07T00:00:00-06:00,4359 kWh
2017-08-08T00:00:00-06:00,4391.5 kWh
2017-08-09T00:00:00-06:00,4361.125 kWh
2017-08-10T00:00:00-06:00,4324.3125 kWh
2017-08-11T00:00:00-06:00,4427.375 kWh
2017-08-12T00:00:00-06:00,4279 kWh
2017-08-13T00:00:00-06:00,4278.125 kWh
2017-08-14T00:00:00-06:00,4435.375 kWh
2017-08-15T00:00:00-06:00,4518.3125 kWh
