Timestamp,['1ef4686d-41f12ab1 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current B']
2017-06-15T00:00:00-06:00,128.0973314444224 A
2017-06-16T00:00:00-06:00,123.35039258003235 A
2017-06-17T00:00:00-06:00,94.99623785416286 A
2017-06-18T00:00:00-06:00,67.87150194247563 A
2017-06-19T00:00:00-06:00,133.6778008143107 A
2017-06-20T00:00:00-06:00,138.54379812876383 A
2017-06-21T00:00:00-06:00,135.6208598613739 A
2017-06-22T00:00:00-06:00,124.9650986591975 A
2017-06-23T00:00:00-06:00,124.91908478736877 A
2017-06-24T00:00:00-06:00,92.99261806408565 A
2017-06-25T00:00:00-06:00,67.46271541714668 A
2017-06-26T00:00:00-06:00,144.72240360577902 A
2017-06-27T00:00:00-06:00,134.57640345891318 A
2017-06-28T00:00:00-06:00,134.7639538447062 A
2017-06-29T00:00:00-06:00,134.53565661112467 A
2017-06-30T00:00:00-06:00,130.57332213719687 A
2017-07-01T00:00:00-06:00,98.47548953692119 A
2017-07-02T00:00:00-06:00,70.12294669946034 A
2017-07-03T00:00:00-06:00,137.8355744679769 A
2017-07-04T00:00:00-06:00,128.85117236773172 A
2017-07-05T00:00:00-06:00,139.58487447102866 A
2017-07-06T00:00:00-06:00,142.5606395403544 A
2017-07-07T00:00:00-06:00,135.94752486546835 A
2017-07-08T00:00:00-06:00,103.34196005264918 A
2017-07-09T00:00:00-06:00,75.85947058598201 A
2017-07-10T00:00:00-06:00,154.68282675743103 A
2017-07-11T00:00:00-06:00,156.96870152155557 A
2017-07-12T00:00:00-06:00,152.00500591595969 A
2017-07-13T00:00:00-06:00,146.15105168024698 A
2017-07-14T00:00:00-06:00,148.9220495223999 A
2017-07-15T00:00:00-06:00,109.19308523337047 A
2017-07-16T00:00:00-06:00,76.99571285645168 A
2017-07-17T00:00:00-06:00,159.01277812321982 A
2017-07-18T00:00:00-06:00,150.16784509023032 A
2017-07-19T00:00:00-06:00,172.6970246632894 A
2017-07-20T00:00:00-06:00,156.98360554377237 A
2017-07-21T00:00:00-06:00,140.2104221979777 A
2017-07-22T00:00:00-06:00,111.91345485051473 A
2017-07-23T00:00:00-06:00,77.32423375050227 A
2017-07-24T00:00:00-06:00,140.9047325452169 A
2017-07-25T00:00:00-06:00,155.3831357161204 A
2017-07-26T00:00:00-06:00,146.19121670722961 A
2017-07-27T00:00:00-06:00,143.44610301653543 A
2017-07-28T00:00:00-06:00,144.4929629166921 A
2017-07-29T00:00:00-06:00,96.64103476206462 A
2017-07-30T00:00:00-06:00,68.9114124973615 A
2017-07-31T00:00:00-06:00,135.8914942741394 A
2017-08-01T00:00:00-06:00,139.36862881978354 A
2017-08-02T00:00:00-06:00,141.80011089642844 A
2017-08-03T00:00:00-06:00,135.39139676094055 A
2017-08-04T00:00:00-06:00,142.0626955137148 A
2017-08-05T00:00:00-06:00,102.99947462479274 A
2017-08-06T00:00:00-06:00,74.6818102200826 A
2017-08-07T00:00:00-06:00,150.9764617284139 A
2017-08-08T00:00:00-06:00,143.4351785182953 A
2017-08-09T00:00:00-06:00,149.27056574821472 A
2017-08-10T00:00:00-06:00,138.48213487990358 A
2017-08-11T00:00:00-06:00,141.21178348859152 A
2017-08-12T00:00:00-06:00,104.69948820273082 A
2017-08-13T00:00:00-06:00,78.61013398567836 A
2017-08-14T00:00:00-06:00,158.13726250330606 A
2017-08-15T00:00:00-06:00,134.79584217071533 A
2017-08-16T00:00:00-06:00,145.59438713391623 A
2017-08-17T00:00:00-06:00,135.71441928545633 A
2017-08-18T00:00:00-06:00,134.35275475184122 A
2017-08-19T00:00:00-06:00,99.89115164677303 A
2017-08-20T00:00:00-06:00,72.299095282952 A
2017-08-21T00:00:00-06:00,145.60123054186502 A
2017-08-22T00:00:00-06:00,158.95071919759116 A
2017-08-23T00:00:00-06:00,154.9956754843394 A
2017-08-24T00:00:00-06:00,143.9057159423828 A
2017-08-25T00:00:00-06:00,146.43843022982279 A
